,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ДЭК ао,DVEC,642,5804528,1.514,1.48,1.52,1.492,1.496,1.492,3881000,1.496,1.496,1.492,5804528,5804528,5804528,
1,TQBR,2018-10-02,ДЭК ао,DVEC,360,2286848,1.494,1.4680000000000002,1.536,1.496,1.5019999999999998,1.496,1523000,1.5019999999999998,1.5019999999999998,1.496,2286848,2286848,2286848,
2,TQBR,2018-10-03,ДЭК ао,DVEC,674,6242888,1.496,1.496,1.5719999999999998,1.538,1.54,1.538,4053000,1.54,1.54,1.538,6242888,6242888,6242888,
3,TQBR,2018-10-04,ДЭК ао,DVEC,656,9226068,1.546,1.5019999999999998,2.15,1.696,1.67,1.696,5528000,1.6680000000000001,1.6680000000000001,1.696,9226068,9226068,9226068,
4,TQBR,2018-10-05,ДЭК ао,DVEC,1180,9054240,1.696,1.5,1.7480000000000002,1.548,1.584,1.548,5717000,1.584,1.584,1.548,9054240,9054240,9054240,
5,TQBR,2018-10-08,ДЭК ао,DVEC,412,2973816,1.548,1.506,1.588,1.528,1.5319999999999998,1.528,1943000,1.53,1.53,1.528,2973816,2973816,2973816,
6,TQBR,2018-10-09,ДЭК ао,DVEC,436,3340666,1.5119999999999998,1.486,1.53,1.5019999999999998,1.506,1.5019999999999998,2221000,1.504,1.504,1.5019999999999998,3340666,3340666,3340666,
7,TQBR,2018-10-10,ДЭК ао,DVEC,240,1499834,1.504,1.5,1.5919999999999999,1.5019999999999998,1.518,1.5019999999999998,988000,1.518,1.518,1.5019999999999998,1499834,1499834,1499834,
8,TQBR,2018-10-11,ДЭК ао,DVEC,167,1093170,1.496,1.4780000000000002,1.526,1.518,1.496,1.518,731000,1.496,1.496,1.518,1093170,1093170,1093170,
9,TQBR,2018-10-12,ДЭК ао,DVEC,268,1296612,1.516,1.462,1.526,1.496,1.496,1.496,867000,1.496,1.496,1.496,1296612,1296612,1296612,
10,TQBR,2018-10-15,ДЭК ао,DVEC,505,4787900,1.484,1.4780000000000002,1.5719999999999998,1.568,1.5419999999999998,1.568,3104000,1.5419999999999998,1.5419999999999998,1.568,4787900,4787900,4787900,
11,TQBR,2018-10-16,ДЭК ао,DVEC,466,5027130,1.568,1.5419999999999998,1.62,1.574,1.588,1.574,3165000,1.588,1.588,1.574,5027130,5027130,5027130,
12,TQBR,2018-10-17,ДЭК ао,DVEC,341,4063942,1.5759999999999998,1.5759999999999998,1.63,1.61,1.6159999999999999,1.6119999999999999,2517000,1.614,1.614,1.61,4063942,4063942,4063942,
13,TQBR,2018-10-18,ДЭК ао,DVEC,322,3521766,1.6059999999999999,1.5519999999999998,1.63,1.5959999999999999,1.604,1.5959999999999999,2196000,1.604,1.604,1.5959999999999999,3521766,3521766,3521766,
14,TQBR,2018-10-19,ДЭК ао,DVEC,192,2176012,1.6380000000000001,1.574,1.64,1.6380000000000001,1.618,1.6380000000000001,1345000,1.618,1.618,1.6380000000000001,2176012,2176012,2176012,
15,TQBR,2018-10-22,ДЭК ао,DVEC,399,3943276,1.598,1.598,1.6680000000000001,1.61,1.6280000000000001,1.61,2423000,1.6280000000000001,1.6280000000000001,1.61,3943276,3943276,3943276,
16,TQBR,2018-10-23,ДЭК ао,DVEC,211,1881558,1.62,1.598,1.642,1.63,1.6219999999999999,1.632,1161000,1.62,1.62,1.63,1881558,1881558,1881558,
17,TQBR,2018-10-24,ДЭК ао,DVEC,172,1105758,1.614,1.5759999999999998,1.63,1.6119999999999999,1.6119999999999999,1.6119999999999999,686000,1.6119999999999999,1.6119999999999999,1.6119999999999999,1105758,1105758,1105758,
18,TQBR,2018-10-25,ДЭК ао,DVEC,123,1312524,1.6119999999999999,1.5859999999999999,1.626,1.61,1.608,1.61,816000,1.608,1.608,1.61,1312524,1312524,1312524,
19,TQBR,2018-10-26,ДЭК ао,DVEC,139,1675128,1.6019999999999999,1.59,1.6159999999999999,1.61,1.6019999999999999,1.61,1046000,1.6019999999999999,1.6019999999999999,1.61,1675128,1675128,1675128,
