history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Электрцинк;ELTZ;13;56151;518;518;531;530;525;530;107;;522;530;0;511395;0;
TQBR;2018-10-02;Электрцинк;ELTZ;23;133818;521;520;536;529;525;536;255;;523;529;0;517293;0;
TQBR;2018-10-03;Электрцинк;ELTZ;65;299857;533;520;541;527;526;527;570;;525;527;0;503426;0;
TQBR;2018-10-04;Электрцинк;ELTZ;26;101399;521;516;527;522;520;522;195;;525;522;0;505338;0;
TQBR;2018-10-05;Электрцинк;ELTZ;18;71241;519;515;527;527;520;527;137;;524;527;0;516992;0;
TQBR;2018-10-08;Электрцинк;ELTZ;6;4736;527;525;528;528;526;528;9;;524;528;0;521728;0;
TQBR;2018-10-09;Электрцинк;ELTZ;36;186442;522;518;534;525;525;525;355;;523;525;0;517470;0;
TQBR;2018-10-10;Электрцинк;ELTZ;8;18917;523;523;529;529;525;529;36;;523;529;0;518152;0;
TQBR;2018-10-11;Электрцинк;ELTZ;43;253161;524;507;524;511;514;511;493;;519;511;0;509145;0;
TQBR;2018-10-12;Электрцинк;ELTZ;73;278224;512;503;519;515;510;515;546;;511;515;0;500501;0;
TQBR;2018-10-15;Электрцинк;ELTZ;66;449680;510;501;510;508;506;508;888;;506;508;0;519560;0;
TQBR;2018-10-16;Электрцинк;ELTZ;25;109648;508;505;518;507;512;507;214;;507;507;0;544028;0;
TQBR;2018-10-17;Электрцинк;ELTZ;8;20804;507;502;508;504;507;502;41;;507;504;0;564832;0;
TQBR;2018-10-18;Электрцинк;ELTZ;16;62611;512;502;512;510;505;510;124;;507;510;0;521571;0;
TQBR;2018-10-19;Электрцинк;ELTZ;20;112477;504;500;506;505;502;505;224;;506;505;0;520049;0;
TQBR;2018-10-22;Электрцинк;ELTZ;530;2251966;455;401;462;413;427;413;5270;427;427;413;2251966;2251966;2251966;
TQBR;2018-10-23;Электрцинк;ELTZ;325;863377;413;361;413;380;376;380;2295;376;376;380;863377;863377;863377;
TQBR;2018-10-24;Электрцинк;ELTZ;141;469592;384;370;402;375;380;375;1236;;380;375;0;506702;0;
TQBR;2018-10-25;Электрцинк;ELTZ;124;291867;372;339;381;355;364;355;802;;368;355;0;502006;0;
TQBR;2018-10-26;Электрцинк;ELTZ;396;1036570;355;300;355;310;315;310;3289;315;315;310;1036570;1036570;1036570;
TQBR;2018-10-29;Электрцинк;ELTZ;282;1137626;310;299;340;309;311;309;3660;311;311;309;1137626;1137626;1137626;
TQBR;2018-10-30;Электрцинк;ELTZ;203;584411;304;291;322;299;301;299;1943;301;301;299;584411;584411;584411;
TQBR;2018-10-31;Электрцинк;ELTZ;64;241178;301;293;310;303;305;303;790;;301;303;0;660200;0;
TQBR;2018-11-01;Электрцинк;ELTZ;62;228498;302;302;314;306;308;306;745;;306;306;0;502566;0;
TQBR;2018-11-02;Электрцинк;ELTZ;33;164078;306;302;310;310;308;310;535;;308;310;0;505593;0;
TQBR;2018-11-06;Электрцинк;ELTZ;35;38114;314;304;314;310;310;310;123;;308;310;0;511498;0;
TQBR;2018-11-07;Электрцинк;ELTZ;12;16894;302;302;312;308;312;308;55;;308;308;0;528392;0;
TQBR;2018-11-08;Электрцинк;ELTZ;71;820946;308;306;316;314;314;314;2626;312;312;314;820946;820946;820946;
TQBR;2018-11-09;Электрцинк;ELTZ;112;509624;310;298;314;304;300;304;1696;300;300;304;509624;509624;509624;
TQBR;2018-11-12;Электрцинк;ELTZ;40;101788;304;302;310;304;304;304;336;;300;304;0;535602;0;
TQBR;2018-11-13;Электрцинк;ELTZ;117;606750;308;294;310;302;300;302;2025;300;300;302;606750;606750;606750;
TQBR;2018-11-14;Электрцинк;ELTZ;39;71780;296;294;302;296;298;296;241;;298;296;0;519446;0;
TQBR;2018-11-15;Электрцинк;ELTZ;48;96424;296;296;308;308;304;308;318;;300;308;0;504642;0;
TQBR;2018-11-16;Электрцинк;ELTZ;860;2331108;304;300;380;340;334;332;7009;332;332;340;2331108;2331108;2331108;
TQBR;2018-11-19;Электрцинк;ELTZ;169;387602;338;308;338;318;320;324;1213;;324;318;0;522430;0;
TQBR;2018-11-20;Электрцинк;ELTZ;98;690848;318;304;318;314;310;314;2232;310;310;314;690848;690848;690848;
TQBR;2018-11-21;Электрцинк;ELTZ;84;1315340;308;308;316;310;312;310;4233;310;310;310;1315340;1315340;1315340;
TQBR;2018-11-22;Электрцинк;ELTZ;700;2265630;306;306;362;354;340;354;6689;338;338;354;2265630;2265630;2265630;
TQBR;2018-11-23;Электрцинк;ELTZ;226;486352;360;332;364;350;346;350;1410;;346;350;0;507862;0;
TQBR;2018-11-26;Электрцинк;ELTZ;146;538964;348;340;366;350;348;350;1548;348;348;350;538964;538964;538964;
TQBR;2018-11-27;Электрцинк;ELTZ;118;322516;344;330;350;336;340;336;952;;342;336;0;509338;0;
