,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ЭнелРос ао,ENRU,514,11364215.0,1.208,1.18,1.22,1.19,1.195,1.19,9512000,1.195,1.195,1.19,11364215.0,11364215.0,11364215.0,
1,TQBR,2018-10-02,ЭнелРос ао,ENRU,587,11861527.0,1.206,1.18,1.206,1.18,1.187,1.18,9992000,1.187,1.187,1.18,11861527.0,11861527.0,11861527.0,
2,TQBR,2018-10-03,ЭнелРос ао,ENRU,413,10821446.0,1.181,1.177,1.199,1.18,1.183,1.18,9148000,1.183,1.183,1.18,10821446.0,10821446.0,10821446.0,
3,TQBR,2018-10-04,ЭнелРос ао,ENRU,1055,24832785.0,1.178,1.129,1.18,1.1340000000000001,1.153,1.1340000000000001,21533000,1.153,1.153,1.1340000000000001,24832785.0,24832785.0,24832785.0,
4,TQBR,2018-10-05,ЭнелРос ао,ENRU,805,12959642.0,1.135,1.103,1.137,1.126,1.125,1.124,11529000,1.124,1.124,1.126,12959642.0,12959642.0,12959642.0,
5,TQBR,2018-10-08,ЭнелРос ао,ENRU,523,14271087.0,1.129,1.1079999999999999,1.1320000000000001,1.126,1.127,1.126,12665000,1.127,1.127,1.126,14271087.0,14271087.0,14271087.0,
6,TQBR,2018-10-09,ЭнелРос ао,ENRU,3169,92390090.0,1.126,1.126,1.209,1.1740000000000002,1.171,1.1740000000000002,78895000,1.171,1.171,1.1740000000000002,92390090.0,92390090.0,92390090.0,
7,TQBR,2018-10-10,ЭнелРос ао,ENRU,1467,23160925.0,1.17,1.137,1.179,1.156,1.166,1.156,19868000,1.166,1.166,1.156,23160925.0,23160925.0,23160925.0,
8,TQBR,2018-10-11,ЭнелРос ао,ENRU,1191,26269134.0,1.14,1.121,1.16,1.124,1.133,1.124,23194000,1.133,1.133,1.124,26269134.0,26269134.0,26269134.0,
9,TQBR,2018-10-12,ЭнелРос ао,ENRU,918,23916933.0,1.124,1.124,1.149,1.128,1.135,1.128,21071000,1.135,1.135,1.128,23916933.0,23916933.0,23916933.0,
10,TQBR,2018-10-15,ЭнелРос ао,ENRU,822,16189739.0,1.141,1.131,1.169,1.137,1.147,1.137,14111000,1.147,1.147,1.137,16189739.0,16189739.0,16189739.0,
11,TQBR,2018-10-16,ЭнелРос ао,ENRU,348,11559620.0,1.157,1.135,1.157,1.14,1.141,1.14,10132000,1.141,1.141,1.14,11559620.0,11559620.0,11559620.0,
12,TQBR,2018-10-17,ЭнелРос ао,ENRU,497,18679589.0,1.147,1.136,1.159,1.148,1.1420000000000001,1.148,16358000,1.1420000000000001,1.1420000000000001,1.148,18679589.0,18679589.0,18679589.0,
13,TQBR,2018-10-18,ЭнелРос ао,ENRU,381,6578083.0,1.149,1.1340000000000001,1.155,1.141,1.146,1.141,5741000,1.146,1.146,1.141,6578083.0,6578083.0,6578083.0,
14,TQBR,2018-10-19,ЭнелРос ао,ENRU,524,8199764.0,1.148,1.122,1.149,1.122,1.133,1.122,7240000,1.133,1.133,1.122,8199764.0,8199764.0,8199764.0,
15,TQBR,2018-10-22,ЭнелРос ао,ENRU,1141,18497084.0,1.123,1.072,1.143,1.078,1.107,1.078,16713000,1.107,1.107,1.078,18497084.0,18497084.0,18497084.0,
16,TQBR,2018-10-23,ЭнелРос ао,ENRU,1064,17821736.0,1.084,1.058,1.104,1.095,1.082,1.095,16471000,1.082,1.082,1.095,17821736.0,17821736.0,17821736.0,
17,TQBR,2018-10-24,ЭнелРос ао,ENRU,435,6504611.0,1.104,1.1,1.115,1.104,1.105,1.104,5889000,1.105,1.105,1.104,6504611.0,6504611.0,6504611.0,
18,TQBR,2018-10-25,ЭнелРос ао,ENRU,320,3933205.0,1.091,1.0859999999999999,1.1059999999999999,1.101,1.099,1.101,3578000,1.099,1.099,1.101,3933205.0,3933205.0,3933205.0,
19,TQBR,2018-10-26,ЭнелРос ао,ENRU,1172,17896607.0,1.1,1.064,1.109,1.072,1.089,1.072,16440000,1.089,1.089,1.072,17896607.0,17896607.0,17896607.0,
