,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ДВМП ао,FESH,226,2139185.0,5.34,4.92,5.47,5.03,5.13,5.03,416700,5.13,5.13,5.03,2139185.0,2139185.0,2139185.0,
1,TQBR,2018-10-02,ДВМП ао,FESH,200,1051877.0,5.05,4.86,5.1,4.93,4.95,4.93,212700,4.95,4.95,4.93,1051877.0,1051877.0,1051877.0,
2,TQBR,2018-10-03,ДВМП ао,FESH,147,799475.0,4.94,4.81,5.03,4.94,4.93,4.95,162100,4.93,4.93,4.94,799475.0,799475.0,799475.0,
3,TQBR,2018-10-04,ДВМП ао,FESH,43,130911.0,4.89,4.82,4.99,4.89,4.92,4.9,26600,,4.94,4.89,0.0,514076.0,0.0,
4,TQBR,2018-10-05,ДВМП ао,FESH,114,452901.0,4.88,4.62,4.92,4.8,4.8,4.8,94300,,4.81,4.8,0.0,502833.0,0.0,
5,TQBR,2018-10-08,ДВМП ао,FESH,77,170909.0,4.61,4.61,4.89,4.84,4.75,4.84,36000,,4.77,4.84,0.0,528002.0,0.0,
6,TQBR,2018-10-09,ДВМП ао,FESH,304,2179646.0,4.99,4.99,5.42,5.22,5.22,5.2,417900,5.22,5.22,5.22,2179646.0,2179646.0,2179646.0,
7,TQBR,2018-10-10,ДВМП ао,FESH,62,344589.0,5.15,5.09,5.26,5.2,5.18,5.2,66500,,5.19,5.2,0.0,704489.0,0.0,
8,TQBR,2018-10-11,ДВМП ао,FESH,104,2424583.0,5.01,4.9,5.13,5.02,4.99,5.02,485700,4.99,4.99,5.02,2424583.0,2424583.0,2424583.0,
9,TQBR,2018-10-12,ДВМП ао,FESH,113,4275336.0,4.98,4.91,5.16,5.08,4.97,5.08,859700,4.97,4.97,5.08,4275336.0,4275336.0,4275336.0,
10,TQBR,2018-10-15,ДВМП ао,FESH,185,3824240.0,5.09,4.91,5.11,5.11,4.99,5.11,766500,4.99,4.99,5.11,3824240.0,3824240.0,3824240.0,
11,TQBR,2018-10-16,ДВМП ао,FESH,54,1009784.0,5.13,5.01,5.14,5.13,5.08,5.14,198600,5.08,5.08,5.13,1009784.0,1009784.0,1009784.0,
12,TQBR,2018-10-17,ДВМП ао,FESH,159,1077822.0,5.15,5.11,5.4,5.19,5.22,5.19,206400,5.22,5.22,5.19,1077822.0,1077822.0,1077822.0,
13,TQBR,2018-10-18,ДВМП ао,FESH,35,120066.0,5.12,5.12,5.26,5.18,5.18,5.18,23200,,5.19,5.18,0.0,501814.0,0.0,
14,TQBR,2018-10-19,ДВМП ао,FESH,59,460687.0,5.11,5.0,5.15,5.07,5.03,5.07,91500,,5.04,5.07,0.0,501756.0,0.0,
15,TQBR,2018-10-22,ДВМП ао,FESH,73,396442.0,5.07,5.0,5.1,5.08,5.05,5.08,78500,,5.04,5.08,0.0,510171.0,0.0,
16,TQBR,2018-10-23,ДВМП ао,FESH,113,828943.0,5.08,5.06,5.2,5.19,5.16,5.19,160500,5.16,5.16,5.19,828943.0,828943.0,828943.0,
17,TQBR,2018-10-24,ДВМП ао,FESH,84,1114040.0,5.16,5.03,5.17,5.09,5.09,5.09,219000,5.09,5.09,5.09,1114040.0,1114040.0,1114040.0,
18,TQBR,2018-10-25,ДВМП ао,FESH,46,218686.0,5.01,5.01,5.1,5.09,5.05,5.09,43300,,5.06,5.09,0.0,654140.0,0.0,
19,TQBR,2018-10-26,ДВМП ао,FESH,95,2792207.0,5.06,5.0,5.1,5.0,5.01,5.0,557600,5.01,5.01,5.0,2792207.0,2792207.0,2792207.0,
20,TQBR,2018-10-29,ДВМП ао,FESH,116,3573719.0,4.99,4.82,5.02,5.0,4.96,5.0,720400,4.96,4.96,5.0,3573719.0,3573719.0,3573719.0,
21,TQBR,2018-10-30,ДВМП ао,FESH,59,420597.0,5.04,4.9,5.04,4.95,4.94,4.95,85200,,4.97,4.95,0.0,913599.0,0.0,
22,TQBR,2018-10-31,ДВМП ао,FESH,33,94403.0,4.95,4.95,5.02,4.99,4.97,4.99,19000,,4.94,4.99,0.0,501557.0,0.0,
23,TQBR,2018-11-01,ДВМП ао,FESH,142,812999.0,4.99,4.9,5.17,5.055,5.07,5.055,160300,5.07,5.07,5.055,812999.0,812999.0,812999.0,
24,TQBR,2018-11-02,ДВМП ао,FESH,100,730372.0,5.015,5.015,5.18,5.11,5.105,5.11,143100,5.105,5.105,5.11,730372.0,730372.0,730372.0,
25,TQBR,2018-11-06,ДВМП ао,FESH,56,498010.5,5.09,5.005,5.13,5.12,5.07,5.125,98200,,5.07,5.12,0.0,503120.5,0.0,
26,TQBR,2018-11-07,ДВМП ао,FESH,44,263633.0,5.135,5.0,5.16,5.09,5.08,5.09,51900,,5.08,5.09,0.0,506923.5,0.0,
27,TQBR,2018-11-08,ДВМП ао,FESH,51,284405.0,5.01,5.01,5.115,5.075,5.06,5.08,56200,,5.07,5.075,0.0,500198.5,0.0,
28,TQBR,2018-11-09,ДВМП ао,FESH,29,260624.0,5.04,5.0,5.06,5.025,5.01,5.025,52000,,5.035,5.025,0.0,500131.5,0.0,
29,TQBR,2018-11-12,ДВМП ао,FESH,69,708584.5,5.07,5.0,5.07,5.055,5.045,5.055,140500,5.045,5.045,5.055,708584.5,708584.5,708584.5,
30,TQBR,2018-11-13,ДВМП ао,FESH,21,55031.5,5.03,5.015,5.095,5.04,5.05,5.04,10900,,5.05,5.04,0.0,583073.0,0.0,
31,TQBR,2018-11-14,ДВМП ао,FESH,66,360609.0,5.015,4.985,5.065,5.005,5.01,5.005,72000,,5.02,5.005,0.0,588537.5,0.0,
32,TQBR,2018-11-15,ДВМП ао,FESH,15,32600.0,4.955,4.955,5.065,5.025,5.015,5.025,6500,,5.015,5.025,0.0,500559.0,0.0,
33,TQBR,2018-11-16,ДВМП ао,FESH,82,1139831.5,5.005,4.93,5.06,4.965,4.97,4.965,229300,4.97,4.97,4.965,1139831.5,1139831.5,1139831.5,
34,TQBR,2018-11-19,ДВМП ао,FESH,26,128750.5,5.0,4.95,5.04,4.955,4.99,4.955,25800,,4.97,4.955,0.0,517708.5,0.0,
35,TQBR,2018-11-20,ДВМП ао,FESH,44,452235.0,4.985,4.84,4.995,4.855,4.93,4.855,91700,,4.935,4.855,0.0,503247.5,0.0,
36,TQBR,2018-11-21,ДВМП ао,FESH,27,111938.5,4.855,4.84,4.975,4.9,4.91,4.9,22800,,4.925,4.9,0.0,533318.0,0.0,
37,TQBR,2018-11-22,ДВМП ао,FESH,69,434310.0,4.975,4.71,5.0,5.0,4.93,5.0,88100,,4.93,5.0,0.0,500863.5,0.0,
38,TQBR,2018-11-23,ДВМП ао,FESH,45,1072700.5,5.0,4.95,5.005,4.95,4.99,4.95,214900,4.99,4.99,4.95,1072700.5,1072700.5,1072700.5,
39,TQBR,2018-11-26,ДВМП ао,FESH,29,152247.5,4.91,4.805,4.95,4.855,4.895,4.855,31100,,4.955,4.855,0.0,577426.5,0.0,
40,TQBR,2018-11-27,ДВМП ао,FESH,19,51150.5,4.945,4.815,4.945,4.84,4.87,4.84,10500,,4.94,4.84,0.0,507577.0,0.0,
