history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQTF;2018-10-01;FXMM ETF;FXMM;266;11397607.1;1457.6;1457.6;1457.8;1457.7;1457.7;1457.7;7819;1457.7;1457.7;1457.7;11397607.1;11397607.1;11397607.1;24184945.51
TQTF;2018-10-02;FXMM ETF;FXMM;272;17502480.3;1457.8;1457;1458;1457.8;1457.8;1457.8;12006;1457.8;1457.8;1457.8;17502480.3;17502480.3;17502480.3;24184945.51
TQTF;2018-10-03;FXMM ETF;FXMM;207;9926719.6;1457.8;1457.8;1458.2;1458.2;1458.1;1458.1;6808;1458.1;1458.1;1458.2;9926719.6;9926719.6;9926719.6;24184945.51
TQTF;2018-10-04;FXMM ETF;FXMM;278;28786912;1458.1;1458.1;1459;1458.9;1458.5;1458.4;19738;1458.5;1458.5;1458.9;28786912;28786912;28786912;24184945.51
TQTF;2018-10-05;FXMM ETF;FXMM;281;16058652.6;1458.2;1456.9;1459.8;1459.3;1459.2;1459.3;11005;1459.2;1459.2;1459.3;16058652.6;16058652.6;16058652.6;24184945.51
TQTF;2018-10-08;FXMM ETF;FXMM;227;10267211.8;1459.4;1459.4;1459.7;1459.7;1459.7;1459.7;7034;1459.7;1459.7;1459.7;10267211.8;10267211.8;10267211.8;24184945.51
TQTF;2018-10-09;FXMM ETF;FXMM;248;10658015;1459.9;1459.9;1460.1;1460.1;1460;1460.1;7300;1460;1460;1460.1;10658015;10658015;10658015;24184945.51
TQTF;2018-10-10;FXMM ETF;FXMM;235;26796594.6;1460.5;1460.5;1462.8;1460.7;1460.6;1461.1;18346;1460.6;1460.6;1460.7;26796594.6;26796594.6;26796594.6;24184945.51
TQTF;2018-10-11;FXMM ETF;FXMM;420;24942183.3;1461.1;1460.6;1462;1461;1460.9;1461.1;17073;1460.9;1460.9;1461;24942183.3;24942183.3;24942183.3;24184945.51
TQTF;2018-10-12;FXMM ETF;FXMM;249;13876505.7;1460.8;1455;1462.6;1461.4;1461.3;1461.4;9496;1461.3;1461.3;1461.4;13876505.7;13876505.7;13876505.7;24184945.51
TQTF;2018-10-15;FXMM ETF;FXMM;303;25603642.3;1458.5;1458.5;1461.7;1461.5;1461.6;1461.5;17518;1461.6;1461.6;1461.5;25603642.3;25603642.3;25603642.3;24184945.51
TQTF;2018-10-16;FXMM ETF;FXMM;216;10563465.6;1461.6;1461.6;1461.9;1461.7;1461.7;1461.6;7227;1461.7;1461.7;1461.7;10563465.6;10563465.6;10563465.6;24184945.51
TQTF;2018-10-17;FXMM ETF;FXMM;201;28454140.2;1461.9;1461.8;1462.1;1462.1;1462;1462.1;19463;1462;1462;1462.1;28454140.2;28454140.2;28454140.2;24184945.51
TQTF;2018-10-18;FXMM ETF;FXMM;188;14877590.9;1462;1462;1462.4;1462.4;1462.3;1462.4;10174;1462.3;1462.3;1462.4;14877590.9;14877590.9;14877590.9;24184945.51
TQTF;2018-10-19;FXMM ETF;FXMM;273;27018757.7;1462.4;1460.7;1462.8;1462.6;1462.6;1462.6;18473;1462.6;1462.6;1462.6;27018757.7;27018757.7;27018757.7;24184945.51
TQTF;2018-10-22;FXMM ETF;FXMM;335;46239525.8;1462.8;1461.7;1463.2;1463;1463;1463;31605;1463;1463;1463;46239525.8;46239525.8;46239525.8;24184945.51
TQTF;2018-10-23;FXMM ETF;FXMM;354;20552197.4;1463.3;1461.9;1464.7;1463.3;1463.2;1463.2;14046;1463.2;1463.2;1463.3;20552197.4;20552197.4;20552197.4;24184945.51
TQTF;2018-10-24;FXMM ETF;FXMM;216;25014365.9;1463.4;1463.4;1463.7;1463.7;1463.6;1463.7;17091;1463.6;1463.6;1463.7;25014365.9;25014365.9;25014365.9;24184945.51
TQTF;2018-10-25;FXMM ETF;FXMM;249;27839606.9;1463.5;1463.5;1464.1;1464;1463.9;1464;19017;1463.9;1463.9;1464;27839606.9;27839606.9;27839606.9;24184945.51
TQTF;2018-10-26;FXMM ETF;FXMM;277;23357233.3;1464;1464;1465;1464.4;1464.5;1464.4;15949;1464.5;1464.5;1464.4;23357233.3;23357233.3;23357233.3;24184945.51
TQTF;2018-10-29;FXMM ETF;FXMM;229;10994397.1;1464.5;1463.2;1464.9;1464.8;1464.7;1464.8;7506;1464.7;1464.7;1464.8;10994397.1;10994397.1;10994397.1;24184945.51
TQTF;2018-10-30;FXMM ETF;FXMM;231;12131287.7;1465.4;1465.2;1465.9;1465.4;1465.3;1465.4;8279;1465.3;1465.3;1465.4;12131287.7;12131287.7;12131287.7;24184945.51
TQTF;2018-10-31;FXMM ETF;FXMM;205;6526512.9;1465.4;1465.2;1467.8;1465.7;1465.6;1465.6;4453;1465.6;1465.6;1465.7;6526512.9;6526512.9;6526512.9;24184945.51
TQTF;2018-11-01;FXMM ETF;FXMM;287;13877328.3;1467.8;1466;1467.8;1466.2;1466.2;1466.2;9465;1466.2;1466.2;1466.2;13877328.3;13877328.3;13877328.3;19302622.25
TQTF;2018-11-02;FXMM ETF;FXMM;261;16464551;1466.3;1466.3;1467.9;1466.7;1466.6;1466.7;11226;1466.6;1466.6;1466.7;16464551;16464551;16464551;19302622.25
TQTF;2018-11-06;FXMM ETF;FXMM;387;60678980.2;1466.6;1466.5;1470;1467.5;1467.1;1468.9;41360;1467.1;1467.1;1467.5;60678980.2;60678980.2;60678980.2;19302622.25
TQTF;2018-11-07;FXMM ETF;FXMM;287;28544777.6;1467;1466.6;1468.9;1467.8;1467.7;1467.6;19449;1467.7;1467.7;1467.8;28544777.6;28544777.6;28544777.6;19302622.25
TQTF;2018-11-08;FXMM ETF;FXMM;298;22290739.1;1467.7;1467.7;1468.9;1468.1;1468;1468;15184;1468;1468;1468.1;22290739.1;22290739.1;22290739.1;19302622.25
TQTF;2018-11-09;FXMM ETF;FXMM;281;44950119.8;1468.8;1468;1469.1;1468.4;1468.4;1468.4;30612;1468.4;1468.4;1468.4;44950119.8;44950119.8;44950119.8;19302622.25
TQTF;2018-11-12;FXMM ETF;FXMM;310;15780315.6;1468.2;1467.5;1468.7;1468.6;1468.6;1468.6;10745;1468.6;1468.6;1468.6;15780315.6;15780315.6;15780315.6;19302622.25
TQTF;2018-11-13;FXMM ETF;FXMM;245;25026184.3;1469;1468.5;1469;1469;1468.9;1469;17037;1468.9;1468.9;1469;25026184.3;25026184.3;25026184.3;19302622.25
TQTF;2018-11-14;FXMM ETF;FXMM;263;11753811.4;1469.5;1469.3;1469.5;1469.5;1469.4;1469.5;7999;1469.4;1469.4;1469.5;11753811.4;11753811.4;11753811.4;19302622.25
TQTF;2018-11-15;FXMM ETF;FXMM;283;43938995.3;1469.3;1468;1469.9;1469.9;1469.7;1469.8;29897;1469.7;1469.7;1469.9;43938995.3;43938995.3;43938995.3;19302622.25
TQTF;2018-11-16;FXMM ETF;FXMM;244;19418160.6;1469.5;1469.5;1470.2;1470;1470.1;1470.2;13209;1470.1;1470.1;1470;19418160.6;19418160.6;19418160.6;19302622.25
TQTF;2018-11-19;FXMM ETF;FXMM;258;16433913.5;1470.3;1469.9;1472.5;1470.1;1470.2;1470.1;11178;1470.2;1470.2;1470.1;16433913.5;16433913.5;16433913.5;19302622.25
