history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQTF;2018-10-01;FXRB ETF;FXRB;92;1390102;1427;1426;1431;1429;1429;1430;973;1429;1429;1429;1390102;1390102;1390102;3820291.48
TQTF;2018-10-02;FXRB ETF;FXRB;78;2824224;1431;1427;1432;1427;1428;1429;1978;1428;1428;1427;2824224;2824224;2824224;3820291.48
TQTF;2018-10-03;FXRB ETF;FXRB;76;4621243;1430;1426;1430;1427;1426;1428;3240;1426;1426;1427;4621243;4621243;4621243;3820291.48
TQTF;2018-10-04;FXRB ETF;FXRB;116;18967302;1426;1425;1428;1425;1425;1426;13307;1425;1425;1425;18967302;18967302;18967302;3820291.48
TQTF;2018-10-05;FXRB ETF;FXRB;244;8164235;1427;1426;1438;1436;1433;1435;5697;1433;1433;1436;8164235;8164235;8164235;3820291.48
TQTF;2018-10-08;FXRB ETF;FXRB;148;1796588;1428;1426;1435;1430;1430;1427;1256;1430;1430;1430;1796588;1796588;1796588;3820291.48
TQTF;2018-10-09;FXRB ETF;FXRB;146;2205553;1426;1425;1432;1430;1428;1430;1544;1428;1428;1430;2205553;2205553;2205553;3820291.48
TQTF;2018-10-10;FXRB ETF;FXRB;259;3635390;1431;1425;1433;1429;1428;1429;2546;1428;1428;1429;3635390;3635390;3635390;3820291.48
TQTF;2018-10-11;FXRB ETF;FXRB;125;2967068;1426;1417;1430;1425;1425;1425;2082;1425;1425;1425;2967068;2967068;2967068;3820291.48
TQTF;2018-10-12;FXRB ETF;FXRB;101;1527309;1420;1418;1429;1428;1426;1427;1071;1426;1426;1428;1527309;1527309;1527309;3820291.48
TQTF;2018-10-15;FXRB ETF;FXRB;294;4779910;1427;1424;1434;1430;1429;1427;3345;1429;1429;1430;4779910;4779910;4779910;3820291.48
TQTF;2018-10-16;FXRB ETF;FXRB;114;2273336;1429;1427;1433;1432;1430;1433;1590;1430;1430;1432;2273336;2273336;2273336;3820291.48
TQTF;2018-10-17;FXRB ETF;FXRB;252;3221440;1432;1432;1442;1434;1438;1434;2241;1438;1438;1434;3221440;3221440;3221440;3820291.48
TQTF;2018-10-18;FXRB ETF;FXRB;130;1540795;1436;1433;1443;1437;1436;1437;1073;1436;1436;1437;1540795;1540795;1540795;3820291.48
TQTF;2018-10-19;FXRB ETF;FXRB;164;2764495;1439;1436;1445;1440;1438;1440;1923;1438;1438;1440;2764495;2764495;2764495;3820291.48
TQTF;2018-10-22;FXRB ETF;FXRB;185;2067777;1434;1434;1445;1436;1439;1436;1437;1439;1439;1436;2067777;2067777;2067777;3820291.48
TQTF;2018-10-23;FXRB ETF;FXRB;146;1413556;1440;1436;1442;1441;1439;1441;982;1439;1439;1441;1413556;1413556;1413556;3820291.48
TQTF;2018-10-24;FXRB ETF;FXRB;143;2187798;1441;1435;1445;1437;1439;1437;1520;1439;1439;1437;2187798;2187798;2187798;3820291.48
TQTF;2018-10-25;FXRB ETF;FXRB;98;1960576;1442;1434;1442;1439;1439;1439;1362;1439;1439;1439;1960576;1960576;1960576;3820291.48
TQTF;2018-10-26;FXRB ETF;FXRB;123;2237558;1441;1433;1441;1438;1435;1436;1559;1435;1435;1438;2237558;2237558;2237558;3820291.48
TQTF;2018-10-29;FXRB ETF;FXRB;62;2419082;1437;1436;1441;1438;1438;1438;1682;1438;1438;1438;2419082;2419082;2419082;3820291.48
TQTF;2018-10-30;FXRB ETF;FXRB;97;2774697;1439;1438;1444;1441;1439;1441;1928;1439;1439;1441;2774697;2774697;2774697;3820291.48
TQTF;2018-10-31;FXRB ETF;FXRB;93;2443490;1443;1443;1448;1447;1444;1448;1692;1444;1444;1447;2443490;2443490;2443490;3820291.48
TQTF;2018-11-01;FXRB ETF;FXRB;108;2199198;1448;1442;1449;1445;1445;1445;1522;1445;1445;1445;2199198;2199198;2199198;3432613.42
TQTF;2018-11-02;FXRB ETF;FXRB;136;1698739;1446;1443;1449;1445;1447;1445;1174;1447;1447;1445;1698739;1698739;1698739;3432613.42
TQTF;2018-11-06;FXRB ETF;FXRB;95;1139992;1445;1443;1449;1445;1447;1445;788;1447;1447;1445;1139992;1139992;1139992;3432613.42
TQTF;2018-11-07;FXRB ETF;FXRB;76;4382898;1448;1447;1450;1447;1447;1448;3028;1447;1447;1447;4382898;4382898;4382898;3432613.42
TQTF;2018-11-08;FXRB ETF;FXRB;336;11941353;1449;1402;1450;1447;1446;1447;8261;1446;1446;1447;11941353;11941353;11941353;3432613.42
TQTF;2018-11-09;FXRB ETF;FXRB;111;7227777;1448;1445;1450;1446;1450;1448;4986;1450;1450;1446;7227777;7227777;7227777;3432613.42
TQTF;2018-11-12;FXRB ETF;FXRB;117;2364880;1448;1444;1449;1445;1446;1445;1636;1446;1446;1445;2364880;2364880;2364880;3432613.42
TQTF;2018-11-13;FXRB ETF;FXRB;75;1892925;1447;1444;1449;1448;1446;1448;1309;1446;1446;1448;1892925;1892925;1892925;3432613.42
TQTF;2018-11-14;FXRB ETF;FXRB;119;2923927;1448;1445;1453;1451;1449;1451;2018;1449;1449;1451;2923927;2923927;2923927;3432613.42
TQTF;2018-11-15;FXRB ETF;FXRB;92;1368953;1452;1448;1455;1449;1452;1449;943;1452;1452;1449;1368953;1368953;1368953;3432613.42
TQTF;2018-11-16;FXRB ETF;FXRB;98;1537689;1452;1449;1455;1453;1451;1453;1060;1451;1451;1453;1537689;1537689;1537689;3432613.42
TQTF;2018-11-19;FXRB ETF;FXRB;176;3223891;1455;1451;1460;1452;1457;1452;2213;1457;1457;1452;3223891;3223891;3223891;3432613.42
TQTF;2018-11-20;FXRB ETF;FXRB;161;5075082;1454;1452;1462;1460;1460;1462;3475;1460;1460;1460;5075082;5075082;5075082;3432613.42
