,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQTF,2018-10-01,FXRU ETF,FXRU,77,4201050.0,7290.0,7140.0,7290.0,7190.0,7200.0,7190.0,584,7200.0,7200.0,7190.0,5499980.01,5499980.01,5499980.01,5745895.74
1,TQTF,2018-10-02,FXRU ETF,FXRU,71,4495040.0,7170.0,7140.0,7210.0,7180.0,7180.0,7190.0,626,7180.0,7180.0,7180.0,4841384.18,4841384.18,4841384.18,5745895.74
2,TQTF,2018-10-03,FXRU ETF,FXRU,70,1973640.0,7200.0,7160.0,7240.0,7230.0,7200.0,7230.0,274,7200.0,7200.0,7230.0,2109978.98,2109978.98,2109978.98,5745895.74
3,TQTF,2018-10-04,FXRU ETF,FXRU,99,3588570.0,7280.0,7250.0,7350.0,7340.0,7290.0,7340.0,492,7290.0,7290.0,7340.0,3588570.0,3588570.0,3588570.0,5745895.74
4,TQTF,2018-10-05,FXRU ETF,FXRU,95,3490300.0,7340.0,7260.0,7340.0,7310.0,7300.0,7310.0,478,7300.0,7300.0,7310.0,3519348.31,3519348.31,3519348.31,5745895.74
5,TQTF,2018-10-08,FXRU ETF,FXRU,109,4342000.0,7350.0,7270.0,7350.0,7280.0,7320.0,7270.0,593,7320.0,7320.0,7280.0,4349301.65,4349301.65,4349301.65,5745895.74
6,TQTF,2018-10-09,FXRU ETF,FXRU,82,3345430.0,7280.0,7240.0,7320.0,7280.0,7270.0,7280.0,460,7270.0,7270.0,7280.0,3352770.42,3352770.42,3352770.42,5745895.74
7,TQTF,2018-10-10,FXRU ETF,FXRU,90,4974370.0,7220.0,7180.0,7310.0,7290.0,7250.0,7280.0,686,7250.0,7250.0,7290.0,5047160.52,5047160.52,5047160.52,5745895.74
8,TQTF,2018-10-11,FXRU ETF,FXRU,83,3849730.0,7320.0,7230.0,7320.0,7250.0,7260.0,7240.0,530,7260.0,7260.0,7250.0,4425788.57,4425788.57,4425788.57,5745895.74
9,TQTF,2018-10-12,FXRU ETF,FXRU,74,3272520.0,7240.0,7190.0,7280.0,7280.0,7240.0,7280.0,452,7240.0,7240.0,7280.0,3375078.86,3375078.86,3375078.86,5745895.74
10,TQTF,2018-10-15,FXRU ETF,FXRU,124,3916320.0,7230.0,7150.0,7230.0,7200.0,7200.0,7210.0,544,7200.0,7200.0,7200.0,3967056.17,3967056.17,3967056.17,5745895.74
