,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQTF,2018-10-01,FXUK ETF,FXUK,68,895037,2043,2040,2055,2040,2048,2040,437,2048.0,2048,2040,895037,895037,895037,919688.28
1,TQTF,2018-10-02,FXUK ETF,FXUK,72,1073876,2060,2014,2069,2024,2019,2024,532,2019.0,2019,2024,1073876,1073876,1073876,919688.28
2,TQTF,2018-10-03,FXUK ETF,FXUK,53,918990,2033,2022,2060,2046,2042,2046,450,2042.0,2042,2046,918990,918990,918990,919688.28
3,TQTF,2018-10-04,FXUK ETF,FXUK,47,545638,2050,2039,2067,2062,2051,2062,266,2051.0,2051,2062,545638,545638,545638,919688.28
4,TQTF,2018-10-05,FXUK ETF,FXUK,59,627701,2061,2035,2061,2035,2045,2035,307,2045.0,2045,2035,627701,627701,627701,919688.28
5,TQTF,2018-10-08,FXUK ETF,FXUK,59,1016501,2024,2007,2067,2007,2029,2007,501,2029.0,2029,2007,1016501,1016501,1016501,919688.28
6,TQTF,2018-10-09,FXUK ETF,FXUK,50,527505,2008,1997,2021,2016,2006,2016,263,2006.0,2006,2016,527505,527505,527505,919688.28
7,TQTF,2018-10-10,FXUK ETF,FXUK,49,779464,2006,2006,2015,2008,2009,2008,388,2009.0,2009,2008,779464,779464,779464,919688.28
8,TQTF,2018-10-11,FXUK ETF,FXUK,94,707493,1969,1931,2006,1960,1971,1960,359,1971.0,1971,1960,707493,707493,707493,919688.28
9,TQTF,2018-10-12,FXUK ETF,FXUK,54,2027792,1931,1882,1973,1956,1957,1956,1036,1957.0,1957,1956,2027792,2027792,2027792,919688.28
10,TQTF,2018-10-15,FXUK ETF,FXUK,67,2601994,1930,1922,1938,1935,1932,1935,1347,1932.0,1932,1935,2601994,2601994,2601994,919688.28
