history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQDE;2018-10-01;GTL ао;GTLC;547;2595678;0.1265;0.118;0.131;0.124;0.1235;0.124;21023000;0.1235;0.1235;0.124;2595678;2595678;2595678;
TQDE;2018-10-02;GTL ао;GTLC;358;2354823;0.12;0.12;0.1285;0.1235;0.1245;0.1235;18893000;0.1245;0.1245;0.1235;2354823;2354823;2354823;
TQDE;2018-10-03;GTL ао;GTLC;2186;12212681;0.124;0.124;0.1465;0.132;0.134;0.133;91159000;0.134;0.134;0.132;12212681;12212681;12212681;
TQDE;2018-10-04;GTL ао;GTLC;374;2655509;0.133;0.1245;0.1355;0.1245;0.1295;0.1245;20499000;0.1295;0.1295;0.1245;2655509;2655509;2655509;
TQDE;2018-10-05;GTL ао;GTLC;480;1893917.5;0.1265;0.1225;0.133;0.1305;0.1285;0.1295;14717000;0.1285;0.1285;0.1305;1893917.5;1893917.5;1893917.5;
TQDE;2018-10-08;GTL ао;GTLC;599;1753474;0.1315;0.1255;0.135;0.127;0.1305;0.1295;13416000;0.1305;0.1305;0.127;1753474;1753474;1753474;
TQDE;2018-10-09;GTL ао;GTLC;408;1224349;0.132;0.1235;0.132;0.124;0.1255;0.124;9765000;0.1255;0.1255;0.124;1224349;1224349;1224349;
TQDE;2018-10-10;GTL ао;GTLC;322;1649175.5;0.126;0.121;0.126;0.122;0.1235;0.122;13359000;0.1235;0.1235;0.122;1649175.5;1649175.5;1649175.5;
TQDE;2018-10-11;GTL ао;GTLC;1987;9898718.5;0.1225;0.1165;0.1345;0.1225;0.1245;0.1225;79424000;0.1245;0.1245;0.1225;9898718.5;9898718.5;9898718.5;
TQDE;2018-10-12;GTL ао;GTLC;275;1309082;0.123;0.12;0.1235;0.122;0.121;0.122;10811000;0.121;0.121;0.122;1309082;1309082;1309082;
TQDE;2018-10-15;GTL ао;GTLC;429;1389032.5;0.1225;0.1205;0.125;0.1225;0.122;0.1225;11380000;0.122;0.122;0.1225;1389032.5;1389032.5;1389032.5;
TQDE;2018-10-16;GTL ао;GTLC;587;1276739;0.129;0.119;0.129;0.1205;0.1205;0.1195;10597000;0.1205;0.1205;0.1205;1276739;1276739;1276739;
TQDE;2018-10-17;GTL ао;GTLC;343;1888992;0.1215;0.119;0.1235;0.12;0.1205;0.1195;15700000;0.1205;0.1205;0.12;1888992;1888992;1888992;
TQDE;2018-10-18;GTL ао;GTLC;367;2337612.5;0.12;0.119;0.1235;0.1205;0.121;0.121;19339000;0.121;0.121;0.1205;2337612.5;2337612.5;2337612.5;
TQDE;2018-10-19;GTL ао;GTLC;236;1030102;0.1225;0.119;0.1225;0.119;0.12;0.1195;8574000;0.12;0.12;0.119;1030102;1030102;1030102;
TQDE;2018-10-22;GTL ао;GTLC;330;997929.5;0.1205;0.1165;0.121;0.117;0.118;0.1165;8450000;0.118;0.118;0.117;997929.5;997929.5;997929.5;
TQDE;2018-10-23;GTL ао;GTLC;369;1001091;0.117;0.113;0.1195;0.116;0.1165;0.116;8589000;0.1165;0.1165;0.116;1001091;1001091;1001091;
