,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,КузбТК ао,KBTK,261,7884585,191.5,187.0,196.0,192.0,191.5,192.0,41130,191.5,191.5,192.0,7884585,7884585,7884585,
1,TQBR,2018-10-02,КузбТК ао,KBTK,2454,40217110,195.0,192.0,248.5,217.5,213.5,217.5,188270,213.5,213.5,217.5,40217110,40217110,40217110,
2,TQBR,2018-10-03,КузбТК ао,KBTK,2133,21245285,223.0,211.5,243.5,212.0,225.5,212.0,94180,225.5,225.5,212.0,21245285,21245285,21245285,
3,TQBR,2018-10-04,КузбТК ао,KBTK,622,5445040,213.0,205.5,222.0,207.5,212.0,207.0,25670,212.0,212.0,207.5,5445040,5445040,5445040,
4,TQBR,2018-10-05,КузбТК ао,KBTK,186,2821525,206.0,205.5,213.0,211.5,209.5,211.5,13480,209.5,209.5,211.5,2821525,2821525,2821525,
5,TQBR,2018-10-08,КузбТК ао,KBTK,119,1317930,210.5,209.5,217.5,215.0,215.5,215.0,6120,215.5,215.5,215.0,1317930,1317930,1317930,
6,TQBR,2018-10-09,КузбТК ао,KBTK,145,1658195,215.5,214.5,220.0,219.0,217.5,219.0,7620,217.5,217.5,219.0,1658195,1658195,1658195,
7,TQBR,2018-10-10,КузбТК ао,KBTK,233,3553300,223.0,210.0,225.0,213.0,214.0,213.0,16590,214.0,214.0,213.0,3553300,3553300,3553300,
8,TQBR,2018-10-11,КузбТК ао,KBTK,674,12056340,210.5,198.5,213.5,206.0,204.5,206.0,58970,204.5,204.5,206.0,12056340,12056340,12056340,
9,TQBR,2018-10-12,КузбТК ао,KBTK,407,4748630,208.0,200.0,210.0,209.5,204.5,209.5,23210,204.5,204.5,209.5,4748630,4748630,4748630,
10,TQBR,2018-10-15,КузбТК ао,KBTK,122,1633395,209.5,208.5,214.5,211.5,211.0,211.5,7750,211.0,211.0,211.5,1633395,1633395,1633395,
11,TQBR,2018-10-16,КузбТК ао,KBTK,129,1243715,212.5,208.5,213.5,213.0,211.0,213.0,5900,211.0,211.0,213.0,1243715,1243715,1243715,
12,TQBR,2018-10-17,КузбТК ао,KBTK,62,842995,213.0,209.0,213.5,213.5,212.0,213.5,3980,212.0,212.0,213.5,842995,842995,842995,
13,TQBR,2018-10-18,КузбТК ао,KBTK,89,2331000,212.0,208.5,214.0,210.0,211.0,210.0,11060,211.0,211.0,210.0,2331000,2331000,2331000,
14,TQBR,2018-10-19,КузбТК ао,KBTK,174,1723290,210.5,203.0,210.5,207.0,205.5,207.0,8380,205.5,205.5,207.0,1723290,1723290,1723290,
15,TQBR,2018-10-22,КузбТК ао,KBTK,143,1678885,208.5,201.5,208.5,202.5,203.5,202.5,8260,203.5,203.5,202.5,1678885,1678885,1678885,
16,TQBR,2018-10-23,КузбТК ао,KBTK,212,3112405,203.0,199.5,204.0,203.5,200.5,203.5,15510,200.5,200.5,203.5,3112405,3112405,3112405,
17,TQBR,2018-10-24,КузбТК ао,KBTK,158,1209585,206.0,205.5,210.0,208.0,207.5,208.0,5830,207.5,207.5,208.0,1209585,1209585,1209585,
18,TQBR,2018-10-25,КузбТК ао,KBTK,199,7393560,204.5,204.0,211.5,206.0,206.0,206.0,35870,206.0,206.0,206.0,7393560,7393560,7393560,
19,TQBR,2018-10-26,КузбТК ао,KBTK,94,1321285,207.5,202.0,210.0,203.5,204.0,204.5,6470,204.0,204.0,203.5,1321285,1321285,1321285,
20,TQBR,2018-10-29,КузбТК ао,KBTK,253,3258840,210.0,204.0,215.0,210.5,209.0,210.5,15600,209.0,209.0,210.5,3258840,3258840,3258840,
21,TQBR,2018-10-30,КузбТК ао,KBTK,395,4715100,210.5,201.0,212.0,206.0,205.0,206.0,22990,205.0,205.0,206.0,4715100,4715100,4715100,
22,TQBR,2018-10-31,КузбТК ао,KBTK,175,1482270,206.0,204.5,210.0,208.5,206.0,208.5,7190,206.0,206.0,208.5,1482270,1482270,1482270,
23,TQBR,2018-11-01,КузбТК ао,KBTK,59,322880,205.4,205.4,209.4,208.6,208.4,208.6,1550,,207.8,208.6,0,500980,0,
24,TQBR,2018-11-02,КузбТК ао,KBTK,646,4706116,210.0,204.6,211.6,206.0,206.2,206.0,22830,206.2,206.2,206.0,4706116,4706116,4706116,
25,TQBR,2018-11-06,КузбТК ао,KBTK,632,12558312,208.0,207.4,217.6,214.8,214.2,214.8,58640,214.2,214.2,214.8,12558312,12558312,12558312,
26,TQBR,2018-11-07,КузбТК ао,KBTK,138,2530156,217.4,212.0,217.8,214.0,214.4,214.0,11800,214.4,214.4,214.0,2530156,2530156,2530156,
27,TQBR,2018-11-08,КузбТК ао,KBTK,119,1768396,215.6,210.2,215.6,211.4,212.0,211.4,8340,212.0,212.0,211.4,1768396,1768396,1768396,
28,TQBR,2018-11-09,КузбТК ао,KBTK,595,13580436,212.0,210.6,218.0,216.4,215.4,216.6,63040,215.4,215.4,216.4,13580436,13580436,13580436,
29,TQBR,2018-11-12,КузбТК ао,KBTK,537,8444980,217.2,216.4,233.0,232.8,225.6,232.8,37450,225.6,225.6,232.8,8444980,8444980,8444980,
30,TQBR,2018-11-13,КузбТК ао,KBTK,518,7220108,228.2,228.0,240.6,232.0,237.2,232.0,30440,237.2,237.2,232.0,7220108,7220108,7220108,
31,TQBR,2018-11-14,КузбТК ао,KBTK,201,2690466,232.4,228.4,238.4,232.4,232.4,232.4,11580,232.4,232.4,232.4,2690466,2690466,2690466,
32,TQBR,2018-11-15,КузбТК ао,KBTK,1019,28270076,232.4,212.2,232.4,215.0,215.8,215.0,131050,215.8,215.8,215.0,28270076,28270076,28270076,
33,TQBR,2018-11-16,КузбТК ао,KBTK,256,3777712,211.6,210.8,222.0,220.0,218.0,220.0,17340,217.8,217.8,220.0,3777712,3777712,3777712,
34,TQBR,2018-11-19,КузбТК ао,KBTK,132,3736710,219.2,216.0,220.8,217.0,217.8,217.0,17160,217.8,217.8,217.0,3736710,3736710,3736710,
35,TQBR,2018-11-20,КузбТК ао,KBTK,81,935604,215.8,213.0,217.4,213.6,214.6,213.6,4360,214.6,214.6,213.6,935604,935604,935604,
36,TQBR,2018-11-21,КузбТК ао,KBTK,67,877242,214.4,212.2,215.0,214.0,213.4,213.6,4110,213.4,213.4,214.0,877242,877242,877242,
37,TQBR,2018-11-22,КузбТК ао,KBTK,58,630826,216.8,212.6,217.0,213.2,213.8,213.2,2950,213.8,213.8,213.2,630826,630826,630826,
38,TQBR,2018-11-23,КузбТК ао,KBTK,173,2687044,211.6,210.0,217.8,211.6,213.0,211.6,12620,213.0,213.0,211.6,2687044,2687044,2687044,
39,TQBR,2018-11-26,КузбТК ао,KBTK,181,3045400,210.8,205.0,212.6,208.2,207.6,208.2,14680,207.4,207.4,208.2,3045400,3045400,3045400,
40,TQBR,2018-11-27,КузбТК ао,KBTK,252,12128150,208.2,204.0,211.8,205.0,205.2,205.0,59090,205.2,205.2,205.0,12128150,12128150,12128150,
41,TQBR,2018-11-28,КузбТК ао,KBTK,143,1353868,205.6,205.6,210.2,208.0,208.0,208.0,6510,208.0,208.0,208.0,1353868,1353868,1353868,
42,TQBR,2018-11-29,КузбТК ао,KBTK,67,625848,209.6,207.0,210.0,208.8,209.4,208.8,2990,209.4,209.4,208.8,625848,625848,625848,
43,TQBR,2018-11-30,КузбТК ао,KBTK,253,21912316,208.6,204.4,209.4,205.6,205.2,205.6,106830,205.2,205.2,205.6,21912316,21912316,21912316,
44,TQBR,2018-12-03,КузбТК ао,KBTK,116,1953906,208.0,204.8,208.2,207.0,206.6,207.0,9460,206.6,206.6,207.0,1953906,1953906,1953906,
45,TQBR,2018-12-04,КузбТК ао,KBTK,77,1087820,205.8,204.8,207.0,206.0,206.0,206.4,5280,206.0,206.0,206.0,1087820,1087820,1087820,
46,TQBR,2018-12-05,КузбТК ао,KBTK,61,384916,206.8,204.8,206.8,206.0,205.8,206.2,1870,,206.2,206.0,0,616486,0,
