history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;КамчатЭ ао;KCHE;30;126265;0.1205;0.1205;0.131;0.1255;0.1275;0.125;990000;;0.1185;0.1255;0;505060;0;
TQBR;2018-10-02;КамчатЭ ао;KCHE;46;357100;0.1155;0.1155;0.1235;0.118;0.1165;0.118;3060000;;0.1195;0.118;0;500190;0;
TQBR;2018-10-03;КамчатЭ ао;KCHE;14;71525;0.1155;0.114;0.1185;0.1185;0.1175;0.1185;610000;;0.1185;0.1185;0;507085;0;
TQBR;2018-10-04;КамчатЭ ао;KCHE;2;2430;0.123;0.12;0.123;0.1215;0.1215;0.12;20000;;0.1185;0.1215;0;509515;0;
TQBR;2018-10-05;КамчатЭ ао;KCHE;9;59815;0.124;0.1235;0.125;0.1245;0.1245;0.125;480000;;0.118;0.1245;0;502160;0;
TQBR;2018-10-08;КамчатЭ ао;KCHE;6;25635;0.1305;0.1205;0.1305;0.1205;0.122;0.1205;210000;;0.118;0.1205;0;500755;0;
TQBR;2018-10-09;КамчатЭ ао;KCHE;2;2485;0.1245;0.124;0.1245;0.124;0.1245;0.124;20000;;0.118;0.124;0;502040;0;
TQBR;2018-10-10;КамчатЭ ао;KCHE;0;0;;;;0.124;;;0;;0.118;0.124;0;502040;0;
TQBR;2018-10-11;КамчатЭ ао;KCHE;26;157160;0.116;0.111;0.12;0.114;0.1145;0.114;1370000;;0.117;0.114;0;525780;0;
TQBR;2018-10-12;КамчатЭ ао;KCHE;6;24300;0.1175;0.114;0.1175;0.1165;0.1155;0.1165;210000;;0.117;0.1165;0;550080;0;
TQBR;2018-10-15;КамчатЭ ао;KCHE;34;182825;0.1155;0.1155;0.13;0.124;0.1225;0.124;1490000;;0.1195;0.124;0;500865;0;
TQBR;2018-10-16;КамчатЭ ао;KCHE;6;14310;0.117;0.117;0.1205;0.12;0.1195;0.1185;120000;;0.1195;0.12;0;502140;0;
TQBR;2018-10-17;КамчатЭ ао;KCHE;13;35805;0.126;0.119;0.1265;0.1235;0.1235;0.1235;290000;;0.12;0.1235;0;501095;0;
TQBR;2018-10-18;КамчатЭ ао;KCHE;7;17515;0.125;0.1245;0.126;0.126;0.125;0.126;140000;;0.12;0.126;0;502480;0;
TQBR;2018-10-19;КамчатЭ ао;KCHE;16;61480;0.126;0.1205;0.1265;0.121;0.123;0.121;500000;;0.12;0.121;0;517615;0;
TQBR;2018-10-22;КамчатЭ ао;KCHE;16;101265;0.127;0.1235;0.127;0.124;0.125;0.124;810000;;0.122;0.124;0;500455;0;
TQBR;2018-10-23;КамчатЭ ао;KCHE;20;52950;0.1265;0.125;0.127;0.1265;0.126;0.1265;420000;;0.123;0.1265;0;503240;0;
TQBR;2018-10-24;КамчатЭ ао;KCHE;14;32990;0.126;0.1205;0.1265;0.1235;0.122;0.1235;270000;;0.1235;0.1235;0;508460;0;
TQBR;2018-10-25;КамчатЭ ао;KCHE;11;130925;0.1235;0.12;0.1235;0.12;0.121;0.12;1080000;;0.123;0.12;0;503660;0;
TQBR;2018-10-26;КамчатЭ ао;KCHE;8;66215;0.1265;0.12;0.1265;0.12;0.1205;0.12;550000;;0.123;0.12;0;500330;0;
TQBR;2018-10-29;КамчатЭ ао;KCHE;19;41370;0.105;0.105;0.1255;0.1195;0.1215;0.1195;340000;;0.123;0.1195;0;502210;0;
TQBR;2018-10-30;КамчатЭ ао;KCHE;10;76575;0.1135;0.1135;0.1165;0.1165;0.116;0.1165;660000;;0.1215;0.1165;0;502290;0;
TQBR;2018-10-31;КамчатЭ ао;KCHE;0;0;;;;0.1165;;;0;;0.1215;0.1165;0;502290;0;
TQBR;2018-11-01;КамчатЭ ао;KCHE;15;33125;0.115;0.1105;0.1185;0.1175;0.114;0.1175;290000;;0.121;0.1175;0;503070;0;
TQBR;2018-11-02;КамчатЭ ао;KCHE;0;0;;;;0.1175;;;0;;0.121;0.1175;0;503070;0;
TQBR;2018-11-06;КамчатЭ ао;KCHE;7;8095;0.1155;0.115;0.117;0.1165;0.1155;0.117;70000;;0.121;0.1165;0;511165;0;
TQBR;2018-11-07;КамчатЭ ао;KCHE;6;10445;0.1165;0.1155;0.117;0.1165;0.116;0.1165;90000;;0.1205;0.1165;0;521610;0;
TQBR;2018-11-08;КамчатЭ ао;KCHE;17;53760;0.1165;0.1165;0.1205;0.12;0.1195;0.12;450000;;0.12;0.12;0;501395;0;
TQBR;2018-11-09;КамчатЭ ао;KCHE;0;0;;;;0.12;;;0;;0.12;0.12;0;501395;0;
TQBR;2018-11-12;КамчатЭ ао;KCHE;11;21320;0.115;0.115;0.1205;0.1185;0.1185;0.1185;180000;;0.1195;0.1185;0;508820;0;
TQBR;2018-11-13;КамчатЭ ао;KCHE;915;7262625;0.1265;0.1235;0.1655;0.1655;0.1475;0.1655;49220000;0.1475;0.1475;0.1655;7262625;7262625;7262625;
