,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,КАМАЗ,KMAZ,69,1703460,63.9,62.5,66.0,63.9,64.8,63.6,26300,64.8,64.8,63.9,1703460,1703460,1703460,
1,TQBR,2018-10-02,КАМАЗ,KMAZ,25,562130,64.6,63.5,64.6,63.7,63.9,63.7,8800,63.9,63.9,63.7,562130,562130,562130,
2,TQBR,2018-10-03,КАМАЗ,KMAZ,63,806690,63.1,63.0,64.8,64.1,64.0,64.1,12600,64.0,64.0,64.1,806690,806690,806690,
3,TQBR,2018-10-04,КАМАЗ,KMAZ,57,2120510,64.1,64.1,65.9,64.4,65.5,64.4,32400,65.4,65.4,64.4,2120510,2120510,2120510,
4,TQBR,2018-10-05,КАМАЗ,KMAZ,55,1629170,64.0,63.2,65.0,64.1,64.1,64.1,25400,64.1,64.1,64.1,1629170,1629170,1629170,
5,TQBR,2018-10-08,КАМАЗ,KMAZ,109,2297480,64.1,60.8,64.8,63.1,62.6,62.9,36700,62.6,62.6,63.1,2297480,2297480,2297480,
6,TQBR,2018-10-09,КАМАЗ,KMAZ,58,1223570,62.9,62.6,65.5,63.4,64.1,63.4,19100,64.1,64.1,63.4,1223570,1223570,1223570,
7,TQBR,2018-10-10,КАМАЗ,KMAZ,26,359480,63.4,62.7,63.9,63.1,63.1,63.1,5700,,63.1,63.1,0,549000,0,
8,TQBR,2018-10-11,КАМАЗ,KMAZ,182,6416680,63.0,58.8,63.0,60.0,60.6,60.0,105900,60.6,60.6,60.0,6416680,6416680,6416680,
9,TQBR,2018-10-12,КАМАЗ,KMAZ,47,803050,60.6,60.6,62.8,61.7,62.3,61.7,12900,62.3,62.3,61.7,803050,803050,803050,
10,TQBR,2018-10-15,КАМАЗ,KMAZ,129,6652520,62.5,58.4,62.8,60.0,60.1,60.0,110700,60.1,60.1,60.0,6652520,6652520,6652520,
11,TQBR,2018-10-16,КАМАЗ,KMAZ,139,13916200,59.9,58.0,59.9,58.6,58.9,58.6,236400,58.9,58.9,58.6,13916200,13916200,13916200,
12,TQBR,2018-10-17,КАМАЗ,KMAZ,63,7865410,58.2,58.0,59.1,58.7,58.7,58.2,134000,58.7,58.7,58.7,7865410,7865410,7865410,
13,TQBR,2018-10-18,КАМАЗ,KMAZ,316,47081450,58.4,58.4,63.3,60.5,60.7,60.5,776100,60.7,60.7,60.5,47081450,47081450,47081450,
14,TQBR,2018-10-19,КАМАЗ,KMAZ,217,17418830,61.0,58.1,62.9,59.5,59.3,59.5,293700,59.3,59.3,59.5,17418830,17418830,17418830,
15,TQBR,2018-10-22,КАМАЗ,KMAZ,64,10088360,60.2,58.9,60.4,59.0,59.0,59.4,171100,59.0,59.0,59.0,10088360,10088360,10088360,
16,TQBR,2018-10-23,КАМАЗ,KMAZ,463,22552020,59.0,54.9,59.1,56.1,55.8,56.1,404200,55.8,55.8,56.1,22552020,22552020,22552020,
17,TQBR,2018-10-24,КАМАЗ,KMAZ,60,1287030,56.9,56.6,57.6,56.9,57.0,56.9,22600,56.9,56.9,56.9,1287030,1287030,1287030,
18,TQBR,2018-10-25,КАМАЗ,KMAZ,152,3833490,56.3,56.1,59.5,57.8,58.1,57.8,66000,58.1,58.1,57.8,3833490,3833490,3833490,
19,TQBR,2018-10-26,КАМАЗ,KMAZ,76,1787360,57.3,56.7,58.0,56.9,57.3,57.1,31200,57.3,57.3,56.9,1787360,1787360,1787360,
20,TQBR,2018-10-29,КАМАЗ,KMAZ,26,412340,56.8,56.6,57.6,57.6,57.3,57.6,7200,,57.2,57.6,0,515200,0,
