,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,КМЗ,KMEZ,2,4420,340.0,340.0,340.0,340,340.0,340.0,13,,341,340,0,543930,0,
1,TQBR,2018-10-02,КМЗ,KMEZ,2,6460,340.0,340.0,340.0,340,340.0,340.0,19,,341,340,0,550390,0,
2,TQBR,2018-10-03,КМЗ,KMEZ,60,71476,342.0,338.0,351.0,346,345.0,351.0,207,,343,346,0,500020,0,
3,TQBR,2018-10-04,КМЗ,KMEZ,152,128155,352.0,340.0,359.0,341,349.0,340.0,367,,346,341,0,519880,0,
4,TQBR,2018-10-05,КМЗ,KMEZ,4,1685,338.0,336.0,338.0,337,337.0,336.0,5,,346,337,0,500385,0,
5,TQBR,2018-10-08,КМЗ,KMEZ,58,60848,337.0,333.0,337.0,333,334.0,333.0,182,,344,333,0,510049,0,
6,TQBR,2018-10-09,КМЗ,KMEZ,2,678,339.0,339.0,339.0,339,339.0,339.0,2,,344,339,0,510727,0,
7,TQBR,2018-10-10,КМЗ,KMEZ,8,6371,338.0,334.0,338.0,335,335.0,338.0,19,,343,335,0,504135,0,
8,TQBR,2018-10-11,КМЗ,KMEZ,9,12741,334.0,334.0,342.0,335,335.0,335.0,38,,342,335,0,500202,0,
9,TQBR,2018-10-12,КМЗ,KMEZ,87,145827,341.0,341.0,360.0,344,356.0,343.0,410,,346,344,0,509365,0,
10,TQBR,2018-10-15,КМЗ,KMEZ,1,348,348.0,348.0,348.0,348,348.0,348.0,1,,346,348,0,509713,0,
11,TQBR,2018-10-16,КМЗ,KMEZ,12,18727,343.0,338.0,344.0,338,340.0,338.0,55,,346,338,0,528440,0,
12,TQBR,2018-10-17,КМЗ,KMEZ,8,14172,339.0,337.0,344.0,337,337.0,337.0,42,,347,337,0,500243,0,
13,TQBR,2018-10-18,КМЗ,KMEZ,5,1740,348.0,348.0,348.0,348,348.0,348.0,5,,347,348,0,500618,0,
14,TQBR,2018-10-19,КМЗ,KMEZ,52,140628,349.0,341.0,359.0,355,353.0,358.0,398,,349,355,0,500106,0,
15,TQBR,2018-10-22,КМЗ,KMEZ,12,30422,360.0,350.0,362.0,355,358.0,358.0,85,,349,355,0,509894,0,
16,TQBR,2018-10-23,КМЗ,KMEZ,28,110622,351.0,347.0,361.0,347,350.0,347.0,316,,351,347,0,500632,0,
17,TQBR,2018-10-24,КМЗ,KMEZ,48,251004,349.0,334.0,349.0,344,340.0,344.0,739,,346,344,0,506517,0,
18,TQBR,2018-10-25,КМЗ,KMEZ,66,280880,337.0,331.0,357.0,356,340.0,356.0,826,,340,356,0,501685,0,
19,TQBR,2018-10-26,КМЗ,KMEZ,0,0,,,,356,,,0,,340,356,0,501685,0,
20,TQBR,2018-10-29,КМЗ,KMEZ,14,26930,355.0,341.0,358.0,357,354.0,358.0,76,,340,357,0,528615,0,
21,TQBR,2018-10-30,КМЗ,KMEZ,12,16929,358.0,343.0,358.0,351,345.0,351.0,49,,340,351,0,508500,0,
22,TQBR,2018-10-31,КМЗ,KMEZ,20,65707,352.0,352.0,356.0,355,355.0,355.0,185,,342,355,0,505681,0,
23,TQBR,2018-11-01,КМЗ,KMEZ,16,52713,356.0,348.0,357.0,351,351.0,351.0,150,,343,351,0,508163,0,
24,TQBR,2018-11-02,КМЗ,KMEZ,12,145953,351.0,343.0,351.0,343,345.0,343.0,423,,346,343,0,507265,0,
25,TQBR,2018-11-06,КМЗ,KMEZ,8,57634,347.0,340.0,347.0,343,343.0,343.0,168,,347,343,0,527770,0,
26,TQBR,2018-11-07,КМЗ,KMEZ,28,195355,343.0,340.0,349.0,342,343.0,340.0,570,,346,342,0,504294,0,
27,TQBR,2018-11-08,КМЗ,KMEZ,35,49102,344.0,340.0,355.0,354,346.0,354.0,142,,345,354,0,500757,0,
28,TQBR,2018-11-09,КМЗ,KMEZ,38,201035,358.0,343.0,358.0,350,350.0,350.0,575,,346,350,0,500372,0,
29,TQBR,2018-11-12,КМЗ,KMEZ,2,4270,356.0,355.0,356.0,355,356.0,355.0,12,,346,355,0,504642,0,
30,TQBR,2018-11-13,КМЗ,KMEZ,11,17578,347.0,344.0,347.0,345,345.0,344.0,51,,346,345,0,522220,0,
31,TQBR,2018-11-14,КМЗ,KMEZ,21,13241,341.0,341.0,353.0,353,348.0,353.0,38,,346,353,0,535461,0,
32,TQBR,2018-11-15,КМЗ,KMEZ,67,207177,353.0,341.0,358.0,343,346.0,347.0,599,,347,343,0,544083,0,
33,TQBR,2018-11-16,КМЗ,KMEZ,6,5953,349.0,349.0,353.0,353,350.0,353.0,17,,347,353,0,550036,0,
34,TQBR,2018-11-19,КМЗ,KMEZ,2,2471,353.0,353.0,353.0,353,353.0,353.0,7,,348,353,0,500483,0,
35,TQBR,2018-11-20,КМЗ,KMEZ,21,16402,346.0,344.0,354.0,350,349.0,351.0,47,,348,350,0,504618,0,
36,TQBR,2018-11-21,КМЗ,KMEZ,2,706,353.0,353.0,353.0,353,353.0,353.0,2,,348,353,0,505324,0,
37,TQBR,2018-11-22,КМЗ,KMEZ,22,18042,354.0,352.0,355.0,354,354.0,355.0,51,,348,354,0,502090,0,
38,TQBR,2018-11-23,КМЗ,KMEZ,1,3550,355.0,355.0,355.0,355,355.0,355.0,10,,348,355,0,505640,0,
39,TQBR,2018-11-26,КМЗ,KMEZ,5,62114,353.0,343.0,353.0,343,343.0,343.0,181,,347,343,0,532924,0,
40,TQBR,2018-11-27,КМЗ,KMEZ,26,70940,348.0,346.0,357.0,347,355.0,346.0,200,,347,347,0,532520,0,
41,TQBR,2018-11-28,КМЗ,KMEZ,10,13732,353.0,346.0,355.0,355,352.0,355.0,39,,347,355,0,546252,0,
