,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,КрасОкт-ао,KROT,64,785650,338.0,325.0,348.0,341.0,340.0,341.0,2310,340.0,340.0,341.0,785650,785650,785650,
1,TQBR,2018-10-02,КрасОкт-ао,KROT,59,395250,326.0,326.0,355.0,337.0,338.0,337.0,1170,,337.0,337.0,0,512180,0,
2,TQBR,2018-10-03,КрасОкт-ао,KROT,55,393620,334.0,326.0,348.0,333.0,334.0,335.0,1180,,334.0,333.0,0,527240,0,
3,TQBR,2018-10-04,КрасОкт-ао,KROT,158,1075760,340.0,331.0,370.0,340.0,353.0,340.0,3050,353.0,353.0,340.0,1075760,1075760,1075760,
4,TQBR,2018-10-05,КрасОкт-ао,KROT,33,220870,332.0,332.0,346.0,337.0,340.0,340.0,650,,343.0,337.0,0,538300,0,
5,TQBR,2018-10-08,КрасОкт-ао,KROT,47,363480,335.0,323.0,348.0,344.0,337.0,344.0,1080,,337.0,344.0,0,502840,0,
6,TQBR,2018-10-09,КрасОкт-ао,KROT,72,624890,334.0,315.0,343.0,328.0,325.0,328.0,1920,325.0,325.0,328.0,624890,624890,624890,
7,TQBR,2018-10-10,КрасОкт-ао,KROT,89,438060,330.0,328.0,355.0,353.0,340.0,353.0,1290,,337.0,353.0,0,511670,0,
8,TQBR,2018-10-11,КрасОкт-ао,KROT,244,2281200,336.0,326.0,389.0,330.0,353.0,330.0,6460,353.0,353.0,330.0,2281200,2281200,2281200,
9,TQBR,2018-10-12,КрасОкт-ао,KROT,84,426220,330.0,327.0,350.0,339.0,338.0,341.0,1260,,336.0,339.0,0,521500,0,
10,TQBR,2018-10-15,КрасОкт-ао,KROT,103,777260,342.0,320.0,342.0,326.0,325.0,326.0,2390,325.0,325.0,326.0,777260,777260,777260,
11,TQBR,2018-10-16,КрасОкт-ао,KROT,136,970580,323.0,310.0,327.0,321.0,315.0,321.0,3080,315.0,315.0,321.0,970580,970580,970580,
12,TQBR,2018-10-17,КрасОкт-ао,KROT,85,365490,321.0,312.0,327.0,319.0,318.0,319.0,1150,,317.0,319.0,0,501540,0,
13,TQBR,2018-10-18,КрасОкт-ао,KROT,14,69000,315.0,313.0,318.0,313.0,314.0,313.0,220,,317.0,313.0,0,514240,0,
