,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,КрасОкт-1п,KROTP,4,11610,291.0,290.0,291.0,290,290.0,290.0,40,292.0,295,290,552700,501440,552700,
1,TQBR,2018-10-02,КрасОкт-1п,KROTP,45,247590,290.0,279.0,300.0,298,291.0,299.0,850,,294,298,0,509180,0,
2,TQBR,2018-10-03,КрасОкт-1п,KROTP,34,205580,304.0,290.0,309.0,292,298.0,298.0,690,,294,292,0,534620,0,
3,TQBR,2018-10-04,КрасОкт-1п,KROTP,105,637940,265.0,265.0,328.0,300,301.0,300.0,2120,301.0,301,300,637940,637940,637940,
4,TQBR,2018-10-05,КрасОкт-1п,KROTP,88,573660,305.0,282.0,324.0,302,299.0,303.0,1920,299.0,299,302,573660,573660,573660,
5,TQBR,2018-10-08,КрасОкт-1п,KROTP,6,70930,296.0,294.0,308.0,296,296.0,308.0,240,298.0,294,296,644590,503020,644590,
6,TQBR,2018-10-09,КрасОкт-1п,KROTP,22,111070,306.0,292.0,312.0,294,300.0,296.0,370,,293,294,0,539270,0,
7,TQBR,2018-10-10,КрасОкт-1п,KROTP,20,160710,307.0,285.0,307.0,291,292.0,289.0,550,,294,291,0,534830,0,
8,TQBR,2018-10-11,КрасОкт-1п,KROTP,95,714200,295.0,294.0,332.0,295,311.0,295.0,2300,311.0,311,295,714200,714200,714200,
9,TQBR,2018-10-12,КрасОкт-1п,KROTP,6,26800,308.0,293.0,313.0,295,298.0,295.0,90,310.0,311,295,741000,500240,741000,
10,TQBR,2018-10-15,КрасОкт-1п,KROTP,28,168590,306.0,295.0,318.0,299,307.0,296.0,550,,305,299,0,500140,0,
11,TQBR,2018-10-16,КрасОкт-1п,KROTP,21,171750,301.0,287.0,304.0,299,296.0,299.0,580,,300,299,0,507630,0,
12,TQBR,2018-10-17,КрасОкт-1п,KROTP,14,73040,294.0,289.0,294.0,289,292.0,289.0,250,,299,289,0,502440,0,
13,TQBR,2018-10-18,КрасОкт-1п,KROTP,14,94690,295.0,281.0,300.0,281,287.0,281.0,330,,297,281,0,502060,0,
14,TQBR,2018-10-19,КрасОкт-1п,KROTP,7,53950,283.0,280.0,287.0,280,284.0,280.0,190,,295,280,0,501660,0,
15,TQBR,2018-10-22,КрасОкт-1п,KROTP,24,100860,279.0,268.0,282.0,268,273.0,268.0,370,,287,268,0,500230,0,
16,TQBR,2018-10-23,КрасОкт-1п,KROTP,5,24520,273.0,268.0,273.0,272,272.0,268.0,90,,286,272,0,503760,0,
17,TQBR,2018-10-24,КрасОкт-1п,KROTP,10,46700,282.0,270.0,282.0,270,275.0,270.0,170,,284,270,0,523400,0,
18,TQBR,2018-10-25,КрасОкт-1п,KROTP,9,26640,265.0,265.0,272.0,265,266.0,265.0,100,,283,265,0,520340,0,
19,TQBR,2018-10-26,КрасОкт-1п,KROTP,13,60570,272.0,268.0,296.0,282,275.0,282.0,220,,280,282,0,501550,0,
20,TQBR,2018-10-29,КрасОкт-1п,KROTP,83,538570,282.0,258.0,293.0,262,263.0,261.0,2050,263.0,263,262,538570,538570,538570,
21,TQBR,2018-10-30,КрасОкт-1п,KROTP,47,161720,266.0,260.0,275.0,264,265.0,264.0,610,,263,264,0,508240,0,
22,TQBR,2018-10-31,КрасОкт-1п,KROTP,4,15860,265.0,264.0,265.0,264,264.0,264.0,60,,263,264,0,524100,0,
23,TQBR,2018-11-01,КрасОкт-1п,KROTP,23,91140,263.0,263.0,270.0,270,268.0,270.0,340,,265,270,0,542440,0,
24,TQBR,2018-11-02,КрасОкт-1п,KROTP,1,2700,270.0,270.0,270.0,270,270.0,270.0,10,,265,270,0,545140,0,
25,TQBR,2018-11-06,КрасОкт-1п,KROTP,15,51280,274.0,265.0,276.0,265,270.0,265.0,190,,265,265,0,596420,0,
26,TQBR,2018-11-07,КрасОкт-1п,KROTP,3,8220,272.0,272.0,276.0,276,274.0,276.0,30,,265,276,0,604640,0,
27,TQBR,2018-11-08,КрасОкт-1п,KROTP,23,99570,277.0,270.0,284.0,280,277.0,280.0,360,,268,280,0,501640,0,
28,TQBR,2018-11-09,КрасОкт-1п,KROTP,4,11060,272.0,272.0,281.0,279,277.0,281.0,40,,268,279,0,502060,0,
29,TQBR,2018-11-12,КрасОкт-1п,KROTP,0,0,,,,279,,,0,,268,279,0,502060,0,
30,TQBR,2018-11-13,КрасОкт-1п,KROTP,2,5510,273.0,273.0,278.0,276,276.0,278.0,20,,269,276,0,502270,0,
31,TQBR,2018-11-14,КрасОкт-1п,KROTP,28,91820,270.0,267.0,276.0,274,270.0,274.0,340,,270,274,0,501780,0,
32,TQBR,2018-11-15,КрасОкт-1п,KROTP,6,18800,270.0,266.0,272.0,268,269.0,272.0,70,,270,268,0,504360,0,
33,TQBR,2018-11-16,КрасОкт-1п,KROTP,5,13520,269.0,269.0,273.0,271,270.0,271.0,50,,270,271,0,501450,0,
34,TQBR,2018-11-19,КрасОкт-1п,KROTP,7,27250,272.0,272.0,273.0,273,273.0,273.0,100,,270,273,0,504690,0,
35,TQBR,2018-11-20,КрасОкт-1п,KROTP,22,89630,272.0,260.0,272.0,266,264.0,266.0,340,,270,266,0,502590,0,
36,TQBR,2018-11-21,КрасОкт-1п,KROTP,5,21200,265.0,265.0,265.0,265,265.0,265.0,80,,270,265,0,510510,0,
37,TQBR,2018-11-22,КрасОкт-1п,KROTP,22,89350,265.0,260.0,266.0,265,263.0,266.0,340,,269,265,0,510770,0,
38,TQBR,2018-11-23,КрасОкт-1п,KROTP,8,26890,271.0,267.0,271.0,267,269.0,267.0,100,,269,267,0,500100,0,
39,TQBR,2018-11-26,КрасОкт-1п,KROTP,13,76630,263.0,263.0,270.0,264,264.0,264.0,290,,267,264,0,509850,0,
40,TQBR,2018-11-27,КрасОкт-1п,KROTP,1,2640,264.0,264.0,264.0,264,264.0,264.0,10,,267,264,0,501690,0,
41,TQBR,2018-11-28,КрасОкт-1п,KROTP,52,248190,264.0,264.0,284.0,277,276.0,279.0,900,,270,277,0,509570,0,
42,TQBR,2018-11-29,КрасОкт-1п,KROTP,37,208630,284.0,272.0,295.0,289,286.0,290.0,730,,279,289,0,501700,0,
43,TQBR,2018-11-30,КрасОкт-1п,KROTP,37,252700,278.0,270.0,279.0,273,275.0,273.0,920,,280,273,0,500380,0,
44,TQBR,2018-12-03,КрасОкт-1п,KROTP,49,262020,278.0,278.0,305.0,292,294.0,292.0,890,,284,292,0,514720,0,
45,TQBR,2018-12-04,КрасОкт-1п,KROTP,27,123370,291.0,285.0,300.0,292,294.0,292.0,420,,289,292,0,500200,0,
46,TQBR,2018-12-05,КрасОкт-1п,KROTP,11,34590,292.0,285.0,293.0,289,288.0,292.0,120,,290,289,0,510240,0,
47,TQBR,2018-12-06,КрасОкт-1п,KROTP,29,195700,284.0,275.0,288.0,281,280.0,281.0,700,,287,281,0,500040,0,
48,TQBR,2018-12-07,КрасОкт-1п,KROTP,19,65640,283.0,281.0,289.0,282,285.0,281.0,230,,286,282,0,509600,0,
49,TQBR,2018-12-10,КрасОкт-1п,KROTP,0,0,,,,282,,,0,,286,282,0,509600,0,
50,TQBR,2018-12-11,КрасОкт-1п,KROTP,3,8300,278.0,276.0,278.0,277,277.0,276.0,30,,286,277,0,506220,0,
51,TQBR,2018-12-12,КрасОкт-1п,KROTP,16,44010,276.0,274.0,276.0,274,275.0,274.0,160,,285,274,0,506430,0,
52,TQBR,2018-12-13,КрасОкт-1п,KROTP,10,35390,272.0,272.0,274.0,272,272.0,272.0,130,,283,272,0,504090,0,
53,TQBR,2018-12-14,КрасОкт-1п,KROTP,4,10710,270.0,265.0,270.0,268,268.0,270.0,40,,283,268,0,514800,0,
54,TQBR,2018-12-17,КрасОкт-1п,KROTP,1,2690,269.0,269.0,269.0,269,269.0,269.0,10,,283,269,0,517490,0,
55,TQBR,2018-12-18,КрасОкт-1п,KROTP,4,10770,269.0,269.0,270.0,269,269.0,270.0,40,,282,269,0,502060,0,
56,TQBR,2018-12-19,КрасОкт-1п,KROTP,9,26550,264.0,262.0,272.0,272,266.0,272.0,100,,280,272,0,502000,0,
57,TQBR,2018-12-20,КрасОкт-1п,KROTP,22,62940,268.0,255.0,268.0,261,262.0,264.0,240,,276,261,0,500210,0,
58,TQBR,2018-12-21,КрасОкт-1п,KROTP,6,23620,264.0,262.0,264.0,263,262.0,263.0,90,,275,263,0,500690,0,
