,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ОргСинт ап,KZOSP,170,4303300,12.45,11.0,12.45,11.3,11.4,11.05,377000,11.4,11.4,11.3,4303300,4303300,4303300,
1,TQBR,2018-10-02,ОргСинт ап,KZOSP,177,3163200,11.2,10.9,11.3,11.0,11.05,11.0,286000,11.05,11.05,11.0,3163200,3163200,3163200,
2,TQBR,2018-10-03,ОргСинт ап,KZOSP,35,520150,11.1,11.0,11.15,11.1,11.05,11.05,47000,11.05,11.05,11.1,520150,520150,520150,
3,TQBR,2018-10-04,ОргСинт ап,KZOSP,39,900050,11.1,11.05,11.4,11.1,11.1,11.1,81000,11.1,11.1,11.1,900050,900050,900050,
4,TQBR,2018-10-05,ОргСинт ап,KZOSP,44,706750,11.05,10.6,11.05,11.05,10.85,11.05,65000,10.85,10.85,11.05,706750,706750,706750,
5,TQBR,2018-10-08,ОргСинт ап,KZOSP,49,615650,11.05,10.6,11.05,10.9,10.8,10.9,57000,10.8,10.8,10.9,615650,615650,615650,
6,TQBR,2018-10-09,ОргСинт ап,KZOSP,35,873450,11.05,11.0,11.15,11.1,11.05,11.1,79000,11.05,11.05,11.1,873450,873450,873450,
7,TQBR,2018-10-10,ОргСинт ап,KZOSP,63,938200,11.0,10.9,11.4,11.2,11.15,11.2,84000,11.15,11.15,11.2,938200,938200,938200,
8,TQBR,2018-10-11,ОргСинт ап,KZOSP,20,263450,10.95,10.85,11.15,10.95,11.0,10.95,24000,,11.05,10.95,0,518500,0,
9,TQBR,2018-10-12,ОргСинт ап,KZOSP,12,131800,10.9,10.9,11.1,11.05,11.0,11.0,12000,,11.05,11.05,0,507200,0,
10,TQBR,2018-10-15,ОргСинт ап,KZOSP,114,1805300,10.9,10.5,11.0,10.85,10.6,10.85,170000,10.6,10.6,10.85,1805300,1805300,1805300,
11,TQBR,2018-10-16,ОргСинт ап,KZOSP,61,918900,10.65,10.4,10.75,10.45,10.55,10.45,87000,10.55,10.55,10.45,918900,918900,918900,
12,TQBR,2018-10-17,ОргСинт ап,KZOSP,20,307350,10.4,10.4,10.65,10.6,10.6,10.65,29000,,10.55,10.6,0,528700,0,
13,TQBR,2018-10-18,ОргСинт ап,KZOSP,27,570450,10.5,10.4,10.65,10.65,10.55,10.65,54000,10.55,10.55,10.65,570450,570450,570450,
14,TQBR,2018-10-19,ОргСинт ап,KZOSP,10,136450,10.45,10.45,10.55,10.45,10.5,10.45,13000,,10.55,10.45,0,548950,0,
15,TQBR,2018-10-22,ОргСинт ап,KZOSP,6,73750,10.65,10.45,10.65,10.45,10.55,10.45,7000,,10.55,10.45,0,537900,0,
16,TQBR,2018-10-23,ОргСинт ап,KZOSP,80,1295700,10.5,10.0,10.6,10.15,10.2,10.15,127000,10.2,10.2,10.15,1295700,1295700,1295700,
17,TQBR,2018-10-24,ОргСинт ап,KZOSP,31,1003800,10.05,10.0,10.45,10.3,10.25,10.3,98000,10.25,10.25,10.3,1003800,1003800,1003800,
18,TQBR,2018-10-25,ОргСинт ап,KZOSP,45,778850,10.45,9.8,10.5,10.25,10.1,10.25,77000,10.1,10.1,10.25,778850,778850,778850,
19,TQBR,2018-10-26,ОргСинт ап,KZOSP,6,82250,10.4,10.15,10.4,10.15,10.3,10.15,8000,10.15,10.1,10.15,861100,524650,861100,
20,TQBR,2018-10-29,ОргСинт ап,KZOSP,12,196650,10.35,10.25,10.4,10.4,10.35,10.4,19000,,10.25,10.4,0,502450,0,
21,TQBR,2018-10-30,ОргСинт ап,KZOSP,3,92700,10.3,10.3,10.3,10.3,10.3,10.3,9000,,10.3,10.3,0,503700,0,
22,TQBR,2018-10-31,ОргСинт ап,KZOSP,7,102400,10.2,10.15,10.35,10.3,10.25,10.3,10000,,10.25,10.3,0,606100,0,
23,TQBR,2018-11-01,ОргСинт ап,KZOSP,22,275340,10.28,10.08,10.38,10.3,10.2,10.22,27000,,10.24,10.3,0,532840,0,
24,TQBR,2018-11-02,ОргСинт ап,KZOSP,60,1257380,10.3,10.3,11.0,10.5,10.66,10.5,118000,10.66,10.66,10.5,1257380,1257380,1257380,
25,TQBR,2018-11-06,ОргСинт ап,KZOSP,20,330720,10.44,10.2,10.44,10.28,10.34,10.28,32000,,10.42,10.28,0,530960,0,
26,TQBR,2018-11-07,ОргСинт ап,KZOSP,38,569800,10.4,10.0,10.4,10.06,10.18,10.06,56000,10.18,10.18,10.06,569800,569800,569800,
