,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Лента др,LNTA,2150,70856409.0,236.5,233.0,238.0,235.0,236.5,235.0,299603,236.5,236.5,235.0,70856409.0,70856409.0,70856409.0,
1,TQBR,2018-10-02,Лента др,LNTA,2244,32772762.0,237.5,225.0,237.5,226.5,229.0,226.5,143034,229.0,229.0,226.5,32772762.0,32772762.0,32772762.0,
2,TQBR,2018-10-03,Лента др,LNTA,1337,22527012.5,227.5,226.0,232.5,232.0,230.0,232.0,97883,230.0,230.0,232.0,22527012.5,22527012.5,22527012.5,
3,TQBR,2018-10-04,Лента др,LNTA,1396,20744325.5,232.5,231.0,239.0,235.0,234.5,235.0,88480,234.5,234.5,235.0,20744325.5,20744325.5,20744325.5,
4,TQBR,2018-10-05,Лента др,LNTA,1465,44411208.5,234.5,228.5,235.0,233.0,232.0,233.0,191537,232.0,232.0,233.0,44411208.5,44411208.5,44411208.5,
5,TQBR,2018-10-08,Лента др,LNTA,880,13876819.0,236.0,233.5,239.0,235.5,236.5,235.5,58685,236.5,236.5,235.5,13876819.0,13876819.0,13876819.0,
6,TQBR,2018-10-09,Лента др,LNTA,907,16302954.5,237.5,231.0,239.0,231.0,235.5,231.0,69275,235.5,235.5,231.0,16302954.5,16302954.5,16302954.5,
7,TQBR,2018-10-10,Лента др,LNTA,2017,32199428.0,233.0,221.0,234.0,223.5,228.0,223.5,141363,228.0,228.0,223.5,32199428.0,32199428.0,32199428.0,
8,TQBR,2018-10-11,Лента др,LNTA,2697,57094215.0,222.0,214.5,229.5,227.0,221.5,227.0,257906,221.5,221.5,227.0,57094215.0,57094215.0,57094215.0,
9,TQBR,2018-10-12,Лента др,LNTA,1405,22604984.5,227.0,227.0,236.0,227.5,232.5,227.5,97219,232.5,232.5,227.5,22604984.5,22604984.5,22604984.5,
10,TQBR,2018-10-15,Лента др,LNTA,1154,16005466.0,227.5,223.5,233.0,226.5,228.0,226.5,70222,228.0,228.0,226.5,16005466.0,16005466.0,16005466.0,
11,TQBR,2018-10-16,Лента др,LNTA,1119,33448640.0,230.0,225.5,230.5,229.0,227.0,229.0,147217,227.0,227.0,229.0,33448640.0,33448640.0,33448640.0,
12,TQBR,2018-10-17,Лента др,LNTA,1294,23351717.5,230.0,228.0,236.5,234.5,233.5,234.5,100108,233.5,233.5,234.5,23351717.5,23351717.5,23351717.5,
13,TQBR,2018-10-18,Лента др,LNTA,1265,25055137.0,235.0,227.0,236.5,232.5,231.5,232.5,108310,231.5,231.5,232.5,25055137.0,25055137.0,25055137.0,
14,TQBR,2018-10-19,Лента др,LNTA,1144,24493064.0,233.0,228.0,233.0,229.0,229.5,228.0,106819,229.5,229.5,229.0,24493064.0,24493064.0,24493064.0,
15,TQBR,2018-10-22,Лента др,LNTA,1091,15652254.0,229.5,228.0,234.0,231.0,231.5,231.0,67556,231.5,231.5,231.0,15652254.0,15652254.0,15652254.0,
16,TQBR,2018-10-23,Лента др,LNTA,753,9148545.5,229.0,227.5,232.5,230.0,229.0,230.0,39918,229.0,229.0,230.0,9148545.5,9148545.5,9148545.5,
17,TQBR,2018-10-24,Лента др,LNTA,1504,32968518.5,230.5,228.5,239.5,239.0,233.0,239.0,141443,233.0,233.0,239.0,32968518.5,32968518.5,32968518.5,
18,TQBR,2018-10-25,Лента др,LNTA,1455,28693662.0,237.0,234.5,244.5,242.0,241.0,242.0,119165,241.0,241.0,242.0,28693662.0,28693662.0,28693662.0,
19,TQBR,2018-10-26,Лента др,LNTA,806,13527909.0,242.0,235.0,243.0,237.5,237.5,237.5,56957,237.5,237.5,237.5,13527909.0,13527909.0,13527909.0,
20,TQBR,2018-10-29,Лента др,LNTA,2770,78519333.0,236.0,236.0,253.5,250.5,249.5,250.5,314535,249.5,249.5,250.5,78519333.0,78519333.0,78519333.0,
21,TQBR,2018-10-30,Лента др,LNTA,3813,84016324.5,251.0,237.0,252.0,239.5,243.0,239.5,345446,243.0,243.0,239.5,84016324.5,84016324.5,84016324.5,
22,TQBR,2018-10-31,Лента др,LNTA,3065,44673444.5,240.0,233.5,245.0,237.5,238.0,237.5,187632,238.0,238.0,237.5,44673444.5,44673444.5,44673444.5,
23,TQBR,2018-11-01,Лента др,LNTA,1620,23704755.7,240.0,236.4,240.9,238.4,238.4,238.4,99452,238.4,238.4,238.4,23704755.7,23704755.7,23704755.7,
24,TQBR,2018-11-02,Лента др,LNTA,1501,21939336.2,238.8,237.3,243.1,241.0,240.4,241.0,91269,240.4,240.4,241.0,21939336.2,21939336.2,21939336.2,
25,TQBR,2018-11-06,Лента др,LNTA,1343,19114635.4,240.1,240.1,245.5,244.0,244.3,244.0,78229,244.3,244.3,244.0,19114635.4,19114635.4,19114635.4,
26,TQBR,2018-11-07,Лента др,LNTA,1113,18174954.5,243.9,241.1,246.8,244.8,245.2,244.8,74138,245.2,245.2,244.8,18174954.5,18174954.5,18174954.5,
27,TQBR,2018-11-08,Лента др,LNTA,1108,14197745.5,244.8,241.0,246.5,242.2,242.9,242.2,58440,242.9,242.9,242.2,14197745.5,14197745.5,14197745.5,
28,TQBR,2018-11-09,Лента др,LNTA,2953,40700123.3,241.0,231.1,242.6,234.8,236.8,234.8,171888,236.8,236.8,234.8,40700123.3,40700123.3,40700123.3,
29,TQBR,2018-11-12,Лента др,LNTA,1397,17715045.2,231.5,231.5,238.0,236.9,235.8,236.9,75116,235.8,235.8,236.9,17715045.2,17715045.2,17715045.2,
30,TQBR,2018-11-13,Лента др,LNTA,1081,10187536.1,237.7,233.6,238.0,236.5,235.9,236.5,43182,235.9,235.9,236.5,10187536.1,10187536.1,10187536.1,
31,TQBR,2018-11-14,Лента др,LNTA,987,8850792.7,237.0,234.1,239.0,238.0,236.9,238.0,37362,236.9,236.9,238.0,8850792.7,8850792.7,8850792.7,
32,TQBR,2018-11-15,Лента др,LNTA,1179,13134414.0,236.5,235.0,238.9,236.3,236.2,236.3,55602,236.2,236.2,236.3,13134414.0,13134414.0,13134414.0,
33,TQBR,2018-11-16,Лента др,LNTA,740,7680848.1,237.5,234.5,238.0,235.2,235.5,235.2,32612,235.5,235.5,235.2,7680848.1,7680848.1,7680848.1,
34,TQBR,2018-11-19,Лента др,LNTA,1171,8369346.4,236.2,232.0,237.6,232.9,234.2,232.9,35738,234.2,234.2,232.9,8369346.4,8369346.4,8369346.4,
35,TQBR,2018-11-20,Лента др,LNTA,984,9820377.0,234.0,230.5,235.0,234.7,233.6,234.7,42038,233.6,233.6,234.7,9820377.0,9820377.0,9820377.0,
36,TQBR,2018-11-21,Лента др,LNTA,844,9128028.2,234.7,232.3,235.3,233.0,233.3,233.0,39121,233.3,233.3,233.0,9128028.2,9128028.2,9128028.2,
37,TQBR,2018-11-22,Лента др,LNTA,867,9324167.5,233.4,231.6,234.5,233.4,233.4,233.4,39947,233.4,233.4,233.4,9324167.5,9324167.5,9324167.5,
38,TQBR,2018-11-23,Лента др,LNTA,1413,16140768.5,233.4,231.1,236.1,233.4,234.2,233.4,68924,234.2,234.2,233.4,16140768.5,16140768.5,16140768.5,
39,TQBR,2018-11-26,Лента др,LNTA,1519,17053304.8,233.4,229.0,234.4,232.5,231.3,232.5,73731,231.3,231.3,232.5,17053304.8,17053304.8,17053304.8,
40,TQBR,2018-11-27,Лента др,LNTA,727,6810078.0,230.5,230.5,233.5,233.5,232.5,233.5,29293,232.5,232.5,233.5,6810078.0,6810078.0,6810078.0,
41,TQBR,2018-11-28,Лента др,LNTA,903,11830211.0,233.5,232.1,236.0,235.0,234.5,235.0,50443,234.5,234.5,235.0,11830211.0,11830211.0,11830211.0,
42,TQBR,2018-11-29,Лента др,LNTA,1247,15002638.5,236.5,234.4,239.4,238.0,237.4,238.0,63193,237.4,237.4,238.0,15002638.5,15002638.5,15002638.5,
43,TQBR,2018-11-30,Лента др,LNTA,1186,19052711.1,238.0,234.7,240.0,236.9,237.0,236.9,80406,237.0,237.0,236.9,19052711.1,19052711.1,19052711.1,
44,TQBR,2018-12-03,Лента др,LNTA,1043,10977763.4,237.0,235.5,239.9,238.6,239.0,238.6,45939,239.0,239.0,238.6,10977763.4,10977763.4,10977763.4,
45,TQBR,2018-12-04,Лента др,LNTA,1064,11440127.3,239.7,235.5,240.9,236.8,238.4,236.8,47982,238.4,238.4,236.8,11440127.3,11440127.3,11440127.3,
46,TQBR,2018-12-05,Лента др,LNTA,1460,13267903.7,236.8,232.8,236.8,235.8,234.4,235.8,56592,234.4,234.4,235.8,13267903.7,13267903.7,13267903.7,
47,TQBR,2018-12-06,Лента др,LNTA,1093,12908662.7,234.0,233.1,239.2,238.1,236.1,238.1,54673,236.1,236.1,238.1,12908662.7,12908662.7,12908662.7,
48,TQBR,2018-12-07,Лента др,LNTA,10118,149186644.6,238.8,218.1,239.0,219.7,223.8,219.7,667008,223.7,223.7,219.7,149186644.6,149186644.6,149186644.6,
49,TQBR,2018-12-10,Лента др,LNTA,13312,159136108.4,222.0,204.0,222.0,205.5,210.8,205.5,754972,210.8,210.8,205.5,159136108.4,159136108.4,159136108.4,
50,TQBR,2018-12-11,Лента др,LNTA,9613,136280750.3,208.0,198.6,209.8,199.7,202.3,199.7,673678,202.3,202.3,199.7,136280750.3,136280750.3,136280750.3,
51,TQBR,2018-12-12,Лента др,LNTA,8143,79628188.6,199.5,192.1,202.8,197.6,195.5,197.6,407275,195.5,195.5,197.6,79628188.6,79628188.6,79628188.6,
52,TQBR,2018-12-13,Лента др,LNTA,7302,97140624.7,199.5,195.6,206.5,204.0,202.3,204.0,480150,202.3,202.3,204.0,97140624.7,97140624.7,97140624.7,
53,TQBR,2018-12-14,Лента др,LNTA,2510,34185340.4,206.0,200.8,206.4,204.1,203.0,204.1,168421,203.0,203.0,204.1,34185340.4,34185340.4,34185340.4,
