history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Лензол. ап;LNZLP;12;64130;2580;2540;2590;2540;2570;2540;25;;2520;2540;0;500650;0;
TQBR;2018-10-02;Лензол. ап;LNZLP;10;43320;2520;2510;2590;2560;2550;2560;17;;2520;2560;0;511450;0;
TQBR;2018-10-03;Лензол. ап;LNZLP;53;534760;2640;2560;2640;2570;2600;2570;206;2600;2600;2570;534760;534760;534760;
TQBR;2018-10-04;Лензол. ап;LNZLP;14;217030;2570;2510;2570;2520;2550;2510;85;;2570;2520;0;517500;0;
TQBR;2018-10-05;Лензол. ап;LNZLP;5;12720;2540;2540;2560;2550;2540;2560;5;;2570;2550;0;530220;0;
TQBR;2018-10-08;Лензол. ап;LNZLP;25;562650;2560;2500;2560;2500;2510;2500;224;2510;2510;2500;562650;562650;562650;
TQBR;2018-10-09;Лензол. ап;LNZLP;88;796170;2500;2410;2510;2460;2440;2460;326;2440;2440;2460;796170;796170;796170;
TQBR;2018-10-10;Лензол. ап;LNZLP;8;68820;2450;2450;2470;2470;2460;2470;28;2440;2440;2470;864990;501610;864990;
TQBR;2018-10-11;Лензол. ап;LNZLP;23;1447440;2470;2400;2470;2430;2450;2430;591;2450;2450;2430;1447440;1447440;1447440;
TQBR;2018-10-12;Лензол. ап;LNZLP;22;99130;2460;2450;2520;2480;2480;2480;40;;2450;2480;0;1377930;0;
TQBR;2018-10-15;Лензол. ап;LNZLP;21;160880;2490;2480;2530;2490;2510;2490;64;;2460;2490;0;1538810;0;
TQBR;2018-10-16;Лензол. ап;LNZLP;62;1008680;2490;2440;2510;2490;2480;2480;407;2480;2480;2490;1008680;1008680;1008680;
TQBR;2018-10-17;Лензол. ап;LNZLP;17;317490;2500;2470;2510;2510;2500;2510;127;;2500;2510;0;517090;0;
TQBR;2018-10-18;Лензол. ап;LNZLP;16;174770;2490;2480;2510;2480;2500;2480;70;;2500;2480;0;524500;0;
