,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Ленэнерг-п,LSNGP,401,11777825,93.95,93.4,94.5,94.15,94.0,94.15,125300,94.0,94.0,94.15,11777825,11777825,11777825,
1,TQBR,2018-10-02,Ленэнерг-п,LSNGP,481,16727910,93.45,93.2,96.6,95.6,95.65,95.6,174900,95.65,95.65,95.6,16727910,16727910,16727910,
2,TQBR,2018-10-03,Ленэнерг-п,LSNGP,415,12512220,95.95,95.4,96.95,95.7,96.25,95.7,130000,96.25,96.25,95.7,12512220,12512220,12512220,
3,TQBR,2018-10-04,Ленэнерг-п,LSNGP,803,23917145,95.6,92.2,95.65,92.6,93.6,92.6,255500,93.6,93.6,92.6,23917145,23917145,23917145,
4,TQBR,2018-10-05,Ленэнерг-п,LSNGP,396,9364345,92.3,91.05,93.45,93.0,92.65,93.0,101100,92.6,92.6,93.0,9364345,9364345,9364345,
5,TQBR,2018-10-08,Ленэнерг-п,LSNGP,261,5566600,92.95,92.05,93.0,92.3,92.45,92.3,60200,92.45,92.45,92.3,5566600,5566600,5566600,
6,TQBR,2018-10-09,Ленэнерг-п,LSNGP,368,9594860,92.6,92.35,94.05,92.85,93.25,92.85,102900,93.25,93.25,92.85,9594860,9594860,9594860,
7,TQBR,2018-10-10,Ленэнерг-п,LSNGP,460,16438360,92.55,91.35,92.9,92.45,92.0,92.45,178700,92.0,92.0,92.45,16438360,16438360,16438360,
8,TQBR,2018-10-11,Ленэнерг-п,LSNGP,933,29990940,90.3,88.6,91.0,90.35,90.0,90.35,333200,90.0,90.0,90.35,29990940,29990940,29990940,
9,TQBR,2018-10-12,Ленэнерг-п,LSNGP,368,9830940,91.0,89.55,93.0,91.5,91.95,91.5,106900,91.95,91.95,91.5,9830940,9830940,9830940,
10,TQBR,2018-10-15,Ленэнерг-п,LSNGP,214,6355950,92.65,91.1,92.7,91.55,91.6,91.55,69400,91.6,91.6,91.55,6355950,6355950,6355950,
11,TQBR,2018-10-16,Ленэнерг-п,LSNGP,210,4904125,91.9,91.1,92.1,92.05,91.5,92.05,53600,91.5,91.5,92.05,4904125,4904125,4904125,
12,TQBR,2018-10-17,Ленэнерг-п,LSNGP,298,7580100,92.95,91.45,92.95,92.25,92.1,92.25,82300,92.1,92.1,92.25,7580100,7580100,7580100,
13,TQBR,2018-10-18,Ленэнерг-п,LSNGP,193,5726735,92.15,91.15,92.15,91.95,91.65,91.95,62500,91.65,91.65,91.95,5726735,5726735,5726735,
