history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;МГТС-4ап;MGTSP;39;1051950;1565;1550;1625;1610;1595;1610;660;1595;1595;1610;1051950;1051950;1051950;
TQBR;2018-10-02;МГТС-4ап;MGTSP;43;1960050;1595;1590;1650;1645;1635;1645;1200;1635;1635;1645;1960050;1960050;1960050;
TQBR;2018-10-03;МГТС-4ап;MGTSP;11;558250;1635;1625;1645;1635;1640;1635;340;1640;1640;1635;558250;558250;558250;
TQBR;2018-10-04;МГТС-4ап;MGTSP;14;438100;1630;1610;1630;1625;1625;1625;270;;1630;1625;0;618950;0;
TQBR;2018-10-05;МГТС-4ап;MGTSP;25;754100;1625;1590;1625;1600;1605;1600;470;1605;1605;1600;754100;754100;754100;
TQBR;2018-10-08;МГТС-4ап;MGTSP;11;175900;1590;1590;1610;1600;1600;1600;110;;1600;1600;0;512550;0;
TQBR;2018-10-09;МГТС-4ап;MGTSP;17;338550;1595;1595;1630;1605;1610;1615;210;;1610;1605;0;514450;0;
TQBR;2018-10-10;МГТС-4ап;MGTSP;25;559700;1620;1590;1620;1595;1600;1595;350;1600;1600;1595;559700;559700;559700;
TQBR;2018-10-11;МГТС-4ап;MGTSP;31;902750;1590;1575;1610;1610;1585;1610;570;1585;1585;1610;902750;902750;902750;
TQBR;2018-10-12;МГТС-4ап;MGTSP;17;351350;1595;1585;1625;1610;1595;1610;220;;1595;1610;0;510350;0;
TQBR;2018-10-15;МГТС-4ап;MGTSP;18;387650;1615;1600;1630;1605;1615;1605;240;;1610;1605;0;515150;0;
TQBR;2018-10-16;МГТС-4ап;MGTSP;12;193200;1620;1600;1620;1620;1610;1620;120;;1615;1620;0;500000;0;
TQBR;2018-10-17;МГТС-4ап;MGTSP;21;518300;1615;1600;1625;1620;1620;1620;320;1620;1620;1620;518300;518300;518300;
TQBR;2018-10-18;МГТС-4ап;MGTSP;45;1494350;1625;1600;1645;1610;1625;1605;920;1625;1625;1610;1494350;1494350;1494350;
TQBR;2018-10-19;МГТС-4ап;MGTSP;19;386350;1610;1600;1625;1600;1610;1600;240;;1610;1600;0;514550;0;
TQBR;2018-10-22;МГТС-4ап;MGTSP;30;1193850;1585;1585;1620;1600;1590;1600;750;1590;1590;1600;1193850;1193850;1193850;
TQBR;2018-10-23;МГТС-4ап;MGTSP;22;462550;1615;1585;1615;1595;1595;1595;290;;1595;1595;0;510600;0;
TQBR;2018-10-24;МГТС-4ап;MGTSP;14;269900;1595;1580;1605;1595;1590;1590;170;;1590;1595;0;524700;0;
TQBR;2018-10-25;МГТС-4ап;MGTSP;18;321200;1600;1590;1620;1595;1605;1590;200;;1600;1595;0;511650;0;
TQBR;2018-10-26;МГТС-4ап;MGTSP;22;603900;1590;1580;1610;1590;1590;1590;380;1590;1590;1590;603900;603900;603900;
TQBR;2018-10-29;МГТС-4ап;MGTSP;37;1186550;1585;1570;1610;1590;1580;1590;750;1580;1580;1590;1186550;1186550;1186550;
