,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQDE,2018-10-01,МедиаВиМ,MGVM,121,585461.5,0.215,0.215,0.36,0.345,0.345,0.345,1703100,0.345,0.345,0.345,585461.5,585461.5,585461.5,
1,TQDE,2018-10-02,МедиаВиМ,MGVM,34,129706.5,0.35,0.345,0.355,0.345,0.35,0.345,371600,,0.345,0.345,0.0,507227.5,0.0,
2,TQDE,2018-10-03,МедиаВиМ,MGVM,63,326396.0,0.335,0.335,0.35,0.35,0.345,0.35,948200,,0.345,0.35,0.0,518918.5,0.0,
3,TQDE,2018-10-04,МедиаВиМ,MGVM,21,48855.5,0.35,0.34,0.35,0.35,0.345,0.35,141000,,0.345,0.35,0.0,500718.0,0.0,
4,TQDE,2018-10-05,МедиаВиМ,MGVM,577,2118917.5,0.35,0.35,0.385,0.37,0.365,0.37,5834500,0.365,0.365,0.37,2118917.5,2118917.5,2118917.5,
5,TQDE,2018-10-08,МедиаВиМ,MGVM,124,597173.0,0.365,0.35,0.39,0.365,0.365,0.365,1635400,0.365,0.365,0.365,597173.0,597173.0,597173.0,
6,TQDE,2018-10-09,МедиаВиМ,MGVM,145,424208.5,0.36,0.35,0.37,0.355,0.35,0.355,1204000,,0.355,0.355,0.0,501538.0,0.0,
7,TQDE,2018-10-10,МедиаВиМ,MGVM,49,133915.0,0.355,0.355,0.36,0.355,0.36,0.355,374000,,0.355,0.355,0.0,500424.0,0.0,
8,TQDE,2018-10-11,МедиаВиМ,MGVM,133,102612.0,0.355,0.35,0.355,0.355,0.355,0.35,290500,,0.355,0.355,0.0,502697.0,0.0,
9,TQDE,2018-10-12,МедиаВиМ,MGVM,26,91476.0,0.35,0.35,0.355,0.355,0.355,0.355,258000,,0.355,0.355,0.0,532054.5,0.0,
10,TQDE,2018-10-15,МедиаВиМ,MGVM,38,215839.0,0.355,0.355,0.365,0.355,0.355,0.355,606800,,0.355,0.355,0.0,500278.0,0.0,
11,TQDE,2018-10-16,МедиаВиМ,MGVM,152,1657497.0,0.36,0.355,0.37,0.36,0.365,0.36,4535800,0.365,0.365,0.36,1657497.0,1657497.0,1657497.0,
12,TQDE,2018-10-17,МедиаВиМ,MGVM,54,608894.5,0.36,0.36,0.37,0.365,0.36,0.365,1686800,0.36,0.36,0.365,608894.5,608894.5,608894.5,
13,TQDE,2018-10-18,МедиаВиМ,MGVM,43,22964.5,0.37,0.365,0.37,0.37,0.37,0.37,62200,,0.36,0.37,0.0,587576.5,0.0,
14,TQDE,2018-10-19,МедиаВиМ,MGVM,28,103656.5,0.37,0.365,0.37,0.365,0.365,0.365,283000,,0.365,0.365,0.0,547449.0,0.0,
15,TQDE,2018-10-22,МедиаВиМ,MGVM,42,122003.5,0.365,0.36,0.365,0.36,0.365,0.36,336000,,0.365,0.36,0.0,607856.5,0.0,
16,TQDE,2018-10-23,МедиаВиМ,MGVM,33,112246.5,0.36,0.36,0.365,0.36,0.36,0.36,311700,,0.365,0.36,0.0,504103.0,0.0,
17,TQDE,2018-10-24,МедиаВиМ,MGVM,120,60989.5,0.36,0.36,0.365,0.365,0.365,0.365,167900,,0.365,0.365,0.0,545004.5,0.0,
18,TQDE,2018-10-25,МедиаВиМ,MGVM,79,108191.5,0.365,0.36,0.385,0.37,0.375,0.37,289300,,0.365,0.37,0.0,501560.5,0.0,
19,TQDE,2018-10-26,МедиаВиМ,MGVM,28,40112.0,0.37,0.37,0.39,0.375,0.375,0.37,107400,,0.365,0.375,0.0,523422.5,0.0,
20,TQDE,2018-10-29,МедиаВиМ,MGVM,82,91087.5,0.37,0.37,0.375,0.375,0.375,0.375,244300,,0.365,0.375,0.0,519629.0,0.0,
21,TQDE,2018-10-30,МедиаВиМ,MGVM,64,307608.0,0.375,0.345,0.375,0.35,0.365,0.375,841500,,0.37,0.35,0.0,500169.5,0.0,
22,TQDE,2018-10-31,МедиаВиМ,MGVM,797,2765357.0,0.52,0.225,0.52,0.225,0.235,0.23,11883100,0.235,0.235,0.225,2765357.0,2765357.0,2765357.0,
23,TQDE,2018-11-01,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.233,0.226,0.225,2765357.0,506556.5,2765357.0,
24,TQDE,2018-11-02,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.233,0.226,0.225,2765357.0,506556.5,2765357.0,
25,TQDE,2018-11-06,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.24100000000000002,0.226,0.225,3072965.0,506556.5,3072965.0,
26,TQDE,2018-11-07,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.233,0.226,0.225,2765357.0,506556.5,2765357.0,
27,TQDE,2018-11-08,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.248,0.226,0.225,3312356.0,506556.5,3312356.0,
28,TQDE,2018-11-09,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.245,0.226,0.225,3204164.5,506556.5,3204164.5,
29,TQDE,2018-11-12,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.244,0.226,0.225,3164052.5,506556.5,3164052.5,
30,TQDE,2018-11-13,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.24100000000000002,0.226,0.225,3072965.0,506556.5,3072965.0,
31,TQDE,2018-11-14,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,0.233,0.226,0.225,2765357.0,506556.5,2765357.0,
32,TQDE,2018-11-15,МедиаВиМ,MGVM,0,0.0,,,,0.225,,,0,,0.226,0.225,0.0,506556.5,0.0,
33,TQDE,2018-11-16,МедиаВиМ,MGVM,375,1831607.0,0.321,0.303,0.321,0.321,0.321,0.321,5707900,0.321,0.321,0.321,1831607.0,1831607.0,1831607.0,
34,TQDE,2018-11-19,МедиаВиМ,MGVM,142,279244.1,0.38,0.375,0.44799999999999995,0.44799999999999995,0.43799999999999994,0.44799999999999995,637700,,0.376,0.44799999999999995,0.0,509392.5,0.0,
35,TQDE,2018-11-20,МедиаВиМ,MGVM,108,377146.8,0.626,0.561,0.626,0.626,0.626,0.626,602600,,0.568,0.626,0.0,506009.1,0.0,
36,TQDE,2018-11-21,МедиаВиМ,MGVM,1487,3733116.3,0.73,0.695,0.8759999999999999,0.8759999999999999,0.845,0.8759999999999999,4416400,0.845,0.845,0.8759999999999999,3733116.3,3733116.3,3733116.3,
37,TQDE,2018-11-22,МедиаВиМ,MGVM,3011,12084431.3,0.9940000000000001,0.914,1.225,1.192,1.173,1.214,10305800,1.173,1.173,1.192,12084431.3,12084431.3,12084431.3,
38,TQDE,2018-11-23,МедиаВиМ,MGVM,3215,10522125.2,1.348,0.965,1.584,1.409,1.304,1.419,8070100,1.304,1.304,1.409,10522125.2,10522125.2,10522125.2,
39,TQDE,2018-11-26,МедиаВиМ,MGVM,2348,8237837.0,1.419,1.139,1.76,1.26,1.456,1.264,5658100,1.456,1.456,1.26,8237837.0,8237837.0,8237837.0,
40,TQDE,2018-11-27,МедиаВиМ,MGVM,2334,5655088.6,1.287,1.07,1.287,1.209,1.185,1.23,4772500,1.185,1.185,1.209,5655088.6,5655088.6,5655088.6,
41,TQDE,2018-11-28,МедиаВиМ,MGVM,1025,2699259.5,1.23,1.16,1.2990000000000002,1.202,1.22,1.206,2212900,1.22,1.22,1.202,2699259.5,2699259.5,2699259.5,
42,TQDE,2018-11-29,МедиаВиМ,MGVM,440,2164164.5,1.236,1.1059999999999999,1.236,1.181,1.198,1.18,1806600,1.198,1.198,1.181,2164164.5,2164164.5,2164164.5,
43,TQDE,2018-11-30,МедиаВиМ,MGVM,224,295667.5,1.226,1.14,1.226,1.141,1.1540000000000001,1.141,256300,,1.169,1.141,0.0,520147.3,0.0,
44,TQDE,2018-12-03,МедиаВиМ,MGVM,395,393437.6,1.163,0.961,1.212,1.05,1.094,1.058,359500,,1.112,1.05,0.0,592499.4,0.0,
45,TQDE,2018-12-04,МедиаВиМ,MGVM,1016,1911179.9,1.06,1.0,1.212,1.047,1.1059999999999999,1.058,1727300,1.1059999999999999,1.1059999999999999,1.047,1911179.9,1911179.9,1911179.9,
46,TQDE,2018-12-05,МедиаВиМ,MGVM,694,870064.2,1.1059999999999999,0.997,1.17,1.07,1.054,1.078,825200,1.054,1.054,1.07,870064.2,870064.2,870064.2,
47,TQDE,2018-12-06,МедиаВиМ,MGVM,2678,4754034.6,1.099,0.6409999999999999,1.1059999999999999,0.657,0.775,0.643,6134700,0.775,0.775,0.657,4754034.6,4754034.6,4754034.6,
48,TQDE,2018-12-07,МедиаВиМ,MGVM,2733,2903117.2,0.6779999999999999,0.6579999999999999,0.81,0.723,0.7290000000000001,0.7170000000000001,3979700,0.7290000000000001,0.7290000000000001,0.723,2903117.2,2903117.2,2903117.2,
49,TQDE,2018-12-10,МедиаВиМ,MGVM,1560,907443.3,0.777,0.672,0.777,0.682,0.701,0.695,1295100,0.701,0.701,0.682,907443.3,907443.3,907443.3,
50,TQDE,2018-12-11,МедиаВиМ,MGVM,988,957556.4,0.7040000000000001,0.6,0.7040000000000001,0.647,0.633,0.649,1511900,0.633,0.633,0.647,957556.4,957556.4,957556.4,
51,TQDE,2018-12-12,МедиаВиМ,MGVM,1492,1252085.6,0.619,0.619,0.72,0.6759999999999999,0.684,0.684,1829900,0.684,0.684,0.6759999999999999,1252085.6,1252085.6,1252085.6,
52,TQDE,2018-12-13,МедиаВиМ,MGVM,1537,1083146.5,0.59,0.59,0.726,0.693,0.696,0.6920000000000001,1556200,0.696,0.696,0.693,1083146.5,1083146.5,1083146.5,
53,TQDE,2018-12-14,МедиаВиМ,MGVM,1196,472796.2,0.925,0.665,0.925,0.7,0.6920000000000001,0.7040000000000001,683700,,0.6920000000000001,0.7,0.0,506555.7,0.0,
54,TQDE,2018-12-17,МедиаВиМ,MGVM,998,356070.6,0.747,0.655,0.747,0.665,0.6729999999999999,0.6629999999999999,529100,,0.6759999999999999,0.665,0.0,500301.3,0.0,
55,TQDE,2018-12-18,МедиаВиМ,MGVM,640,299904.1,0.69,0.601,0.69,0.667,0.635,0.67,472300,,0.648,0.667,0.0,500648.7,0.0,
56,TQDE,2018-12-19,МедиаВиМ,MGVM,1080,395629.5,0.898,0.633,0.898,0.65,0.6629999999999999,0.652,596300,,0.66,0.65,0.0,502834.1,0.0,
57,TQDE,2018-12-20,МедиаВиМ,MGVM,747,464172.3,0.6990000000000001,0.602,0.6990000000000001,0.635,0.63,0.636,737200,,0.63,0.635,0.0,500854.0,0.0,
58,TQDE,2018-12-21,МедиаВиМ,MGVM,612,260655.4,0.6,0.6,0.657,0.628,0.626,0.638,416300,,0.628,0.628,0.0,554714.0,0.0,
