,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,МосОблБанк,MOBB,103,122369.0,1.54,1.52,1.57,1.57,1.55,1.57,78700,,1.53,1.57,0.0,500161.0,0.0,
1,TQBR,2018-10-02,МосОблБанк,MOBB,209,689164.0,1.57,1.52,1.65,1.58,1.58,1.58,435100,1.58,1.58,1.58,689164.0,689164.0,689164.0,
2,TQBR,2018-10-03,МосОблБанк,MOBB,41,80384.0,1.56,1.55,1.59,1.58,1.56,1.59,51400,,1.58,1.58,0.0,514109.0,0.0,
3,TQBR,2018-10-04,МосОблБанк,MOBB,196,428782.0,1.58,1.49,1.65,1.53,1.55,1.53,277000,,1.55,1.53,0.0,507143.0,0.0,
4,TQBR,2018-10-05,МосОблБанк,MOBB,94,204243.0,1.51,1.47,1.53,1.51,1.5,1.51,136200,,1.52,1.51,0.0,503138.0,0.0,
5,TQBR,2018-10-08,МосОблБанк,MOBB,50,103316.0,1.49,1.47,1.52,1.48,1.49,1.47,69300,,1.51,1.48,0.0,504616.0,0.0,
6,TQBR,2018-10-09,МосОблБанк,MOBB,541,2688607.0,1.5,1.49,1.73,1.6,1.63,1.6,1648600,1.63,1.63,1.6,2688607.0,2688607.0,2688607.0,
7,TQBR,2018-10-10,МосОблБанк,MOBB,135,411047.0,1.64,1.51,1.65,1.56,1.56,1.56,263500,,1.56,1.56,0.0,505941.0,0.0,
8,TQBR,2018-10-11,МосОблБанк,MOBB,244,463586.0,1.52,1.5,1.6,1.57,1.53,1.57,302600,,1.53,1.57,0.0,504560.0,0.0,
9,TQBR,2018-10-12,МосОблБанк,MOBB,63,76438.0,1.58,1.52,1.58,1.55,1.54,1.55,49500,,1.54,1.55,0.0,502496.0,0.0,
10,TQBR,2018-10-15,МосОблБанк,MOBB,131,374816.0,1.61,1.55,1.63,1.62,1.6,1.62,234900,,1.59,1.62,0.0,501057.0,0.0,
11,TQBR,2018-10-16,МосОблБанк,MOBB,142,633515.0,1.62,1.47,1.63,1.56,1.56,1.56,407000,1.56,1.56,1.56,633515.0,633515.0,633515.0,
12,TQBR,2018-10-17,МосОблБанк,MOBB,126,262362.0,1.55,1.5,1.61,1.57,1.57,1.57,167000,,1.55,1.57,0.0,500278.0,0.0,
13,TQBR,2018-10-18,МосОблБанк,MOBB,304,1381212.0,1.53,1.41,1.6,1.58,1.51,1.57,912000,1.51,1.51,1.58,1381212.0,1381212.0,1381212.0,
14,TQBR,2018-10-19,МосОблБанк,MOBB,51,77768.0,1.57,1.52,1.58,1.55,1.56,1.55,50000,,1.58,1.55,0.0,517082.0,0.0,
15,TQBR,2018-10-22,МосОблБанк,MOBB,47,191035.0,1.55,1.5,1.55,1.54,1.51,1.54,126300,,1.56,1.54,0.0,528256.0,0.0,
16,TQBR,2018-10-23,МосОблБанк,MOBB,299,708203.0,1.51,1.36,1.51,1.47,1.45,1.47,488500,1.45,1.45,1.47,708203.0,708203.0,708203.0,
17,TQBR,2018-10-24,МосОблБанк,MOBB,232,204797.0,1.47,1.41,1.47,1.46,1.44,1.46,142000,,1.43,1.46,0.0,505793.0,0.0,
18,TQBR,2018-10-25,МосОблБанк,MOBB,243,767323.0,1.41,1.35,1.44,1.43,1.4,1.43,549300,1.4,1.4,1.43,767323.0,767323.0,767323.0,
19,TQBR,2018-10-26,МосОблБанк,MOBB,138,148075.0,1.42,1.4,1.46,1.42,1.43,1.42,103800,,1.4,1.42,0.0,525343.0,0.0,
20,TQBR,2018-10-29,МосОблБанк,MOBB,109,267637.0,1.42,1.39,1.49,1.46,1.46,1.46,183000,,1.44,1.46,0.0,515778.0,0.0,
21,TQBR,2018-10-30,МосОблБанк,MOBB,33,54598.0,1.46,1.44,1.48,1.48,1.46,1.48,37300,,1.45,1.48,0.0,506276.0,0.0,
22,TQBR,2018-10-31,МосОблБанк,MOBB,151,607040.0,1.48,1.45,1.53,1.45,1.49,1.45,408200,1.49,1.49,1.45,607040.0,607040.0,607040.0,
23,TQBR,2018-11-01,МосОблБанк,MOBB,142,234939.7,1.45,1.411,1.489,1.4340000000000002,1.445,1.4340000000000002,162600,,1.456,1.4340000000000002,0.0,511803.7,0.0,
24,TQBR,2018-11-02,МосОблБанк,MOBB,234,603410.5,1.4380000000000002,1.42,1.54,1.53,1.4869999999999999,1.53,405900,1.4869999999999999,1.4869999999999999,1.53,603410.5,603410.5,603410.5,
25,TQBR,2018-11-06,МосОблБанк,MOBB,251,611850.2,1.53,1.415,1.53,1.48,1.4580000000000002,1.48,419600,1.4580000000000002,1.4580000000000002,1.48,611850.2,611850.2,611850.2,
