history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;МРСК ЦП;MRKP;329;14924530;0.2795;0.279;0.2835;0.281;0.281;0.281;53140000;0.281;0.281;0.281;14924530;14924530;14924530;
TQBR;2018-10-02;МРСК ЦП;MRKP;663;38599200;0.28;0.28;0.2915;0.2855;0.288;0.2855;134090000;0.288;0.288;0.2855;38599200;38599200;38599200;
TQBR;2018-10-03;МРСК ЦП;MRKP;344;11539990;0.2865;0.285;0.291;0.2895;0.2895;0.2895;39890000;0.2895;0.2895;0.2895;11539990;11539990;11539990;
TQBR;2018-10-04;МРСК ЦП;MRKP;535;26583880;0.288;0.2845;0.293;0.2865;0.289;0.2865;92060000;0.289;0.289;0.2865;26583880;26583880;26583880;
TQBR;2018-10-05;МРСК ЦП;MRKP;1263;48444655;0.2865;0.2785;0.2875;0.282;0.281;0.282;172500000;0.281;0.281;0.282;48444655;48444655;48444655;
TQBR;2018-10-08;МРСК ЦП;MRKP;442;17033740;0.2835;0.279;0.287;0.285;0.282;0.285;60430000;0.282;0.282;0.285;17033740;17033740;17033740;
TQBR;2018-10-09;МРСК ЦП;MRKP;315;11929605;0.2855;0.2835;0.29;0.286;0.287;0.286;41570000;0.287;0.287;0.286;11929605;11929605;11929605;
TQBR;2018-10-10;МРСК ЦП;MRKP;184;10005705;0.287;0.284;0.287;0.285;0.2855;0.285;35070000;0.2855;0.2855;0.285;10005705;10005705;10005705;
TQBR;2018-10-11;МРСК ЦП;MRKP;533;20707470;0.2815;0.2765;0.2825;0.2795;0.28;0.28;73970000;0.28;0.28;0.2795;20707470;20707470;20707470;
TQBR;2018-10-12;МРСК ЦП;MRKP;416;15482845;0.28;0.2795;0.2845;0.2815;0.281;0.2815;55090000;0.281;0.281;0.2815;15482845;15482845;15482845;
TQBR;2018-10-15;МРСК ЦП;MRKP;270;8464635;0.2815;0.2795;0.283;0.2805;0.2805;0.2805;30200000;0.2805;0.2805;0.2805;8464635;8464635;8464635;
TQBR;2018-10-16;МРСК ЦП;MRKP;304;12288775;0.281;0.28;0.2825;0.2815;0.281;0.2815;43760000;0.281;0.281;0.2815;12288775;12288775;12288775;
TQBR;2018-10-17;МРСК ЦП;MRKP;270;8482270;0.2805;0.2805;0.2835;0.281;0.282;0.281;30070000;0.282;0.282;0.281;8482270;8482270;8482270;
TQBR;2018-10-18;МРСК ЦП;MRKP;487;16613260;0.282;0.2815;0.2875;0.287;0.285;0.287;58310000;0.285;0.285;0.287;16613260;16613260;16613260;
TQBR;2018-10-19;МРСК ЦП;MRKP;421;20060700;0.2865;0.2845;0.2915;0.2855;0.2865;0.2855;70010000;0.2865;0.2865;0.2855;20060700;20060700;20060700;
TQBR;2018-10-22;МРСК ЦП;MRKP;289;15596550;0.283;0.2825;0.2875;0.285;0.2845;0.285;54790000;0.2845;0.2845;0.285;15596550;15596550;15596550;
TQBR;2018-10-23;МРСК ЦП;MRKP;434;18869695;0.2825;0.2795;0.283;0.281;0.2805;0.281;67290000;0.2805;0.2805;0.281;18869695;18869695;18869695;
TQBR;2018-10-24;МРСК ЦП;MRKP;276;10691865;0.282;0.281;0.2845;0.2825;0.283;0.2825;37810000;0.283;0.283;0.2825;10691865;10691865;10691865;
TQBR;2018-10-25;МРСК ЦП;MRKP;328;12136710;0.281;0.2795;0.283;0.2815;0.281;0.2815;43220000;0.281;0.281;0.2815;12136710;12136710;12136710;
TQBR;2018-10-26;МРСК ЦП;MRKP;378;10479875;0.2805;0.277;0.2815;0.2795;0.2795;0.2795;37500000;0.2795;0.2795;0.2795;10479875;10479875;10479875;
TQBR;2018-10-29;МРСК ЦП;MRKP;290;8104960;0.2805;0.28;0.2855;0.285;0.284;0.285;28560000;0.284;0.284;0.285;8104960;8104960;8104960;
TQBR;2018-10-30;МРСК ЦП;MRKP;312;8816770;0.2835;0.283;0.289;0.2855;0.2865;0.2855;30800000;0.2865;0.2865;0.2855;8816770;8816770;8816770;
TQBR;2018-10-31;МРСК ЦП;MRKP;2949;94717885;0.2805;0.267;0.282;0.269;0.272;0.269;348230000;0.272;0.272;0.269;94717885;94717885;94717885;
TQBR;2018-11-01;МРСК ЦП;MRKP;1099;23040979;0.27;0.266;0.2712;0.266;0.2682;0.266;85910000;0.2682;0.2682;0.266;23040979;23040979;23040979;
TQBR;2018-11-02;МРСК ЦП;MRKP;873;17977994;0.2687;0.264;0.269;0.2645;0.2664;0.2645;67490000;0.2664;0.2664;0.2645;17977994;17977994;17977994;
TQBR;2018-11-06;МРСК ЦП;MRKP;469;10545103;0.2664;0.2652;0.2684;0.266;0.2667;0.266;39540000;0.2667;0.2667;0.266;10545103;10545103;10545103;
TQBR;2018-11-07;МРСК ЦП;MRKP;347;9145596;0.2677;0.2661;0.2699;0.2682;0.2688;0.2682;34030000;0.2688;0.2688;0.2682;9145596;9145596;9145596;
TQBR;2018-11-08;МРСК ЦП;MRKP;294;8003341;0.2688;0.2673;0.2692;0.2685;0.2682;0.2685;29840000;0.2682;0.2682;0.2685;8003341;8003341;8003341;
TQBR;2018-11-09;МРСК ЦП;MRKP;372;13609115;0.2688;0.2663;0.271;0.2675;0.2687;0.2675;50650000;0.2687;0.2687;0.2675;13609115;13609115;13609115;
TQBR;2018-11-12;МРСК ЦП;MRKP;136;4837169;0.2675;0.2675;0.2687;0.2678;0.268;0.2678;18050000;0.268;0.268;0.2678;4837169;4837169;4837169;
TQBR;2018-11-13;МРСК ЦП;MRKP;434;9816850;0.2663;0.2649;0.2675;0.2655;0.266;0.2655;36900000;0.266;0.266;0.2655;9816850;9816850;9816850;
TQBR;2018-11-14;МРСК ЦП;MRKP;540;11862987;0.2649;0.2615;0.2663;0.2636;0.2634;0.2636;45040000;0.2634;0.2634;0.2636;11862987;11862987;11862987;
TQBR;2018-11-15;МРСК ЦП;MRKP;1425;27721958;0.2648;0.2562;0.2648;0.2578;0.2602;0.2578;106550000;0.2602;0.2602;0.2578;27721958;27721958;27721958;
TQBR;2018-11-16;МРСК ЦП;MRKP;1481;21217357;0.2565;0.256;0.2629;0.2619;0.2606;0.2619;81430000;0.2606;0.2606;0.2619;21217357;21217357;21217357;
TQBR;2018-11-19;МРСК ЦП;MRKP;456;9449085;0.262;0.2599;0.2634;0.2626;0.2618;0.2627;36090000;0.2618;0.2618;0.2626;9449085;9449085;9449085;
TQBR;2018-11-20;МРСК ЦП;MRKP;250;4533320;0.2636;0.2601;0.2636;0.2605;0.2616;0.2605;17330000;0.2616;0.2616;0.2605;4533320;4533320;4533320;
TQBR;2018-11-21;МРСК ЦП;MRKP;257;10720470;0.26;0.2593;0.2612;0.26;0.2606;0.26;41140000;0.2606;0.2606;0.26;10720470;10720470;10720470;
TQBR;2018-11-22;МРСК ЦП;MRKP;1436;46534906;0.2605;0.2602;0.2779;0.2749;0.2731;0.2749;170420000;0.2731;0.2731;0.2749;46534906;46534906;46534906;
TQBR;2018-11-23;МРСК ЦП;MRKP;567;14613970;0.2753;0.2728;0.2793;0.2739;0.275;0.2739;53150000;0.275;0.275;0.2739;14613970;14613970;14613970;
TQBR;2018-11-26;МРСК ЦП;MRKP;637;16484745;0.2752;0.2697;0.2752;0.2699;0.2713;0.2699;60770000;0.2713;0.2713;0.2699;16484745;16484745;16484745;
TQBR;2018-11-27;МРСК ЦП;MRKP;356;7252395;0.2699;0.2693;0.2743;0.2734;0.2731;0.2734;26560000;0.2731;0.2731;0.2734;7252395;7252395;7252395;
TQBR;2018-11-28;МРСК ЦП;MRKP;266;7881211;0.2726;0.2726;0.276;0.275;0.2747;0.275;28690000;0.2747;0.2747;0.275;7881211;7881211;7881211;
TQBR;2018-11-29;МРСК ЦП;MRKP;375;9338255;0.2769;0.2752;0.2777;0.2777;0.2768;0.2777;33740000;0.2768;0.2768;0.2777;9338255;9338255;9338255;
TQBR;2018-11-30;МРСК ЦП;MRKP;357;10839484;0.2765;0.2752;0.2798;0.2759;0.2778;0.2759;39020000;0.2778;0.2778;0.2759;10839484;10839484;10839484;
TQBR;2018-12-03;МРСК ЦП;MRKP;305;10936446;0.2765;0.2765;0.2789;0.2771;0.2776;0.2771;39400000;0.2776;0.2776;0.2771;10936446;10936446;10936446;
TQBR;2018-12-04;МРСК ЦП;MRKP;287;7304858;0.2769;0.2759;0.2789;0.2762;0.2772;0.2762;26350000;0.2772;0.2772;0.2762;7304858;7304858;7304858;
TQBR;2018-12-05;МРСК ЦП;MRKP;251;10477239;0.2755;0.274;0.276;0.275;0.275;0.275;38100000;0.275;0.275;0.275;10477239;10477239;10477239;
TQBR;2018-12-06;МРСК ЦП;MRKP;537;16817555;0.275;0.2689;0.275;0.274;0.2727;0.274;61680000;0.2727;0.2727;0.274;16817555;16817555;16817555;
TQBR;2018-12-07;МРСК ЦП;MRKP;342;10769772;0.2745;0.2744;0.2768;0.276;0.2756;0.276;39080000;0.2756;0.2756;0.276;10769772;10769772;10769772;
TQBR;2018-12-10;МРСК ЦП;MRKP;345;12013955;0.2754;0.2741;0.2769;0.2756;0.2752;0.2756;43660000;0.2752;0.2752;0.2756;12013955;12013955;12013955;
TQBR;2018-12-11;МРСК ЦП;MRKP;300;8793447;0.2755;0.273;0.2755;0.2739;0.2741;0.2738;32080000;0.2741;0.2741;0.2739;8793447;8793447;8793447;
TQBR;2018-12-12;МРСК ЦП;MRKP;193;5843786;0.2739;0.2735;0.276;0.2745;0.2742;0.2753;21310000;0.2742;0.2742;0.2745;5843786;5843786;5843786;
TQBR;2018-12-13;МРСК ЦП;MRKP;267;14948958;0.2744;0.2736;0.2759;0.2747;0.2748;0.2747;54390000;0.2748;0.2748;0.2747;14948958;14948958;14948958;
TQBR;2018-12-14;МРСК ЦП;MRKP;208;7523786;0.2745;0.2735;0.2746;0.274;0.2741;0.274;27450000;0.2741;0.2741;0.274;7523786;7523786;7523786;
TQBR;2018-12-17;МРСК ЦП;MRKP;293;9533830;0.2744;0.2733;0.275;0.2736;0.274;0.2735;34790000;0.274;0.274;0.2736;9533830;9533830;9533830;
TQBR;2018-12-18;МРСК ЦП;MRKP;472;18122956;0.2732;0.2703;0.2741;0.271;0.2716;0.271;66730000;0.2716;0.2716;0.271;18122956;18122956;18122956;
TQBR;2018-12-19;МРСК ЦП;MRKP;595;16086318;0.2705;0.2695;0.271;0.2703;0.2701;0.2703;59550000;0.2701;0.2701;0.2703;16086318;16086318;16086318;
TQBR;2018-12-20;МРСК ЦП;MRKP;471;17272903;0.27;0.2676;0.2704;0.269;0.2696;0.2697;64080000;0.2696;0.2696;0.269;17272903;17272903;17272903;
TQBR;2018-12-21;МРСК ЦП;MRKP;318;14298754;0.2693;0.2686;0.2714;0.27;0.27;0.27;52960000;0.27;0.27;0.27;14298754;14298754;14298754;


