,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,МРСКСиб,MRKS,32,89250,0.08900000000000001,0.08900000000000001,0.09699999999999999,0.091,0.092,0.091,970000,,0.091,0.091,0,500385,0,
1,TQBR,2018-10-02,МРСКСиб,MRKS,51,342130,0.0895,0.08900000000000001,0.0955,0.09300000000000001,0.0925,0.09300000000000001,3690000,,0.092,0.09300000000000001,0,515975,0,
2,TQBR,2018-10-03,МРСКСиб,MRKS,17,77935,0.0935,0.092,0.0945,0.09300000000000001,0.0925,0.09300000000000001,840000,,0.0925,0.09300000000000001,0,508425,0,
3,TQBR,2018-10-04,МРСКСиб,MRKS,43,187840,0.095,0.09,0.095,0.09,0.0905,0.09,2070000,,0.0925,0.09,0,536590,0,
4,TQBR,2018-10-05,МРСКСиб,MRKS,5,4540,0.091,0.0905,0.091,0.0905,0.091,0.0905,50000,,0.0925,0.0905,0,541130,0,
5,TQBR,2018-10-08,МРСКСиб,MRKS,16,33460,0.0905,0.08900000000000001,0.0915,0.09,0.0905,0.09,370000,,0.092,0.09,0,574590,0,
6,TQBR,2018-10-09,МРСКСиб,MRKS,8,10795,0.0895,0.0895,0.0905,0.09,0.09,0.09,120000,,0.092,0.09,0,585385,0,
7,TQBR,2018-10-10,МРСКСиб,MRKS,20,65995,0.0895,0.08900000000000001,0.092,0.0905,0.0905,0.0905,730000,,0.0915,0.0905,0,500845,0,
8,TQBR,2018-10-11,МРСКСиб,MRKS,145,586735,0.0905,0.0825,0.091,0.08800000000000001,0.086,0.08800000000000001,6820000,0.086,0.086,0.08800000000000001,586735,586735,586735,
9,TQBR,2018-10-12,МРСКСиб,MRKS,30,98030,0.0885,0.08800000000000001,0.0905,0.0895,0.08900000000000001,0.0895,1100000,,0.086,0.0895,0,510500,0,
10,TQBR,2018-10-15,МРСКСиб,MRKS,18,58920,0.08900000000000001,0.0875,0.08900000000000001,0.0875,0.08800000000000001,0.0875,670000,,0.087,0.0875,0,501985,0,
11,TQBR,2018-10-16,МРСКСиб,MRKS,16,652805,0.08800000000000001,0.0865,0.0885,0.087,0.08800000000000001,0.087,7420000,0.08800000000000001,0.08800000000000001,0.087,652805,652805,652805,
12,TQBR,2018-10-17,МРСКСиб,MRKS,61,185160,0.0885,0.0865,0.0915,0.08800000000000001,0.08900000000000001,0.08800000000000001,2080000,,0.08800000000000001,0.08800000000000001,0,837965,0,
13,TQBR,2018-10-18,МРСКСиб,MRKS,22,92950,0.087,0.086,0.08800000000000001,0.0875,0.087,0.0875,1070000,,0.08800000000000001,0.0875,0,930915,0,
14,TQBR,2018-10-19,МРСКСиб,MRKS,2,1750,0.0885,0.0865,0.0885,0.0865,0.0875,0.0865,20000,,0.08800000000000001,0.0865,0,932665,0,
15,TQBR,2018-10-22,МРСКСиб,MRKS,21,84150,0.087,0.086,0.08900000000000001,0.0865,0.087,0.0875,970000,,0.08800000000000001,0.0865,0,1016815,0,
16,TQBR,2018-10-23,МРСКСиб,MRKS,152,763280,0.086,0.08,0.087,0.0835,0.08199999999999999,0.0835,9300000,0.08199999999999999,0.08199999999999999,0.0835,763280,763280,763280,
17,TQBR,2018-10-24,МРСКСиб,MRKS,99,434920,0.0835,0.08199999999999999,0.0875,0.084,0.0845,0.084,5160000,,0.084,0.084,0,508315,0,
18,TQBR,2018-10-25,МРСКСиб,MRKS,30,180380,0.084,0.0835,0.085,0.0845,0.0845,0.0845,2130000,,0.0845,0.0845,0,507220,0,
19,TQBR,2018-10-26,МРСКСиб,MRKS,21,55810,0.0835,0.0825,0.084,0.0835,0.0835,0.0835,670000,,0.084,0.0835,0,503475,0,
20,TQBR,2018-10-29,МРСКСиб,MRKS,23,66750,0.0835,0.0815,0.0835,0.0825,0.0825,0.0825,810000,,0.0835,0.0825,0,500700,0,
