,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,МРСК Ур,MRKU,64,795755,0.177,0.175,0.17800000000000002,0.1765,0.177,0.1765,4500000,0.177,0.177,0.1765,795755,795755,795755,
1,TQBR,2018-10-02,МРСК Ур,MRKU,207,6086475,0.1765,0.17300000000000001,0.1785,0.17800000000000002,0.17600000000000002,0.17800000000000002,34600000,0.17600000000000002,0.17600000000000002,0.17800000000000002,6086475,6086475,6086475,
2,TQBR,2018-10-03,МРСК Ур,MRKU,83,962255,0.1785,0.177,0.1805,0.1795,0.179,0.1805,5370000,0.179,0.179,0.1795,962255,962255,962255,
3,TQBR,2018-10-04,МРСК Ур,MRKU,79,6766340,0.1785,0.177,0.18,0.1795,0.1785,0.18,37920000,0.1785,0.1785,0.1795,6766340,6766340,6766340,
4,TQBR,2018-10-05,МРСК Ур,MRKU,40,234215,0.1795,0.1765,0.1795,0.1785,0.1775,0.1785,1320000,,0.179,0.1785,0,623015,0,
5,TQBR,2018-10-08,МРСК Ур,MRKU,39,503540,0.1785,0.1755,0.1785,0.17600000000000002,0.1765,0.17600000000000002,2850000,0.1765,0.1765,0.17600000000000002,503540,503540,503540,
6,TQBR,2018-10-09,МРСК Ур,MRKU,177,7075680,0.17800000000000002,0.1725,0.18100000000000002,0.177,0.177,0.177,39960000,0.177,0.177,0.177,7075680,7075680,7075680,
7,TQBR,2018-10-10,МРСК Ур,MRKU,20,169510,0.177,0.17600000000000002,0.177,0.1765,0.1765,0.1765,960000,,0.17800000000000002,0.1765,0,1045225,0,
8,TQBR,2018-10-11,МРСК Ур,MRKU,200,3449755,0.1765,0.1705,0.177,0.174,0.174,0.1745,19800000,0.174,0.174,0.174,3449755,3449755,3449755,
9,TQBR,2018-10-12,МРСК Ур,MRKU,34,154440,0.1745,0.1745,0.17600000000000002,0.1755,0.1755,0.1755,880000,,0.175,0.1755,0,531895,0,
10,TQBR,2018-10-15,МРСК Ур,MRKU,45,302855,0.175,0.17300000000000001,0.1755,0.174,0.174,0.174,1740000,,0.1745,0.174,0,500820,0,
11,TQBR,2018-10-16,МРСК Ур,MRKU,23,421870,0.174,0.1725,0.1745,0.1745,0.17300000000000001,0.1745,2440000,,0.17300000000000001,0.1745,0,508675,0,
12,TQBR,2018-10-17,МРСК Ур,MRKU,94,3199435,0.1745,0.172,0.17600000000000002,0.1735,0.1735,0.1735,18420000,0.1735,0.1735,0.1735,3199435,3199435,3199435,
13,TQBR,2018-10-18,МРСК Ур,MRKU,23,298165,0.17300000000000001,0.17300000000000001,0.175,0.1745,0.1745,0.1745,1710000,,0.175,0.1745,0,1290580,0,
14,TQBR,2018-10-19,МРСК Ур,MRKU,121,2377955,0.1735,0.168,0.175,0.171,0.1715,0.1725,13880000,0.1715,0.1715,0.171,2377955,2377955,2377955,
15,TQBR,2018-10-22,МРСК Ур,MRKU,65,1645100,0.171,0.17,0.175,0.1715,0.1735,0.1715,9490000,0.1735,0.1735,0.1715,1645100,1645100,1645100,
16,TQBR,2018-10-23,МРСК Ур,MRKU,42,1014700,0.1705,0.1695,0.171,0.1705,0.17,0.171,5970000,0.17,0.17,0.1705,1014700,1014700,1014700,
17,TQBR,2018-10-24,МРСК Ур,MRKU,85,1654540,0.1705,0.17,0.175,0.17,0.17300000000000001,0.17,9560000,0.17300000000000001,0.17300000000000001,0.17,1654540,1654540,1654540,
18,TQBR,2018-10-25,МРСК Ур,MRKU,45,288825,0.1695,0.16899999999999998,0.1705,0.1695,0.17,0.1695,1700000,,0.17,0.1695,0,500070,0,
19,TQBR,2018-10-26,МРСК Ур,MRKU,98,2332560,0.1695,0.16899999999999998,0.1745,0.17,0.1715,0.17,13580000,0.172,0.172,0.17,2332560,2332560,2332560,
20,TQBR,2018-10-29,МРСК Ур,MRKU,91,1042345,0.1715,0.16899999999999998,0.1725,0.172,0.1705,0.1725,6110000,0.1705,0.1705,0.172,1042345,1042345,1042345,
21,TQBR,2018-10-30,МРСК Ур,MRKU,65,771860,0.1705,0.17,0.1715,0.1705,0.171,0.1705,4520000,0.171,0.171,0.1705,771860,771860,771860,
22,TQBR,2018-10-31,МРСК Ур,MRKU,35,296955,0.1705,0.1705,0.1725,0.171,0.1715,0.171,1730000,,0.1715,0.171,0,510575,0,
23,TQBR,2018-11-01,МРСК Ур,MRKU,24,194524,0.1704,0.1702,0.1718,0.1708,0.1706,0.1708,1140000,,0.1712,0.1708,0,500019,0,
24,TQBR,2018-11-02,МРСК Ур,MRKU,55,478724,0.171,0.1698,0.171,0.1708,0.1704,0.1708,2810000,,0.1704,0.1708,0,504316,0,
25,TQBR,2018-11-06,МРСК Ур,MRKU,112,2249034,0.1714,0.1688,0.1718,0.1692,0.1694,0.1692,13280000,0.1694,0.1694,0.1692,2249034,2249034,2249034,
26,TQBR,2018-11-07,МРСК Ур,MRKU,54,766402,0.1696,0.16899999999999998,0.1698,0.1698,0.1696,0.16899999999999998,4520000,0.1696,0.1696,0.1698,766402,766402,766402,
27,TQBR,2018-11-08,МРСК Ур,MRKU,81,1567252,0.1706,0.16899999999999998,0.174,0.17,0.1726,0.17,9080000,0.1726,0.1726,0.17,1567252,1567252,1567252,
28,TQBR,2018-11-09,МРСК Ур,MRKU,114,1204680,0.1698,0.16899999999999998,0.1698,0.1692,0.1694,0.1692,7110000,0.1694,0.1694,0.1692,1204680,1204680,1204680,
29,TQBR,2018-11-12,МРСК Ур,MRKU,42,423350,0.1702,0.16899999999999998,0.1702,0.1694,0.1694,0.1694,2500000,,0.1694,0.1694,0,609640,0,
30,TQBR,2018-11-13,МРСК Ур,MRKU,53,1800256,0.17,0.1696,0.17300000000000001,0.17,0.1716,0.17,10490000,0.1716,0.1716,0.17,1800256,1800256,1800256,
31,TQBR,2018-11-14,МРСК Ур,MRKU,78,2887986,0.1692,0.1692,0.1728,0.1724,0.1712,0.171,16880000,0.171,0.171,0.1724,2887986,2887986,2887986,
32,TQBR,2018-11-15,МРСК Ур,MRKU,44,1250438,0.17,0.1692,0.1704,0.1698,0.1698,0.1698,7370000,0.1696,0.1696,0.1698,1250438,1250438,1250438,
33,TQBR,2018-11-16,МРСК Ур,MRKU,58,1480988,0.1698,0.1682,0.17,0.1688,0.16899999999999998,0.1692,8770000,0.1688,0.1688,0.1688,1480988,1480988,1480988,
34,TQBR,2018-11-19,МРСК Ур,MRKU,65,697488,0.1696,0.1676,0.1698,0.1698,0.1692,0.1698,4120000,0.1692,0.1692,0.1698,697488,697488,697488,
35,TQBR,2018-11-20,МРСК Ур,MRKU,102,4885088,0.17,0.1694,0.1724,0.1698,0.1712,0.1698,28530000,0.1712,0.1712,0.1698,4885088,4885088,4885088,
36,TQBR,2018-11-21,МРСК Ур,MRKU,33,435182,0.1702,0.16899999999999998,0.1702,0.1694,0.1694,0.1694,2570000,,0.1694,0.1694,0,535328,0,
37,TQBR,2018-11-22,МРСК Ур,MRKU,88,3160372,0.1698,0.1696,0.1726,0.1704,0.171,0.1704,18490000,0.171,0.171,0.1704,3160372,3160372,3160372,
38,TQBR,2018-11-23,МРСК Ур,MRKU,51,366086,0.171,0.1708,0.1728,0.171,0.172,0.171,2130000,,0.1714,0.171,0,531224,0,
39,TQBR,2018-11-26,МРСК Ур,MRKU,40,649326,0.1702,0.1694,0.1718,0.171,0.17,0.1712,3820000,0.17,0.17,0.171,649326,649326,649326,
40,TQBR,2018-11-27,МРСК Ур,MRKU,48,461982,0.17,0.1696,0.172,0.1708,0.171,0.172,2700000,,0.1712,0.1708,0,513342,0,
41,TQBR,2018-11-28,МРСК Ур,MRKU,36,473770,0.172,0.1702,0.1722,0.1702,0.1712,0.1702,2770000,,0.171,0.1702,0,514798,0,
42,TQBR,2018-11-29,МРСК Ур,MRKU,47,1756824,0.1718,0.17,0.1722,0.17,0.1702,0.17,10320000,0.1702,0.1702,0.17,1756824,1756824,1756824,
43,TQBR,2018-11-30,МРСК Ур,MRKU,45,587126,0.1718,0.1696,0.1718,0.1696,0.1702,0.1696,3450000,0.1702,0.1702,0.1696,587126,587126,587126,
44,TQBR,2018-12-03,МРСК Ур,MRKU,37,496616,0.1712,0.1702,0.1718,0.1716,0.1712,0.1716,2900000,,0.1712,0.1716,0,503400,0,
45,TQBR,2018-12-04,МРСК Ур,MRKU,23,289208,0.1716,0.1702,0.172,0.1708,0.1712,0.1708,1690000,,0.1712,0.1708,0,587238,0,
46,TQBR,2018-12-05,МРСК Ур,MRKU,51,1961178,0.1708,0.17,0.1718,0.1702,0.1706,0.17,11500000,0.1706,0.1706,0.1702,1961178,1961178,1961178,
47,TQBR,2018-12-06,МРСК Ур,MRKU,15,59924,0.1714,0.1706,0.1716,0.171,0.1712,0.1716,350000,,0.1702,0.171,0,505384,0,
48,TQBR,2018-12-07,МРСК Ур,MRKU,67,2668348,0.1718,0.1708,0.1758,0.1726,0.1736,0.1726,15370000,0.1736,0.1736,0.1726,2668348,2668348,2668348,
49,TQBR,2018-12-10,МРСК Ур,MRKU,86,795084,0.1736,0.17300000000000001,0.1776,0.1766,0.1752,0.1764,4540000,0.1752,0.1752,0.1766,795084,795084,795084,
50,TQBR,2018-12-11,МРСК Ур,MRKU,105,1195428,0.1778,0.177,0.1842,0.182,0.182,0.182,6570000,0.182,0.182,0.182,1195428,1195428,1195428,
51,TQBR,2018-12-12,МРСК Ур,MRKU,70,1106550,0.184,0.1804,0.1858,0.18100000000000002,0.1836,0.18100000000000002,6030000,0.1836,0.1836,0.18100000000000002,1106550,1106550,1106550,
52,TQBR,2018-12-13,МРСК Ур,MRKU,47,470090,0.1804,0.1804,0.1844,0.1844,0.1836,0.184,2560000,,0.1832,0.1844,0,526020,0,
53,TQBR,2018-12-14,МРСК Ур,MRKU,81,626642,0.183,0.1822,0.187,0.1844,0.1844,0.1844,3400000,0.1844,0.1844,0.1844,626642,626642,626642,
