,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,МРСКВол,MRKV,355,6280776.5,0.0985,0.09765,0.1,0.0989,0.09915,0.0985,63340000,0.09915,0.09915,0.0989,6280776.5,6280776.5,6280776.5,
1,TQBR,2018-10-02,МРСКВол,MRKV,558,10965187.0,0.0997,0.099,0.1017,0.1001,0.10085,0.1001,108730000,0.10085,0.10085,0.1001,10965187.0,10965187.0,10965187.0,
2,TQBR,2018-10-03,МРСКВол,MRKV,448,7800191.0,0.10015,0.10015,0.10265,0.1014,0.1018,0.1014,76620000,0.1018,0.1018,0.1014,7800191.0,7800191.0,7800191.0,
3,TQBR,2018-10-04,МРСКВол,MRKV,415,4956492.5,0.1023,0.09975,0.1023,0.10005,0.10095,0.10005,49090000,0.10095,0.10095,0.10005,4956492.5,4956492.5,4956492.5,
4,TQBR,2018-10-05,МРСКВол,MRKV,395,5545588.5,0.10085,0.099,0.10095,0.10005,0.09995,0.10005,55470000,0.09995,0.09995,0.10005,5545588.5,5545588.5,5545588.5,
5,TQBR,2018-10-08,МРСКВол,MRKV,233,3301021.0,0.10035,0.0989,0.10085,0.1003,0.0993,0.1003,33250000,0.0993,0.0993,0.1003,3301021.0,3301021.0,3301021.0,
6,TQBR,2018-10-09,МРСКВол,MRKV,227,2294894.5,0.0992,0.09915,0.10085,0.09975,0.10005,0.09975,22940000,0.10005,0.10005,0.09975,2294894.5,2294894.5,2294894.5,
7,TQBR,2018-10-10,МРСКВол,MRKV,281,3440591.0,0.0997,0.09905,0.1006,0.09945,0.0994,0.09945,34620000,0.0994,0.0994,0.09945,3440591.0,3440591.0,3440591.0,
8,TQBR,2018-10-11,МРСКВол,MRKV,524,5930651.0,0.0987,0.096,0.0987,0.098,0.0976,0.098,60750000,0.0976,0.0976,0.098,5930651.0,5930651.0,5930651.0,
9,TQBR,2018-10-12,МРСКВол,MRKV,327,3964952.0,0.0981,0.098,0.0999,0.0998,0.0995,0.0998,39840000,0.0995,0.0995,0.0998,3964952.0,3964952.0,3964952.0,
10,TQBR,2018-10-15,МРСКВол,MRKV,390,3906843.0,0.0993,0.0992,0.10135,0.1006,0.10045,0.1006,38900000,0.10045,0.10045,0.1006,3906843.0,3906843.0,3906843.0,
11,TQBR,2018-10-16,МРСКВол,MRKV,680,10742812.5,0.1006,0.1002,0.10300000000000001,0.1018,0.1018,0.1018,105530000,0.1018,0.1018,0.1018,10742812.5,10742812.5,10742812.5,
12,TQBR,2018-10-17,МРСКВол,MRKV,586,7046651.0,0.102,0.10185,0.10385,0.1031,0.10295,0.1031,68450000,0.10295,0.10295,0.1031,7046651.0,7046651.0,7046651.0,
13,TQBR,2018-10-18,МРСКВол,MRKV,331,5418177.0,0.1034,0.10225,0.10400000000000001,0.10355,0.1032,0.10355,52500000,0.1032,0.1032,0.10355,5418177.0,5418177.0,5418177.0,
14,TQBR,2018-10-19,МРСКВол,MRKV,355,4240531.0,0.1042,0.1026,0.1045,0.10300000000000001,0.1037,0.10295,40900000,0.1037,0.1037,0.10300000000000001,4240531.0,4240531.0,4240531.0,
15,TQBR,2018-10-22,МРСКВол,MRKV,247,2390567.0,0.10385,0.1017,0.10385,0.10195,0.1024,0.1021,23350000,0.1024,0.1024,0.10195,2390567.0,2390567.0,2390567.0,
16,TQBR,2018-10-23,МРСКВол,MRKV,378,4035679.5,0.10215,0.1,0.10215,0.10005,0.10035,0.10005,40220000,0.10035,0.10035,0.10005,4035679.5,4035679.5,4035679.5,
17,TQBR,2018-10-24,МРСКВол,MRKV,457,7090224.5,0.1008,0.10045,0.10225,0.102,0.1018,0.102,69650000,0.1018,0.1018,0.102,7090224.5,7090224.5,7090224.5,
18,TQBR,2018-10-25,МРСКВол,MRKV,399,5230115.5,0.1012,0.1,0.1015,0.10099999999999999,0.10065,0.10099999999999999,51970000,0.10065,0.10065,0.10099999999999999,5230115.5,5230115.5,5230115.5,
