history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;МордЭнСб;MRSB;0;0;;;;0.544;;;0;;0.56;0.544;0;504170;0;
TQBR;2018-10-02;МордЭнСб;MRSB;8;83800;0.54;0.54;0.564;0.559;0.559;0.559;150000;;0.554;0.559;0;504530;0;
TQBR;2018-10-03;МордЭнСб;MRSB;5;34520;0.589;0.543;0.59;0.56;0.575;0.56;60000;;0.554;0.56;0;504300;0;
TQBR;2018-10-04;МордЭнСб;MRSB;2;16460;0.546;0.546;0.55;0.55;0.549;0.55;30000;;0.554;0.55;0;503780;0;
TQBR;2018-10-05;МордЭнСб;MRSB;12;65800;0.584;0.526;0.584;0.56;0.548;0.56;120000;;0.551;0.56;0;501590;0;
TQBR;2018-10-08;МордЭнСб;MRSB;4;21920;0.555;0.541;0.555;0.541;0.548;0.541;40000;;0.551;0.541;0;512310;0;
TQBR;2018-10-09;МордЭнСб;MRSB;0;0;;;;0.541;;;0;;0.551;0.541;0;512310;0;
TQBR;2018-10-10;МордЭнСб;MRSB;0;0;;;;0.541;0.561;;0;;0.551;0.541;0;512310;0;
TQBR;2018-10-11;МордЭнСб;MRSB;6;43090;0.52;0.52;0.569;0.565;0.539;0.56;80000;;0.551;0.565;0;501220;0;
TQBR;2018-10-12;МордЭнСб;MRSB;2;11360;0.569;0.567;0.569;0.567;0.568;0.567;20000;;0.551;0.567;0;512580;0;
TQBR;2018-10-15;МордЭнСб;MRSB;17;145980;0.585;0.563;0.589;0.563;0.584;0.563;250000;;0.561;0.563;0;504460;0;
TQBR;2018-10-16;МордЭнСб;MRSB;0;0;;;;0.563;;;0;;0.561;0.563;0;504460;0;
TQBR;2018-10-17;МордЭнСб;MRSB;4;22090;0.551;0.548;0.56;0.553;0.552;0.548;40000;;0.561;0.553;0;504750;0;
TQBR;2018-10-18;МордЭнСб;MRSB;12;141590;0.638;0.55;0.638;0.576;0.566;0.576;250000;;0.565;0.576;0;502810;0;
TQBR;2018-10-19;МордЭнСб;MRSB;0;0;;;;0.576;0.571;;0;;0.565;0.576;0;502810;0;
TQBR;2018-10-22;МордЭнСб;MRSB;62;1307850;0.555;0.499;0.56;0.5;0.503;0.5;2600000;0.503;0.503;0.5;1307850;1307850;1307850;
TQBR;2018-10-23;МордЭнСб;MRSB;15;731140;0.495;0.49;0.505;0.505;0.491;0.505;1490000;0.491;0.491;0.505;731140;731140;731140;
TQBR;2018-10-24;МордЭнСб;MRSB;3;15420;0.514;0.514;0.514;0.514;0.514;0.514;30000;0.491;0.491;0.514;746560;653190;746560;
TQBR;2018-10-25;МордЭнСб;MRSB;5;40200;0.502;0.5;0.509;0.509;0.503;0.509;80000;0.492;0.492;0.509;786760;693390;786760;
TQBR;2018-10-26;МордЭнСб;MRSB;54;660920;0.51;0.451;0.51;0.454;0.472;0.452;1400000;0.472;0.472;0.454;660920;660920;660920;
TQBR;2018-10-29;МордЭнСб;MRSB;17;159290;0.45;0.438;0.45;0.44;0.442;0.44;360000;;0.459;0.44;0;568640;0;
TQBR;2018-10-30;МордЭнСб;MRSB;11;87150;0.42;0.42;0.44;0.44;0.436;0.44;200000;;0.451;0.44;0;500990;0;
TQBR;2018-10-31;МордЭнСб;MRSB;6;39740;0.441;0.441;0.444;0.441;0.442;0.441;90000;;0.45;0.441;0;517760;0;
TQBR;2018-11-01;МордЭнСб;MRSB;3;13460;0.45;0.446;0.45;0.446;0.45;0.446;30000;;0.45;0.446;0;503550;0;
TQBR;2018-11-02;МордЭнСб;MRSB;8;116760;0.44;0.426;0.446;0.446;0.432;0.446;270000;;0.442;0.446;0;503250;0;
TQBR;2018-11-06;МордЭнСб;MRSB;7;35880;0.452;0.434;0.454;0.44;0.45;0.44;80000;;0.44;0.44;0;502390;0;
