history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;МОЭСК;MSRS;105;1310656;0.702;0.688;0.702;0.694;0.692;0.694;1894000;0.692;0.692;0.694;1310656;1310656;1310656;
TQBR;2018-10-02;МОЭСК;MSRS;243;3214502;0.693;0.693;0.72;0.701;0.705;0.701;4561000;0.705;0.705;0.701;3214502;3214502;3214502;
TQBR;2018-10-03;МОЭСК;MSRS;72;980312;0.703;0.702;0.709;0.708;0.704;0.708;1393000;0.704;0.704;0.708;980312;980312;980312;
TQBR;2018-10-04;МОЭСК;MSRS;159;2825271;0.708;0.697;0.719;0.704;0.709;0.704;3983000;0.709;0.709;0.704;2825271;2825271;2825271;
TQBR;2018-10-05;МОЭСК;MSRS;68;948812;0.701;0.7;0.705;0.705;0.702;0.705;1352000;0.702;0.702;0.705;948812;948812;948812;
TQBR;2018-10-08;МОЭСК;MSRS;111;1700081;0.7;0.7;0.718;0.707;0.707;0.707;2404000;0.707;0.707;0.707;1700081;1700081;1700081;
TQBR;2018-10-09;МОЭСК;MSRS;108;1372949;0.704;0.7;0.705;0.702;0.701;0.702;1959000;0.701;0.701;0.702;1372949;1372949;1372949;
TQBR;2018-10-10;МОЭСК;MSRS;42;133926;0.705;0.699;0.706;0.699;0.701;0.699;191000;;0.701;0.699;0;502140;0;
TQBR;2018-10-11;МОЭСК;MSRS;153;1895552;0.699;0.686;0.699;0.692;0.69;0.691;2748000;0.69;0.69;0.692;1895552;1895552;1895552;
TQBR;2018-10-12;МОЭСК;MSRS;165;5071522;0.691;0.685;0.701;0.69;0.695;0.69;7293000;0.695;0.695;0.69;5071522;5071522;5071522;
TQBR;2018-10-15;МОЭСК;MSRS;120;1018319;0.693;0.682;0.694;0.692;0.688;0.692;1481000;0.688;0.688;0.692;1018319;1018319;1018319;
TQBR;2018-10-16;МОЭСК;MSRS;101;4147535;0.692;0.69;0.7;0.699;0.696;0.699;5956000;0.696;0.696;0.699;4147535;4147535;4147535;
TQBR;2018-10-17;МОЭСК;MSRS;48;642415;0.696;0.696;0.702;0.698;0.698;0.698;921000;0.698;0.698;0.698;642415;642415;642415;
TQBR;2018-10-18;МОЭСК;MSRS;108;1507784;0.696;0.696;0.706;0.696;0.702;0.696;2147000;0.702;0.702;0.696;1507784;1507784;1507784;
TQBR;2018-10-19;МОЭСК;MSRS;129;938040;0.696;0.694;0.705;0.694;0.7;0.696;1340000;0.7;0.7;0.694;938040;938040;938040;
TQBR;2018-10-22;МОЭСК;MSRS;201;2604920;0.698;0.685;0.7;0.693;0.692;0.693;3767000;0.692;0.692;0.693;2604920;2604920;2604920;
TQBR;2018-10-23;МОЭСК;MSRS;68;811047;0.693;0.687;0.697;0.69;0.691;0.69;1173000;0.691;0.691;0.69;811047;811047;811047;
