history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Мечел ао;MTLR;6099;58350845.15;105.95;103.1;107.65;103.95;105.15;103.95;554980;105.15;105.15;103.95;58350845.15;58350845.15;58350845.15;
TQBR;2018-10-02;Мечел ао;MTLR;8130;101736690.65;104.5;102;107;105.25;104.95;105.25;969267;104.95;104.95;105.25;101736690.65;101736690.65;101736690.65;
TQBR;2018-10-03;Мечел ао;MTLR;7950;128121759.85;105.85;105.05;109.55;106.25;107.2;106.25;1195354;107.2;107.2;106.25;128121759.85;128121759.85;128121759.85;
TQBR;2018-10-04;Мечел ао;MTLR;5904;67551848.8;106.4;104.2;107.3;105;105.45;105;640560;105.45;105.45;105;67551848.8;67551848.8;67551848.8;
TQBR;2018-10-05;Мечел ао;MTLR;5596;61980916.85;105;103.1;105.9;105.3;104.35;105.3;594063;104.35;104.35;105.3;61980916.85;61980916.85;61980916.85;
TQBR;2018-10-08;Мечел ао;MTLR;4142;41781883.1;104.9;104.9;106.5;105.45;105.75;105.45;395103;105.75;105.75;105.45;41781883.1;41781883.1;41781883.1;
TQBR;2018-10-09;Мечел ао;MTLR;7675;81770031.85;106.5;105.2;108.55;105.45;107.15;105.45;763224;107.15;107.15;105.45;81770031.85;81770031.85;81770031.85;
TQBR;2018-10-10;Мечел ао;MTLR;5556;66109915.1;105.95;102.55;106.25;102.6;104.1;102.6;634974;104.1;104.1;102.6;66109915.1;66109915.1;66109915.1;
TQBR;2018-10-11;Мечел ао;MTLR;10060;122059611.9;100;96.05;101.8;99.1;98.85;99.1;1234944;98.85;98.85;99.1;122059611.9;122059611.9;122059611.9;
TQBR;2018-10-12;Мечел ао;MTLR;4633;44083900.85;100;100;102.85;102.2;101.65;102.2;433641;101.65;101.65;102.2;44083900.85;44083900.85;44083900.85;
TQBR;2018-10-15;Мечел ао;MTLR;8297;83648513.1;102.4;102;105.9;103.25;103.95;103.25;804720;103.95;103.95;103.25;83648513.1;83648513.1;83648513.1;
TQBR;2018-10-16;Мечел ао;MTLR;4416;31500331.2;102.85;102.85;105;103.85;104.1;103.85;302583;104.1;104.1;103.85;31500331.2;31500331.2;31500331.2;
TQBR;2018-10-17;Мечел ао;MTLR;5368;67314784.2;104.55;102.1;104.85;102.55;103;102.55;653680;103;103;102.55;67314784.2;67314784.2;67314784.2;
TQBR;2018-10-18;Мечел ао;MTLR;5409;62856744.1;102.05;99.25;103.75;100.5;100.85;100.5;623359;100.85;100.85;100.5;62856744.1;62856744.1;62856744.1;
TQBR;2018-10-19;Мечел ао;MTLR;5334;42837052.5;99.95;99.5;101.65;100;100.6;100;425909;100.6;100.6;100;42837052.5;42837052.5;42837052.5;
TQBR;2018-10-22;Мечел ао;MTLR;7514;41920897.4;99.75;97.1;101.5;97.45;99.75;97.45;420263;99.75;99.75;97.45;41920897.4;41920897.4;41920897.4;
TQBR;2018-10-23;Мечел ао;MTLR;9297;84906454.35;97.45;93.25;99.15;95.4;94.95;95.4;894270;94.95;94.95;95.4;84906454.35;84906454.35;84906454.35;
TQBR;2018-10-24;Мечел ао;MTLR;12376;102382095.6;95.55;93.7;99.3;94.2;96.3;94.2;1062928;96.3;96.3;94.2;102382095.6;102382095.6;102382095.6;
TQBR;2018-10-25;Мечел ао;MTLR;8393;65253859.05;94.2;92;94.2;92.5;92.7;92.5;703892;92.7;92.7;92.5;65253859.05;65253859.05;65253859.05;
TQBR;2018-10-26;Мечел ао;MTLR;5929;51208527.25;91.85;88.7;92.45;89.4;90.25;89.4;567564;90.25;90.25;89.4;51208527.25;51208527.25;51208527.25;
TQBR;2018-10-29;Мечел ао;MTLR;8382;67466259.25;89.05;89;93.9;92.1;92;92.1;733179;92;92;92.1;67466259.25;67466259.25;67466259.25;
TQBR;2018-10-30;Мечел ао;MTLR;3695;29261817.25;92.4;89.6;92.4;91.35;90.9;91.35;321995;90.9;90.9;91.35;29261817.25;29261817.25;29261817.25;
TQBR;2018-10-31;Мечел ао;MTLR;4394;40724342.65;91.45;90.3;92.95;92.1;91.75;92.1;443749;91.75;91.75;92.1;40724342.65;40724342.65;40724342.65;
TQBR;2018-11-01;Мечел ао;MTLR;13786;70669166.29;92.15;90.25;92.7;91.25;91.23;91.25;774639;91.23;91.23;91.25;70669166.29;70669166.29;70669166.29;
TQBR;2018-11-02;Мечел ао;MTLR;7040;34460723.39;91.35;91.01;92.88;91.15;92.02;91.15;374476;92.02;92.02;91.15;34460723.39;34460723.39;34460723.39;
TQBR;2018-11-06;Мечел ао;MTLR;7352;47113108.57;91.51;91.51;93.5;92.27;92.63;92.27;508637;92.63;92.63;92.27;47113108.57;47113108.57;47113108.57;
TQBR;2018-11-07;Мечел ао;MTLR;8697;69070423.57;92.5;91.15;92.96;91.15;91.96;91.15;751130;91.96;91.96;91.15;69070423.57;69070423.57;69070423.57;
TQBR;2018-11-08;Мечел ао;MTLR;9566;66443101.81;91.65;90.1;92.28;90.19;91.02;90.19;729955;91.02;91.02;90.19;66443101.81;66443101.81;66443101.81;
TQBR;2018-11-09;Мечел ао;MTLR;7813;37264950.67;90;89.59;91.15;89.72;90.24;89.72;412968;90.24;90.24;89.72;37264950.67;37264950.67;37264950.67;
TQBR;2018-11-12;Мечел ао;MTLR;8846;53609911.19;89.64;89.64;92.39;91.9;91.56;91.9;585543;91.56;91.56;91.9;53609911.19;53609911.19;53609911.19;
TQBR;2018-11-13;Мечел ао;MTLR;5767;38530345.87;91.4;90.6;92.9;91.2;91.52;91.2;420995;91.52;91.52;91.2;38530345.87;38530345.87;38530345.87;
