,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,МТС-ао,MTSS,4718,328924778.0,272.75,271.25,275.7,274.7,274.2,274.7,1199710,274.15,274.15,274.7,328924778.0,328924778.0,328924778.0,
1,TQBR,2018-10-02,МТС-ао,MTSS,5765,421333219.0,275.0,272.35,275.5,272.55,274.2,272.55,1537590,274.0,274.0,272.55,421333219.0,421333219.0,421333219.0,
2,TQBR,2018-10-03,МТС-ао,MTSS,9507,823173833.0,273.95,273.15,279.5,276.3,277.2,276.3,2969500,277.2,277.2,276.3,823173833.0,823173833.0,823173833.0,
3,TQBR,2018-10-04,МТС-ао,MTSS,8215,639113075.5,276.95,274.45,278.45,276.5,276.0,276.5,2315750,276.0,276.0,276.5,639113075.5,639113075.5,639113075.5,
4,TQBR,2018-10-05,МТС-ао,MTSS,5946,552347787.0,276.0,272.5,277.2,275.1,275.0,275.1,2008500,275.0,275.0,275.1,552347787.0,552347787.0,552347787.0,
5,TQBR,2018-10-08,МТС-ао,MTSS,5168,342110843.5,274.15,269.85,274.8,269.9,272.55,269.9,1255130,272.55,272.55,269.9,342110843.5,342110843.5,342110843.5,
6,TQBR,2018-10-09,МТС-ао,MTSS,6543,492363023.0,270.45,264.0,271.6,264.0,266.6,264.0,1847730,266.45,266.45,264.0,492363023.0,492363023.0,492363023.0,
7,TQBR,2018-10-10,МТС-ао,MTSS,5347,359083219.0,264.0,261.5,265.55,263.5,263.2,263.5,1364340,263.2,263.2,263.5,359083219.0,359083219.0,359083219.0,
8,TQBR,2018-10-11,МТС-ао,MTSS,8184,535541168.0,261.0,259.0,264.35,262.4,261.6,262.4,2047290,261.6,261.6,262.4,535541168.0,535541168.0,535541168.0,
9,TQBR,2018-10-12,МТС-ао,MTSS,4947,334405804.5,262.9,261.8,267.0,266.5,264.35,266.5,1264990,264.35,264.35,266.5,334405804.5,334405804.5,334405804.5,
10,TQBR,2018-10-15,МТС-ао,MTSS,5310,356459148.0,266.0,263.15,270.5,269.65,266.95,269.65,1335330,266.95,266.95,269.65,356459148.0,356459148.0,356459148.0,
11,TQBR,2018-10-16,МТС-ао,MTSS,6438,438479607.5,270.65,265.55,274.0,272.4,270.0,272.4,1624000,270.0,270.0,272.4,438479607.5,438479607.5,438479607.5,
12,TQBR,2018-10-17,МТС-ао,MTSS,3782,239397366.0,272.5,270.25,273.8,271.05,272.0,271.05,880190,272.0,272.0,271.05,239397366.0,239397366.0,239397366.0,
13,TQBR,2018-10-18,МТС-ао,MTSS,5405,339165954.5,271.0,267.25,274.4,269.0,271.05,269.0,1251220,271.05,271.05,269.0,339165954.5,339165954.5,339165954.5,
14,TQBR,2018-10-19,МТС-ао,MTSS,6821,345373724.0,268.8,268.45,273.55,270.4,271.15,270.4,1273810,271.15,271.15,270.4,345373724.0,345373724.0,345373724.0,
15,TQBR,2018-10-22,МТС-ао,MTSS,4488,273844840.0,270.5,263.0,272.1,264.6,267.75,264.6,1022690,267.75,267.75,264.6,273844840.0,273844840.0,273844840.0,
16,TQBR,2018-10-23,МТС-ао,MTSS,7520,407876124.5,263.85,258.55,264.55,262.2,261.2,262.2,1561680,261.2,261.2,262.2,407876124.5,407876124.5,407876124.5,
17,TQBR,2018-10-24,МТС-ао,MTSS,5471,312183206.5,262.75,262.0,267.4,262.15,264.7,262.15,1179390,264.7,264.7,262.15,312183206.5,312183206.5,312183206.5,
18,TQBR,2018-10-25,МТС-ао,MTSS,6455,415204022.0,262.05,257.55,262.95,261.5,259.9,261.5,1598220,259.8,259.8,261.5,415204022.0,415204022.0,415204022.0,
19,TQBR,2018-10-26,МТС-ао,MTSS,3659,256289378.0,258.5,255.1,260.15,258.3,258.15,258.3,992790,258.15,258.15,258.3,256289378.0,256289378.0,256289378.0,
20,TQBR,2018-10-29,МТС-ао,MTSS,3868,193127832.0,257.5,255.55,259.55,258.9,258.2,258.9,747960,258.2,258.2,258.9,193127832.0,193127832.0,193127832.0,
21,TQBR,2018-10-30,МТС-ао,MTSS,3861,201477931.0,258.8,255.55,258.95,257.0,256.85,257.0,784450,256.85,256.85,257.0,201477931.0,201477931.0,201477931.0,
22,TQBR,2018-10-31,МТС-ао,MTSS,5362,305706270.5,257.7,256.5,260.45,257.6,258.4,257.6,1183170,258.4,258.4,257.6,305706270.5,305706270.5,305706270.5,
23,TQBR,2018-11-01,МТС-ао,MTSS,10681,600762827.5,257.0,253.45,258.45,258.25,256.1,258.25,2345790,256.1,256.1,258.25,600762827.5,600762827.5,600762827.5,
24,TQBR,2018-11-02,МТС-ао,MTSS,8061,554705865.0,258.45,257.7,265.25,262.2,261.75,262.2,2118410,261.85,261.85,262.2,554705865.0,554705865.0,554705865.0,
25,TQBR,2018-11-06,МТС-ао,MTSS,7202,641139859.5,265.05,263.65,267.5,264.0,265.4,264.0,2415940,265.4,265.4,264.0,641139859.5,641139859.5,641139859.5,
