history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;НКХП ао;NKHP;25;88665;202;200.5;203;201.5;201.5;201.5;440;;202;201.5;0;748950;0;
TQBR;2018-10-02;НКХП ао;NKHP;13;138995;201.5;201;201.5;201.5;201.5;201.5;690;;202;201.5;0;887945;0;
TQBR;2018-10-03;НКХП ао;NKHP;33;393490;201.5;201;202.5;202.5;202;202.5;1950;;201.5;202.5;0;500285;0;
TQBR;2018-10-04;НКХП ао;NKHP;105;1280455;203;202;207.5;202;204;202;6270;204;204;202;1280455;1280455;1280455;
TQBR;2018-10-05;НКХП ао;NKHP;72;1819415;202;202;204;203;202.5;203;8980;202.5;202.5;203;1819415;1819415;1819415;
TQBR;2018-10-08;НКХП ао;NKHP;83;1377720;204.5;201;205;202;202.5;203;6800;202.5;202.5;202;1377720;1377720;1377720;
TQBR;2018-10-09;НКХП ао;NKHP;65;1221325;203.5;203.5;204;204;204;204;5990;204;204;204;1221325;1221325;1221325;
TQBR;2018-10-10;НКХП ао;NKHP;50;416920;203.5;202.5;204;203;203.5;203;2050;;203.5;203;0;500555;0;
TQBR;2018-10-11;НКХП ао;NKHP;79;1669625;202;198.5;203;200.5;199.5;200.5;8370;199.5;199.5;200.5;1669625;1669625;1669625;
TQBR;2018-10-12;НКХП ао;NKHP;43;860835;201;200;202;201;201;200;4280;201;201;201;860835;860835;860835;
TQBR;2018-10-15;НКХП ао;NKHP;47;489765;201;199.5;204.5;203.5;201.5;203.5;2430;;201.5;203.5;0;551915;0;
TQBR;2018-10-16;НКХП ао;NKHP;32;413660;203.5;202;203.5;203.5;203;203.5;2040;;203;203.5;0;503360;0;
TQBR;2018-10-17;НКХП ао;NKHP;79;1259880;202.5;202;204;202.5;203;203;6200;203;203;202.5;1259880;1259880;1259880;
TQBR;2018-10-18;НКХП ао;NKHP;51;386345;203;202.5;204;203;203.5;202.5;1900;;203;203;0;503925;0;
TQBR;2018-10-19;НКХП ао;NKHP;28;481250;203;202.5;204;204;203;204;2370;;203;204;0;503525;0;
TQBR;2018-10-22;НКХП ао;NKHP;78;986240;204;200;204;203;202.5;203.5;4870;202.5;202.5;203;986240;986240;986240;
TQBR;2018-10-23;НКХП ао;NKHP;101;1660935;200.5;198;203.5;202.5;199.5;202.5;8330;199.5;199.5;202.5;1660935;1660935;1660935;
TQBR;2018-10-24;НКХП ао;NKHP;533;14617630;203.5;202;219;217.5;214.5;217.5;68080;214.5;214.5;217.5;14617630;14617630;14617630;
TQBR;2018-10-25;НКХП ао;NKHP;120;2595190;213.5;213.5;219;215;216.5;215;12000;216.5;216.5;215;2595190;2595190;2595190;
TQBR;2018-10-26;НКХП ао;NKHP;241;6180430;218;214;225;220.5;220.5;220.5;28040;220.5;220.5;220.5;6180430;6180430;6180430;
TQBR;2018-10-29;НКХП ао;NKHP;137;2077725;223;218;225;225;223;225;9320;223;223;225;2077725;2077725;2077725;
TQBR;2018-10-30;НКХП ао;NKHP;107;1463935;222;222;227.5;224;224;224;6530;224;224;224;1463935;1463935;1463935;
TQBR;2018-10-31;НКХП ао;NKHP;40;953520;226;221.5;227;222.5;224;222.5;4260;224;224;222.5;953520;953520;953520;
TQBR;2018-11-01;НКХП ао;NKHP;375;10786285;233;229;233.5;231;231.5;231;46610;231.5;231.5;231;10786285;10786285;10786285;
TQBR;2018-11-02;НКХП ао;NKHP;159;3677885;231.5;227.5;234;232;231.5;232;15900;231.5;231.5;232;3677885;3677885;3677885;
TQBR;2018-11-06;НКХП ао;NKHP;249;8558035;233;229;235;230;231;230;37010;231;231;230;8558035;8558035;8558035;
TQBR;2018-11-07;НКХП ао;NKHP;167;2301275;228;226.5;229.5;229;229;229;10060;229;229;229;2301275;2301275;2301275;
TQBR;2018-11-08;НКХП ао;NKHP;79;1340985;229.5;229;234;233.5;231.5;234;5790;231.5;231.5;233.5;1340985;1340985;1340985;
TQBR;2018-11-09;НКХП ао;NKHP;126;2570605;232.5;230;234;233.5;232;234;11070;232;232;233.5;2570605;2570605;2570605;
TQBR;2018-11-12;НКХП ао;NKHP;165;4017035;232.5;232;237.5;235;235.5;235;17060;235.5;235.5;235;4017035;4017035;4017035;
TQBR;2018-11-13;НКХП ао;NKHP;100;1483650;236.5;234.5;238;237;236.5;237;6270;236.5;236.5;237;1483650;1483650;1483650;
TQBR;2018-11-14;НКХП ао;NKHP;93;1028050;237;234.5;237;235.5;236;235.5;4360;236;236;235.5;1028050;1028050;1028050;
TQBR;2018-11-15;НКХП ао;NKHP;127;1556480;235.5;231.5;237;235;234;235;6650;234;234;235;1556480;1556480;1556480;
TQBR;2018-11-16;НКХП ао;NKHP;99;969055;235.5;232;236;235;234;235;4140;234;234;235;969055;969055;969055;
TQBR;2018-11-19;НКХП ао;NKHP;76;1082655;237;234;237.5;235;236;235;4590;236;236;235;1082655;1082655;1082655;
TQBR;2018-11-20;НКХП ао;NKHP;113;1295455;234.5;232.5;237;234;235;234;5510;235;235;234;1295455;1295455;1295455;
TQBR;2018-11-21;НКХП ао;NKHP;54;829600;234;233.5;236.5;235;235;235;3530;235;235;235;829600;829600;829600;
TQBR;2018-11-22;НКХП ао;NKHP;82;1416160;235;232.5;236.5;235;234.5;235;6040;234.5;234.5;235;1416160;1416160;1416160;
TQBR;2018-11-23;НКХП ао;NKHP;46;501810;235.5;234;236.5;236;235.5;236;2130;235.5;235.5;236;501810;501810;501810;
TQBR;2018-11-26;НКХП ао;NKHP;91;1177785;236;234;237;235.5;236;235.5;4990;236;236;235.5;1177785;1177785;1177785;
TQBR;2018-11-27;НКХП ао;NKHP;173;9490990;236;234;242.5;241.5;239.5;241.5;39660;239.5;239.5;241.5;9490990;9490990;9490990;
TQBR;2018-11-28;НКХП ао;NKHP;289;14686410;242;241.5;244;243.5;243;243.5;60450;243;243;243.5;14686410;14686410;14686410;
TQBR;2018-11-29;НКХП ао;NKHP;135;9697065;244;242.5;244;243;243;243;39870;243;243;243;9697065;9697065;9697065;
TQBR;2018-11-30;НКХП ао;NKHP;111;5013135;243;242.5;243;243;243;243;20650;243;243;243;5013135;5013135;5013135;
TQBR;2018-12-03;НКХП ао;NKHP;224;7538085;243.5;243;244;243.5;243.5;243.5;30950;243.5;243.5;243.5;7538085;7538085;7538085;
TQBR;2018-12-04;НКХП ао;NKHP;171;15587290;244;243;244.5;243.5;244;244;63920;244;244;243.5;15587290;15587290;15587290;
TQBR;2018-12-05;НКХП ао;NKHP;251;7491545;244;244;247;245;246;245;30480;246;246;245;7491545;7491545;7491545;
TQBR;2018-12-06;НКХП ао;NKHP;175;6067620;245;244;246;245.5;245;245.5;24790;245;245;245.5;6067620;6067620;6067620;
TQBR;2018-12-07;НКХП ао;NKHP;155;3266560;246;245;246.5;245.5;246;245.5;13290;246;246;245.5;3266560;3266560;3266560;
TQBR;2018-12-10;НКХП ао;NKHP;266;9872630;246.5;244.5;247.5;247.5;247;247.5;40000;247;247;247.5;9872630;9872630;9872630;
TQBR;2018-12-11;НКХП ао;NKHP;194;4231835;246.5;246;248;247.5;247.5;247.5;17100;247.5;247.5;247.5;4231835;4231835;4231835;
TQBR;2018-12-12;НКХП ао;NKHP;234;6901925;248;246;248;247;247.5;247;27910;247.5;247.5;247;6901925;6901925;6901925;
TQBR;2018-12-13;НКХП ао;NKHP;534;17533340;247.5;247;250;247;248;247;70660;248;248;247;17533340;17533340;17533340;
TQBR;2018-12-14;НКХП ао;NKHP;428;19813910;231;228.5;232;229;229;229;86440;229;229;229;19813910;19813910;19813910;
TQBR;2018-12-17;НКХП ао;NKHP;80;3026550;229;228.5;230;229;229;229;13220;229;229;229;3026550;3026550;3026550;
TQBR;2018-12-18;НКХП ао;NKHP;104;8284300;229;229;229.5;229;229;229;36170;229;229;229;8284300;8284300;8284300;
TQBR;2018-12-19;НКХП ао;NKHP;73;6092065;229;229;229.5;229;229;229;26600;229;229;229;6092065;6092065;6092065;
TQBR;2018-12-20;НКХП ао;NKHP;58;3214660;228.5;228.5;229.5;229;229;229;14040;229;229;229;3214660;3214660;3214660;
TQBR;2018-12-21;НКХП ао;NKHP;67;2615960;229;229;230;230;229;230;11420;229;229;230;2615960;2615960;2615960;


