history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ИНГРАД ао;OPIN;4;264000;880;880;880;880;880;880;300;880;880;880;881130;572880;881130;
TQBR;2018-10-02;ИНГРАД ао;OPIN;8;275880;890;875;890;875;880;875;313;880;880;875;539880;539880;539880;
TQBR;2018-10-03;ИНГРАД ао;OPIN;26;1372840;890;850;890;880;880;880;1560;880;880;880;1372840;1372840;1372840;
TQBR;2018-10-04;ИНГРАД ао;OPIN;9;266010;885;880;885;880;880;880;302;880;885;880;1638850;708755;1638850;
TQBR;2018-10-05;ИНГРАД ао;OPIN;6;440870;880;870;880;880;880;880;501;880;880;880;706880;662630;706880;
TQBR;2018-10-08;ИНГРАД ао;OPIN;9;442880;885;870;885;880;880;880;503;880;880;880;883750;662880;883750;
TQBR;2018-10-09;ИНГРАД ао;OPIN;5;264000;880;880;880;880;880;880;300;880;880;880;706880;662630;706880;
TQBR;2018-10-10;ИНГРАД ао;OPIN;7;448950;885;870;885;880;880;880;510;880;880;880;712950;668950;712950;
TQBR;2018-10-11;ИНГРАД ао;OPIN;9;277205;880;875;885;875;880;875;315;880;880;875;726155;505905;726155;
TQBR;2018-10-12;ИНГРАД ао;OPIN;16;325220;890;880;890;880;880;880;369;;880;880;0;528505;0;
TQBR;2018-10-15;ИНГРАД ао;OPIN;8;346970;885;880;885;880;880;880;394;880;880;880;672190;627690;672190;
TQBR;2018-10-16;ИНГРАД ао;OPIN;16;817460;885;870;885;875;875;875;935;875;875;875;817460;817460;817460;
TQBR;2018-10-17;ИНГРАД ао;OPIN;6;272750;880;875;880;875;880;875;310;875;875;875;1090210;622495;1090210;
TQBR;2018-10-18;ИНГРАД ао;OPIN;6;264000;880;880;880;880;880;880;300;880;880;880;536750;536750;536750;
TQBR;2018-10-19;ИНГРАД ао;OPIN;6;273250;890;875;890;875;880;875;310;880;880;875;537250;536370;537250;
TQBR;2018-10-22;ИНГРАД ао;OPIN;15;723125;890;870;890;875;875;875;827;875;875;875;723125;723125;723125;
TQBR;2018-10-23;ИНГРАД ао;OPIN;16;670830;880;870;885;875;875;875;767;875;875;875;670830;670830;670830;
TQBR;2018-10-24;ИНГРАД ао;OPIN;10;284125;880;875;880;875;880;875;323;;875;875;0;633210;0;
TQBR;2018-10-25;ИНГРАД ао;OPIN;11;275060;890;880;890;880;880;880;312;;880;880;0;501105;0;
TQBR;2018-10-26;ИНГРАД ао;OPIN;11;322200;890;880;890;880;885;880;365;;880;880;0;552760;0;
TQBR;2018-10-29;ИНГРАД ао;OPIN;12;371465;890;875;890;880;880;880;421;;880;880;0;649165;0;
TQBR;2018-10-30;ИНГРАД ао;OPIN;12;318810;890;875;890;880;880;880;362;;880;880;0;644015;0;
TQBR;2018-10-31;ИНГРАД ао;OPIN;11;298705;890;875;890;880;880;880;339;;880;880;0;573015;0;
TQBR;2018-11-01;ИНГРАД ао;OPIN;11;272876;882;876;882;880;880;880;310;;880;880;0;527081;0;
TQBR;2018-11-02;ИНГРАД ао;OPIN;9;308494;890;878;890;880;882;880;350;880;880;880;581370;537270;581370;
TQBR;2018-11-06;ИНГРАД ао;OPIN;4;237480;880;874;880;874;880;874;270;880;880;874;545974;501474;545974;
TQBR;2018-11-07;ИНГРАД ао;OPIN;45;1274800;888;850;890;880;880;880;1450;880;880;880;1274800;1274800;1274800;
TQBR;2018-11-08;ИНГРАД ао;OPIN;2;175988;878;878;880;880;880;880;200;880;884;880;1450788;658970;1450788;
TQBR;2018-11-09;ИНГРАД ао;OPIN;14;321700;890;880;890;880;882;880;365;;880;880;0;510008;0;
TQBR;2018-11-12;ИНГРАД ао;OPIN;47;3216780;886;880;890;880;882;880;3649;882;882;880;3216780;3216780;3216780;
TQBR;2018-11-13;ИНГРАД ао;OPIN;29;3152920;894;870;894;880;882;880;3580;880;880;880;3152920;3152920;3152920;
TQBR;2018-11-14;ИНГРАД ао;OPIN;7;50130;880;870;880;878;880;878;57;880;876;878;3203050;998450;3203050;
TQBR;2018-11-15;ИНГРАД ао;OPIN;0;0;;;;878;;;0;880;876;878;3203050;998450;3203050;
TQBR;2018-11-16;ИНГРАД ао;OPIN;6;30682;872;870;880;880;878;878;35;;876;880;0;1029132;0;
TQBR;2018-11-19;ИНГРАД ао;OPIN;3;26400;880;880;880;880;880;880;30;880;876;880;3260132;1055532;3260132;
TQBR;2018-11-20;ИНГРАД ао;OPIN;6;41260;880;870;880;870;878;870;47;;876;870;0;1096792;0;
TQBR;2018-11-21;ИНГРАД ао;OPIN;6;32506;880;856;880;860;880;860;37;;876;860;0;1129298;0;
TQBR;2018-11-22;ИНГРАД ао;OPIN;6;35198;878;878;880;880;880;880;40;;876;880;0;1164496;0;
TQBR;2018-11-23;ИНГРАД ао;OPIN;1;880;880;880;880;880;880;880;1;;876;880;0;1165376;0;
TQBR;2018-11-26;ИНГРАД ао;OPIN;4;15660;870;870;870;870;870;870;18;;876;870;0;1181036;0;
TQBR;2018-11-27;ИНГРАД ао;OPIN;6;74324;876;850;876;874;874;874;85;;876;874;0;1255360;0;
TQBR;2018-11-28;ИНГРАД ао;OPIN;1;18832;856;856;856;856;856;856;22;;876;856;0;1274192;0;
TQBR;2018-11-29;ИНГРАД ао;OPIN;13;31264;856;750;856;854;846;854;37;;874;854;0;1305456;0;
TQBR;2018-11-30;ИНГРАД ао;OPIN;9;15044;772;770;852;852;836;852;18;;874;852;0;1320500;0;
