history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Плазмек;PLSM;59;32904;0.128;0.12;0.128;0.12;0.122;0.12;269000;;0.124;0.12;0;501542;0;
TQBR;2018-10-02;Плазмек;PLSM;272;456245;0.124;0.12;0.136;0.124;0.126;0.124;3626000;;0.126;0.124;0;500357;0;
TQBR;2018-10-03;Плазмек;PLSM;45;53723;0.121;0.121;0.128;0.125;0.125;0.125;430000;;0.126;0.125;0;500717;0;
TQBR;2018-10-04;Плазмек;PLSM;128;325742;0.122;0.116;0.124;0.116;0.12;0.116;2713000;;0.121;0.116;0;505232;0;
TQBR;2018-10-05;Плазмек;PLSM;44;78719;0.118;0.116;0.119;0.118;0.118;0.118;669000;;0.12;0.118;0;503000;0;
TQBR;2018-10-08;Плазмек;PLSM;68;106913;0.118;0.115;0.12;0.118;0.117;0.118;915000;;0.119;0.118;0;511374;0;
TQBR;2018-10-09;Плазмек;PLSM;90;240821;0.115;0.109;0.119;0.113;0.113;0.115;2137000;;0.115;0.113;0;505112;0;
TQBR;2018-10-10;Плазмек;PLSM;66;92531;0.114;0.114;0.124;0.117;0.118;0.117;787000;;0.115;0.117;0;500653;0;
TQBR;2018-10-11;Плазмек;PLSM;95;167267;0.116;0.11;0.12;0.115;0.115;0.115;1451000;;0.114;0.115;0;500153;0;
TQBR;2018-10-12;Плазмек;PLSM;25;37465;0.114;0.113;0.117;0.115;0.114;0.116;328000;;0.114;0.115;0;503720;0;
TQBR;2018-10-15;Плазмек;PLSM;35;89354;0.116;0.112;0.117;0.114;0.114;0.114;787000;;0.115;0.114;0;502546;0;
TQBR;2018-10-16;Плазмек;PLSM;41;58703;0.115;0.112;0.115;0.114;0.113;0.114;520000;;0.115;0.114;0;504977;0;
TQBR;2018-10-17;Плазмек;PLSM;136;324471;0.114;0.112;0.129;0.117;0.118;0.117;2754000;;0.116;0.117;0;502011;0;
TQBR;2018-10-18;Плазмек;PLSM;7;12429;0.116;0.116;0.119;0.119;0.117;0.119;106000;;0.116;0.119;0;500697;0;
TQBR;2018-10-19;Плазмек;PLSM;17;14545;0.119;0.117;0.121;0.119;0.119;0.119;122000;;0.116;0.119;0;500418;0;
TQBR;2018-10-22;Плазмек;PLSM;16;22364;0.119;0.115;0.119;0.116;0.116;0.116;193000;;0.116;0.116;0;500098;0;
TQBR;2018-10-23;Плазмек;PLSM;27;52377;0.114;0.111;0.115;0.111;0.113;0.113;465000;;0.116;0.111;0;508399;0;
TQBR;2018-10-24;Плазмек;PLSM;43;122533;0.112;0.112;0.117;0.113;0.114;0.113;1076000;;0.117;0.113;0;506363;0;
TQBR;2018-10-25;Плазмек;PLSM;51;85614;0.112;0.112;0.115;0.115;0.114;0.115;751000;;0.116;0.115;0;500755;0;
TQBR;2018-10-26;Плазмек;PLSM;32;62569;0.114;0.111;0.116;0.114;0.114;0.114;549000;;0.115;0.114;0;509073;0;
TQBR;2018-10-29;Плазмек;PLSM;45;79101;0.115;0.112;0.119;0.113;0.115;0.113;688000;;0.115;0.113;0;526385;0;
TQBR;2018-10-30;Плазмек;PLSM;45;62303;0.114;0.111;0.119;0.116;0.115;0.116;543000;;0.114;0.116;0;501406;0;
TQBR;2018-10-31;Плазмек;PLSM;23;10748;0.118;0.114;0.118;0.114;0.116;0.114;93000;;0.114;0.114;0;502188;0;
TQBR;2018-11-01;Плазмек;PLSM;30;14499.6;0.115;0.1132;0.1296;0.1168;0.117;0.1168;124000;;0.1142;0.1168;0;500210.6;0;
TQBR;2018-11-02;Плазмек;PLSM;18;6501.8;0.1246;0.114;0.1246;0.1146;0.1162;0.114;56000;;0.1142;0.1146;0;502457.4;0;
TQBR;2018-11-06;Плазмек;PLSM;20;11930;0.115;0.1116;0.115;0.1146;0.1136;0.1146;105000;;0.1142;0.1146;0;500880.4;0;
TQBR;2018-11-07;Плазмек;PLSM;19;27958;0.1116;0.111;0.1142;0.1134;0.1124;0.1134;249000;;0.1142;0.1134;0;510261.4;0;
TQBR;2018-11-08;Плазмек;PLSM;16;23958.4;0.113;0.111;0.1168;0.113;0.1114;0.113;215000;;0.1142;0.113;0;503123.8;0;
