history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ПермьЭнС-п;PMSBP;3;3004;74.5;74.5;75.3;75.3;75.1;75.3;40;;75;75.3;0;504515;0;
TQBR;2018-10-02;ПермьЭнС-п;PMSBP;6;20918;74.6;74.5;75;74.9;74.7;74.9;280;;75;74.9;0;502244;0;
TQBR;2018-10-03;ПермьЭнС-п;PMSBP;46;276267;75;74.6;76;75.1;75.5;75.7;3660;;75.2;75.1;0;512212;0;
TQBR;2018-10-04;ПермьЭнС-п;PMSBP;20;108034;75.6;74.3;75.9;74.7;75;75.8;1440;;75.2;74.7;0;502482;0;
TQBR;2018-10-05;ПермьЭнС-п;PMSBP;39;231147;75;74.2;75.5;75.2;74.6;75.2;3100;;75;75.2;0;502552;0;
TQBR;2018-10-08;ПермьЭнС-п;PMSBP;13;136339;74.6;74.6;75.5;75;75.3;75;1810;;74.9;75;0;506277;0;
TQBR;2018-10-09;ПермьЭнС-п;PMSBP;6;14957;74.9;74.6;75.5;74.7;74.8;75.5;200;;74.9;74.7;0;506234;0;
TQBR;2018-10-10;ПермьЭнС-п;PMSBP;33;148056;74.7;74.4;75.5;74.5;74.8;75.2;1980;;74.8;74.5;0;505099;0;
TQBR;2018-10-11;ПермьЭнС-п;PMSBP;13;30484;74.2;74.2;74.7;74.3;74.4;74.6;410;;74.8;74.3;0;535583;0;
TQBR;2018-10-12;ПермьЭнС-п;PMSBP;11;31390;75.3;74.5;75.9;74.5;74.7;74.5;420;;74.8;74.5;0;566973;0;
TQBR;2018-10-15;ПермьЭнС-п;PMSBP;17;34399;75.5;74.3;75.5;74.9;74.8;74.9;460;;74.8;74.9;0;601372;0;
TQBR;2018-10-16;ПермьЭнС-п;PMSBP;15;38332;75.2;74.6;75.2;75;75.2;75;510;;74.9;75;0;502571;0;
TQBR;2018-10-17;ПермьЭнС-п;PMSBP;23;103892;74.5;74.5;75;75;74.7;75;1390;;74.9;75;0;514538;0;
TQBR;2018-10-18;ПермьЭнС-п;PMSBP;12;38888;75.1;74.6;75.2;74.7;74.8;74.7;520;;74.9;74.7;0;553426;0;
TQBR;2018-10-19;ПермьЭнС-п;PMSBP;15;119629;75.2;74.5;75.4;74.5;74.8;74.5;1600;;74.8;74.5;0;500228;0;
TQBR;2018-10-22;ПермьЭнС-п;PMSBP;17;141005;74.6;74.5;75.1;74.6;74.6;74.6;1890;;74.7;74.6;0;500733;0;
TQBR;2018-10-23;ПермьЭнС-п;PMSBP;17;59384;74.6;74;75;74.4;74.2;74.4;800;;74.7;74.4;0;500378;0;
TQBR;2018-10-24;ПермьЭнС-п;PMSBP;6;18601;74.4;74.3;74.5;74.5;74.4;74.5;250;;74.7;74.5;0;500190;0;
TQBR;2018-10-25;ПермьЭнС-п;PMSBP;8;48603;74.7;74.1;74.8;74.2;74.8;74.2;650;;74.7;74.2;0;504672;0;
TQBR;2018-10-26;ПермьЭнС-п;PMSBP;26;143532;73.8;73.8;75;74;74.4;74;1930;;74.5;74;0;508972;0;
TQBR;2018-10-29;ПермьЭнС-п;PMSBP;23;67316;74.7;73.7;74.8;74;74;74;910;;74.4;74;0;538041;0;
TQBR;2018-10-30;ПермьЭнС-п;PMSBP;78;302763;74.1;72.4;74.6;74.3;73.3;74.3;4130;;73.7;74.3;0;500172;0;
TQBR;2018-10-31;ПермьЭнС-п;PMSBP;15;70836;74.3;74.3;74.8;74.8;74.6;74.8;950;;73.7;74.8;0;505295;0;
TQBR;2018-11-01;ПермьЭнС-п;PMSBP;49;173690;74.3;72.4;74.6;73.7;73.3;73.7;2370;;73.4;73.7;0;500848;0;
TQBR;2018-11-02;ПермьЭнС-п;PMSBP;41;79610;73.9;73.1;74.3;73.4;73.7;73.4;1080;;73.5;73.4;0;505892;0;
TQBR;2018-11-06;ПермьЭнС-п;PMSBP;30;60969;72.8;72.8;73.9;73.4;73.5;73.4;830;;73.6;73.4;0;503541;0;
TQBR;2018-11-07;ПермьЭнС-п;PMSBP;42;134130;72.8;72.8;74.1;74.1;73.7;74.1;1820;;73.6;74.1;0;507325;0;
TQBR;2018-11-08;ПермьЭнС-п;PMSBP;27;307392;74;74;75;75;74.6;75;4120;;74.2;75;0;500296;0;
TQBR;2018-11-09;ПермьЭнС-п;PMSBP;14;72725;75;74.6;75.1;75;75;75.1;970;;74.5;75;0;504048;0;
TQBR;2018-11-12;ПермьЭнС-п;PMSBP;19;49220;75.2;74;75.3;74.5;74.6;74;660;;74.6;74.5;0;500302;0;
TQBR;2018-11-13;ПермьЭнС-п;PMSBP;141;835754;73.5;72.3;73.7;72.3;72.7;72.3;11490;72.7;72.7;72.3;835754;835754;835754;
TQBR;2018-11-14;ПермьЭнС-п;PMSBP;33;318141;72.4;72.4;73.9;73.4;73.3;73.5;4340;;73;73.4;0;512147;0;
TQBR;2018-11-15;ПермьЭнС-п;PMSBP;11;15426;73.6;73.1;73.6;73.5;73.5;73.5;210;;73;73.5;0;502801;0;
TQBR;2018-11-16;ПермьЭнС-п;PMSBP;24;132852;73.3;72.8;73.3;73.3;73;73.3;1820;;73.1;73.3;0;514137;0;
TQBR;2018-11-19;ПермьЭнС-п;PMSBP;15;47112;73.2;73.1;74.5;73.3;73.6;73.3;640;;73.3;73.3;0;507734;0;
TQBR;2018-11-20;ПермьЭнС-п;PMSBP;11;33033;73.6;73.3;73.6;73.6;73.4;73.6;450;;73.3;73.6;0;503056;0;
TQBR;2018-11-21;ПермьЭнС-п;PMSBP;18;76751;73;73;73.5;73.3;73.1;73.3;1050;;73.3;73.3;0;513377;0;
TQBR;2018-11-22;ПермьЭнС-п;PMSBP;6;5844;73.2;73;73.2;73.1;73.1;73.1;80;;73.3;73.1;0;503786;0;
TQBR;2018-11-23;ПермьЭнС-п;PMSBP;15;37857;73.1;72.4;73.1;72.7;72.8;72.7;520;;73.3;72.7;0;541643;0;
TQBR;2018-11-26;ПермьЭнС-п;PMSBP;70;522180;72.5;71.5;73.1;71.8;72.1;71.8;7240;72.1;72.1;71.8;522180;522180;522180;
TQBR;2018-11-27;ПермьЭнС-п;PMSBP;30;364559;72.4;71.6;72.5;71.8;71.8;72.5;5080;;71.8;71.8;0;503220;0;
TQBR;2018-11-28;ПермьЭнС-п;PMSBP;5;9412;72.4;72.4;72.4;72.4;72.4;72.4;130;;71.8;72.4;0;500336;0;
TQBR;2018-11-29;ПермьЭнС-п;PMSBP;39;472701;71.6;71.5;73.3;73.2;72.1;73.3;6560;;72.1;73.2;0;503794;0;
TQBR;2018-11-30;ПермьЭнС-п;PMSBP;9;29768;72.2;72.2;73;72.9;72.6;72.9;410;72.1;72.1;72.9;502469;502469;502469;
TQBR;2018-12-03;ПермьЭнС-п;PMSBP;19;252094;72.8;72.2;72.8;72.6;72.2;72.6;3490;;72.2;72.6;0;632278;0;
TQBR;2018-12-04;ПермьЭнС-п;PMSBP;69;830729;72.8;72.7;75.5;75;74.2;75;11200;74.2;74.2;75;830729;830729;830729;
TQBR;2018-12-05;ПермьЭнС-п;PMSBP;8;56481;74.3;74.3;74.4;74.4;74.3;74.4;760;74.2;74.9;74.4;887210;501230;887210;
TQBR;2018-12-06;ПермьЭнС-п;PMSBP;21;80128;74.2;73.1;74.3;73.8;73.5;73.7;1090;;74.8;73.8;0;509166;0;
TQBR;2018-12-07;ПермьЭнС-п;PMSBP;8;10360;73.9;73.9;74.3;74.1;74;74.3;140;;74.8;74.1;0;519526;0;
TQBR;2018-12-10;ПермьЭнС-п;PMSBP;25;84308;74.5;74.1;74.8;74.4;74.6;74.4;1130;;74.7;74.4;0;546161;0;
TQBR;2018-12-11;ПермьЭнС-п;PMSBP;4;4486;74.8;74.7;74.8;74.7;74.8;74.7;60;;74.7;74.7;0;550647;0;
TQBR;2018-12-12;ПермьЭнС-п;PMSBP;17;17011;73.5;73.5;74.8;74;74;74.8;230;;74.7;74;0;567658;0;
TQBR;2018-12-13;ПермьЭнС-п;PMSBP;26;80705;73.9;73.8;74.5;74.3;74;74.3;1090;;74.6;74.3;0;573363;0;
TQBR;2018-12-14;ПермьЭнС-п;PMSBP;23;87605;73.9;73.4;74.3;73.4;73.6;73.4;1190;;74.2;73.4;0;504034;0;
TQBR;2018-12-17;ПермьЭнС-п;PMSBP;10;21276;73.3;73.2;73.9;73.3;73.4;73.3;290;;74.2;73.3;0;525310;0;
TQBR;2018-12-18;ПермьЭнС-п;PMSBP;26;128551;73.5;72.3;73.5;73.3;73;73.3;1760;;73.7;73.3;0;505544;0;
TQBR;2018-12-19;ПермьЭнС-п;PMSBP;40;130194;72.6;72.4;73.5;72.5;72.7;73;1790;;73.4;72.5;0;506352;0;
TQBR;2018-12-20;ПермьЭнС-п;PMSBP;28;98263;72.9;72;72.9;72.7;72.3;72.7;1360;;73;72.7;0;500633;0;
TQBR;2018-12-21;ПермьЭнС-п;PMSBP;29;89121;73.3;72;73.3;72.8;72.5;72.8;1230;;72.7;72.8;0;504105;0;


