,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ЧЗПСН ао,PRFN,818,7246630,1.74,1.65,1.83,1.7,1.72,1.7,4215000,1.72,1.72,1.7,7246630,7246630,7246630,
1,TQBR,2018-10-02,ЧЗПСН ао,PRFN,422,4328870,1.74,1.67,1.8,1.72,1.73,1.73,2506000,1.73,1.73,1.72,4328870,4328870,4328870,
2,TQBR,2018-10-03,ЧЗПСН ао,PRFN,679,6437770,1.72,1.52,1.73,1.64,1.65,1.64,3907000,1.65,1.65,1.64,6437770,6437770,6437770,
3,TQBR,2018-10-04,ЧЗПСН ао,PRFN,500,3293050,1.67,1.53,1.68,1.58,1.58,1.58,2085000,1.58,1.58,1.58,3293050,3293050,3293050,
4,TQBR,2018-10-05,ЧЗПСН ао,PRFN,329,2221550,1.6,1.53,1.65,1.59,1.57,1.6,1413000,1.57,1.57,1.59,2221550,2221550,2221550,
5,TQBR,2018-10-08,ЧЗПСН ао,PRFN,516,3130860,1.57,1.49,1.62,1.52,1.54,1.52,2033000,1.54,1.54,1.52,3130860,3130860,3130860,
6,TQBR,2018-10-09,ЧЗПСН ао,PRFN,430,3370550,1.52,1.44,1.57,1.47,1.5,1.47,2252000,1.5,1.5,1.47,3370550,3370550,3370550,
7,TQBR,2018-10-10,ЧЗПСН ао,PRFN,226,1271310,1.47,1.41,1.49,1.45,1.45,1.45,877000,1.45,1.45,1.45,1271310,1271310,1271310,
8,TQBR,2018-10-11,ЧЗПСН ао,PRFN,267,1478460,1.42,1.38,1.43,1.41,1.4,1.41,1055000,1.4,1.4,1.41,1478460,1478460,1478460,
9,TQBR,2018-10-12,ЧЗПСН ао,PRFN,126,561010,1.41,1.39,1.45,1.45,1.43,1.45,392000,1.43,1.43,1.45,561010,561010,561010,
10,TQBR,2018-10-15,ЧЗПСН ао,PRFN,96,373800,1.45,1.44,1.48,1.46,1.45,1.46,257000,,1.45,1.46,0,501760,0,
11,TQBR,2018-10-16,ЧЗПСН ао,PRFN,506,3885780,1.46,1.45,1.62,1.59,1.55,1.59,2501000,1.55,1.55,1.59,3885780,3885780,3885780,
12,TQBR,2018-10-17,ЧЗПСН ао,PRFN,1349,12389210,1.59,1.57,1.84,1.71,1.73,1.71,7148000,1.73,1.73,1.71,12389210,12389210,12389210,
13,TQBR,2018-10-18,ЧЗПСН ао,PRFN,436,3414850,1.71,1.61,1.74,1.71,1.66,1.71,2053000,1.66,1.66,1.71,3414850,3414850,3414850,
14,TQBR,2018-10-19,ЧЗПСН ао,PRFN,561,4078570,1.7,1.52,1.75,1.53,1.62,1.53,2510000,1.62,1.62,1.53,4078570,4078570,4078570,
15,TQBR,2018-10-22,ЧЗПСН ао,PRFN,323,1544100,1.54,1.51,1.6,1.53,1.55,1.53,997000,1.55,1.55,1.53,1544100,1544100,1544100,
16,TQBR,2018-10-23,ЧЗПСН ао,PRFN,180,1669660,1.53,1.46,1.54,1.51,1.49,1.5,1119000,1.49,1.49,1.51,1669660,1669660,1669660,
17,TQBR,2018-10-24,ЧЗПСН ао,PRFN,402,4119990,1.5,1.5,1.59,1.55,1.54,1.55,2679000,1.54,1.54,1.55,4119990,4119990,4119990,
18,TQBR,2018-10-25,ЧЗПСН ао,PRFN,218,1486610,1.55,1.5,1.56,1.52,1.52,1.52,977000,1.52,1.52,1.52,1486610,1486610,1486610,
