,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ПРОТЕК ао,PRTK,71,1835950,79.3,77.4,80.5,78.6,78.8,79.0,23300,78.8,78.8,78.6,1835950,1835950,1835950,
1,TQBR,2018-10-02,ПРОТЕК ао,PRTK,48,1132470,78.9,77.0,79.0,77.6,78.1,77.6,14500,78.1,78.1,77.6,1132470,1132470,1132470,
2,TQBR,2018-10-03,ПРОТЕК ао,PRTK,79,2948190,78.6,77.6,80.2,79.6,78.8,79.6,37400,78.8,78.8,79.6,2948190,2948190,2948190,
3,TQBR,2018-10-04,ПРОТЕК ао,PRTK,46,1710160,79.6,78.0,79.8,79.2,79.2,79.2,21600,79.2,79.2,79.2,1710160,1710160,1710160,
4,TQBR,2018-10-05,ПРОТЕК ао,PRTK,97,2265910,78.9,75.1,79.0,77.6,77.6,77.6,29200,77.6,77.6,77.6,2265910,2265910,2265910,
5,TQBR,2018-10-08,ПРОТЕК ао,PRTK,76,2245880,78.4,77.5,78.9,77.6,78.0,78.0,28800,78.0,78.0,77.6,2245880,2245880,2245880,
6,TQBR,2018-10-09,ПРОТЕК ао,PRTK,67,1258850,78.3,77.3,79.6,78.7,78.7,78.7,16000,78.7,78.7,78.7,1258850,1258850,1258850,
7,TQBR,2018-10-10,ПРОТЕК ао,PRTK,24,229990,77.6,77.4,80.9,78.6,79.3,78.6,2900,,78.9,78.6,0,505160,0,
8,TQBR,2018-10-11,ПРОТЕК ао,PRTK,44,847970,76.7,76.7,80.6,77.0,77.8,77.0,10900,77.8,77.8,77.0,847970,847970,847970,
9,TQBR,2018-10-12,ПРОТЕК ао,PRTK,61,901720,77.7,76.3,78.4,76.8,77.1,76.8,11700,77.1,77.1,76.8,901720,901720,901720,
10,TQBR,2018-10-15,ПРОТЕК ао,PRTK,79,1553690,76.5,76.1,79.7,77.2,78.1,77.2,19900,78.1,78.1,77.2,1553690,1553690,1553690,
11,TQBR,2018-10-16,ПРОТЕК ао,PRTK,24,242680,79.6,77.1,80.0,78.4,78.3,78.4,3100,,77.8,78.4,0,521300,0,
12,TQBR,2018-10-17,ПРОТЕК ао,PRTK,23,251980,78.7,78.5,79.0,78.6,78.7,78.5,3200,,78.5,78.6,0,502380,0,
13,TQBR,2018-10-18,ПРОТЕК ао,PRTK,20,316540,78.9,78.9,79.4,78.9,79.1,78.9,4000,,79.0,78.9,0,521300,0,
14,TQBR,2018-10-19,ПРОТЕК ао,PRTK,31,322540,78.9,77.9,79.1,78.5,78.7,78.5,4100,,78.8,78.5,0,504400,0,
15,TQBR,2018-10-22,ПРОТЕК ао,PRTK,77,4336780,79.4,78.4,79.6,78.5,78.6,78.5,55200,78.6,78.6,78.5,4336780,4336780,4336780,
16,TQBR,2018-10-23,ПРОТЕК ао,PRTK,45,1583630,78.9,77.8,79.0,78.9,78.8,78.9,20100,78.8,78.8,78.9,1583630,1583630,1583630,
17,TQBR,2018-10-24,ПРОТЕК ао,PRTK,56,2915860,79.3,78.0,79.8,78.8,79.0,78.8,36900,79.0,79.0,78.8,2915860,2915860,2915860,
18,TQBR,2018-10-25,ПРОТЕК ао,PRTK,351,6430070,79.2,72.1,79.2,77.2,76.5,77.2,84000,76.5,76.5,77.2,6430070,6430070,6430070,
19,TQBR,2018-10-26,ПРОТЕК ао,PRTK,80,3117310,77.5,77.5,79.1,78.0,78.9,78.1,39500,78.9,78.9,78.0,3117310,3117310,3117310,
20,TQBR,2018-10-29,ПРОТЕК ао,PRTK,30,314650,78.1,78.1,78.9,78.6,78.7,78.9,4000,,78.7,78.6,0,503440,0,
21,TQBR,2018-10-30,ПРОТЕК ао,PRTK,33,837160,78.3,78.3,79.1,78.8,79.0,78.7,10600,79.0,79.0,78.8,837160,837160,837160,
22,TQBR,2018-10-31,ПРОТЕК ао,PRTK,30,261760,79.2,78.8,79.9,79.1,79.3,79.1,3300,,79.1,79.1,0,506210,0,
23,TQBR,2018-11-01,ПРОТЕК ао,PRTK,47,732540,79.8,78.6,80.0,79.6,79.6,79.6,9200,79.6,79.6,79.6,732540,732540,732540,
24,TQBR,2018-11-02,ПРОТЕК ао,PRTK,124,1637760,80.2,78.0,80.7,78.7,78.7,78.7,20800,78.7,78.7,78.7,1637760,1637760,1637760,
25,TQBR,2018-11-06,ПРОТЕК ао,PRTK,94,2589980,79.5,77.9,80.9,79.0,79.7,79.0,32500,79.7,79.7,79.0,2589980,2589980,2589980,
26,TQBR,2018-11-07,ПРОТЕК ао,PRTK,30,436160,78.8,78.8,79.6,79.5,79.3,79.6,5500,,79.2,79.5,0,522640,0,
27,TQBR,2018-11-08,ПРОТЕК ао,PRTK,78,1998530,79.2,77.1,79.7,78.4,78.7,78.4,25400,78.7,78.7,78.4,1998530,1998530,1998530,
28,TQBR,2018-11-09,ПРОТЕК ао,PRTK,46,3240600,78.3,77.3,79.0,78.9,78.3,79.0,41400,78.3,78.3,78.9,3240600,3240600,3240600,
29,TQBR,2018-11-12,ПРОТЕК ао,PRTK,102,3038110,79.0,77.8,80.0,79.8,79.1,79.8,38400,79.1,79.1,79.8,3038110,3038110,3038110,
30,TQBR,2018-11-13,ПРОТЕК ао,PRTK,25,2216840,79.8,79.4,80.0,79.4,79.9,79.4,27800,79.7,79.7,79.4,2216840,2216840,2216840,
31,TQBR,2018-11-14,ПРОТЕК ао,PRTK,18,311060,79.9,79.5,79.9,79.9,79.8,79.9,3900,,79.7,79.9,0,724860,0,
