,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,РБК ао,RBCM,208,1402365.0,4.4,4.28,4.415,4.37,4.325,4.37,324300,4.325,4.325,4.37,1402365.0,1402365.0,1402365.0,
1,TQBR,2018-10-02,РБК ао,RBCM,260,1073814.5,4.33,4.27,4.38,4.365,4.315,4.365,248900,4.315,4.315,4.365,1073814.5,1073814.5,1073814.5,
2,TQBR,2018-10-03,РБК ао,RBCM,431,2057112.5,4.365,4.28,4.53,4.365,4.405,4.365,467200,4.405,4.405,4.365,2057112.5,2057112.5,2057112.5,
3,TQBR,2018-10-04,РБК ао,RBCM,160,502017.5,4.365,4.3,4.385,4.33,4.33,4.33,115900,4.33,4.33,4.33,502017.5,502017.5,502017.5,
4,TQBR,2018-10-05,РБК ао,RBCM,146,406011.5,4.38,4.295,4.38,4.335,4.325,4.345,93900,,4.325,4.335,0.0,520653.5,0.0,
5,TQBR,2018-10-08,РБК ао,RBCM,158,506201.5,4.355,4.305,4.43,4.4,4.36,4.4,116100,4.36,4.36,4.4,506201.5,506201.5,506201.5,
6,TQBR,2018-10-09,РБК ао,RBCM,185,595873.5,4.435,4.3,4.435,4.335,4.35,4.335,137000,4.35,4.35,4.335,595873.5,595873.5,595873.5,
7,TQBR,2018-10-10,РБК ао,RBCM,88,213811.5,4.37,4.295,4.37,4.305,4.31,4.3,49600,,4.32,4.305,0.0,500835.0,0.0,
8,TQBR,2018-10-11,РБК ао,RBCM,224,729777.5,4.315,4.13,4.315,4.185,4.2,4.185,173700,4.2,4.2,4.185,729777.5,729777.5,729777.5,
9,TQBR,2018-10-12,РБК ао,RBCM,86,254878.5,4.2,4.15,4.235,4.22,4.215,4.22,60500,,4.19,4.22,0.0,500234.5,0.0,
10,TQBR,2018-10-15,РБК ао,RBCM,100,252350.5,4.22,4.175,4.235,4.185,4.205,4.195,60000,,4.21,4.185,0.0,501752.0,0.0,
11,TQBR,2018-10-16,РБК ао,RBCM,56,249588.5,4.185,4.155,4.23,4.23,4.215,4.23,59200,,4.21,4.23,0.0,500672.0,0.0,
12,TQBR,2018-10-17,РБК ао,RBCM,119,134220.5,4.235,4.235,4.295,4.255,4.26,4.255,31500,,4.22,4.255,0.0,526309.0,0.0,
13,TQBR,2018-10-18,РБК ао,RBCM,26,20875.5,4.27,4.215,4.275,4.255,4.26,4.25,4900,,4.22,4.255,0.0,547184.5,0.0,
14,TQBR,2018-10-19,РБК ао,RBCM,69,114694.0,4.285,4.18,4.295,4.195,4.215,4.195,27200,,4.23,4.195,0.0,502207.5,0.0,
15,TQBR,2018-10-22,РБК ао,RBCM,102,169571.0,4.205,4.125,4.205,4.14,4.155,4.14,40800,,4.215,4.14,0.0,555643.0,0.0,
16,TQBR,2018-10-23,РБК ао,RBCM,118,224761.0,4.135,4.05,4.17,4.155,4.1,4.135,54800,,4.145,4.155,0.0,503466.0,0.0,
17,TQBR,2018-10-24,РБК ао,RBCM,128,334949.0,4.125,4.055,4.155,4.11,4.09,4.105,81900,,4.095,4.11,0.0,500123.0,0.0,
18,TQBR,2018-10-25,РБК ао,RBCM,244,822783.5,4.055,3.91,4.14,4.03,4.02,4.03,204700,4.02,4.02,4.03,822783.5,822783.5,822783.5,
19,TQBR,2018-10-26,РБК ао,RBCM,134,703087.5,4.06,3.975,4.095,3.985,4.0,3.985,175700,4.0,4.0,3.985,703087.5,703087.5,703087.5,
20,TQBR,2018-10-29,РБК ао,RBCM,96,158344.5,4.0,3.98,4.03,4.0,4.0,4.0,39600,,3.995,4.0,0.0,502034.0,0.0,
