history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;iРоллман-п;RLMNP;112;238197;27.8;27.7;28.5;28.5;28.3;28.5;8410;;28;28.5;0;500420;0;
TQBR;2018-10-02;iРоллман-п;RLMNP;556;2046989;28.5;28.3;31.5;29.3;29.6;29.7;69100;29.6;29.6;29.3;2046989;2046989;2046989;
TQBR;2018-10-03;iРоллман-п;RLMNP;219;395178;29.5;27.7;29.5;28;28.4;28;13920;;28.6;28;0;508630;0;
TQBR;2018-10-04;iРоллман-п;RLMNP;126;343897;28.1;27.6;28.8;28.1;28.2;28.1;12210;;28.1;28.1;0;501257;0;
TQBR;2018-10-05;iРоллман-п;RLMNP;85;125767;28;27.4;28.5;28.4;28;28.4;4490;;28.1;28.4;0;514776;0;
TQBR;2018-10-08;iРоллман-п;RLMNP;89;229262;28;27.2;28.3;27.7;27.6;27.7;8300;;27.8;27.7;0;504222;0;
TQBR;2018-10-09;iРоллман-п;RLMNP;1281;5389914;27.3;27.3;38;36.2;34.1;36.2;158200;34.1;34.1;36.2;5389914;5389914;5389914;
TQBR;2018-10-10;iРоллман-п;RLMNP;1560;4573404;36.2;32.1;39.7;34.2;36.4;34.2;125730;36.4;36.4;34.2;4573404;4573404;4573404;
TQBR;2018-10-11;iРоллман-п;RLMNP;886;2285330;34;29.9;34.2;30.9;32;30.9;71430;32;32;30.9;2285330;2285330;2285330;
TQBR;2018-10-12;iРоллман-п;RLMNP;546;1302751;31.1;30;33.4;32.4;31;32.4;42080;31;31;32.4;1302751;1302751;1302751;
TQBR;2018-10-15;iРоллман-п;RLMNP;520;1233675;32.3;31.9;34.9;32.4;32.8;32.4;37660;32.8;32.8;32.4;1233675;1233675;1233675;
TQBR;2018-10-16;iРоллман-п;RLMNP;615;1778502;32.7;32.6;36.4;33.1;34.3;33.1;51870;34.3;34.3;33.1;1778502;1778502;1778502;
TQBR;2018-10-17;iРоллман-п;RLMNP;137;319258;33.9;32.2;33.9;33.3;33;33.3;9680;;33.1;33.3;0;500851;0;
TQBR;2018-10-18;iРоллман-п;RLMNP;171;373067;33.3;31.8;34.3;32.4;32.6;32.5;11450;;32.7;32.4;0;515387;0;
TQBR;2018-10-19;iРоллман-п;RLMNP;286;471780;32.6;30.6;33.1;33.1;31.7;33.1;14860;;31.8;33.1;0;511755;0;
TQBR;2018-10-22;iРоллман-п;RLMNP;498;775042;33.2;28.1;34.6;30.3;31.2;30.3;24810;31.2;31.2;30.3;775042;775042;775042;
TQBR;2018-10-23;iРоллман-п;RLMNP;366;642963;30.9;28.5;30.9;29.7;29.1;29.7;22080;29.1;29.1;29.7;642963;642963;642963;
TQBR;2018-10-24;iРоллман-п;RLMNP;198;186713;29;28.4;30.4;29.6;29.1;29.6;6410;;28.9;29.6;0;500108;0;
