,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,РуссНфт ао,RNFT,763,15674420.4,597.8,593.8,605.4,598.2,602.8,598.2,26001,602.8,602.8,598.2,15674420.4,15674420.4,15674420.4,
1,TQBR,2018-10-02,РуссНфт ао,RNFT,649,15084052.8,591.4,591.2,605.4,601.8,603.0,601.8,25015,603.0,603.0,601.8,15084052.8,15084052.8,15084052.8,
2,TQBR,2018-10-03,РуссНфт ао,RNFT,535,15071765.4,601.8,601.8,607.6,604.0,605.0,604.0,24912,605.0,605.0,604.0,15071765.4,15071765.4,15071765.4,
3,TQBR,2018-10-04,РуссНфт ао,RNFT,667,15104721.2,601.8,599.2,606.8,599.4,602.6,599.4,25070,602.6,602.6,599.4,15104721.2,15104721.2,15104721.2,
4,TQBR,2018-10-05,РуссНфт ао,RNFT,751,15303635.6,603.6,597.0,606.0,597.8,603.2,597.0,25372,603.2,603.2,597.8,15303635.6,15303635.6,15303635.6,
5,TQBR,2018-10-08,РуссНфт ао,RNFT,708,15215050.6,578.2,578.2,602.8,600.0,599.2,600.0,25392,599.2,599.2,600.0,15215050.6,15215050.6,15215050.6,
6,TQBR,2018-10-09,РуссНфт ао,RNFT,720,15055618.4,600.2,595.8,601.0,596.0,600.0,596.0,25095,600.0,600.0,596.0,15055618.4,15055618.4,15055618.4,
7,TQBR,2018-10-10,РуссНфт ао,RNFT,436,15200958.8,597.0,595.8,600.4,595.8,598.4,595.8,25409,598.2,598.2,595.8,15200958.8,15200958.8,15200958.8,
8,TQBR,2018-10-11,РуссНфт ао,RNFT,615,15429963.0,595.8,588.2,609.0,595.2,600.8,595.2,25682,600.8,600.8,595.2,15429963.0,15429963.0,15429963.0,
9,TQBR,2018-10-12,РуссНфт ао,RNFT,570,15626376.0,594.8,591.4,602.6,595.2,599.6,595.2,26065,599.6,599.6,595.2,15626376.0,15626376.0,15626376.0,
10,TQBR,2018-10-15,РуссНфт ао,RNFT,841,16371541.8,589.6,563.0,598.6,572.0,579.6,572.0,28248,579.6,579.6,572.0,16371541.8,16371541.8,16371541.8,
11,TQBR,2018-10-16,РуссНфт ао,RNFT,718,15275560.2,578.8,560.6,578.8,560.6,575.8,560.6,26527,575.8,575.8,560.6,15275560.2,15275560.2,15275560.2,
12,TQBR,2018-10-17,РуссНфт ао,RNFT,782,15718467.2,578.8,565.6,578.8,566.4,576.0,566.4,27294,575.8,575.8,566.4,15718467.2,15718467.2,15718467.2,
13,TQBR,2018-10-18,РуссНфт ао,RNFT,522,15422636.0,578.6,565.6,578.8,565.6,575.0,565.6,26825,575.0,575.0,565.6,15422636.0,15422636.0,15422636.0,
14,TQBR,2018-10-19,РуссНфт ао,RNFT,710,16460244.2,572.0,550.4,576.6,550.4,571.6,550.4,28795,571.6,571.6,550.4,16460244.2,16460244.2,16460244.2,
15,TQBR,2018-10-22,РуссНфт ао,RNFT,968,16857887.2,568.8,551.2,594.0,577.8,578.6,577.8,29137,578.6,578.6,577.8,16857887.2,16857887.2,16857887.2,
16,TQBR,2018-10-23,РуссНфт ао,RNFT,660,15525202.4,577.8,570.8,582.2,577.0,577.2,577.0,26903,577.0,577.0,577.0,15525202.4,15525202.4,15525202.4,
17,TQBR,2018-10-24,РуссНфт ао,RNFT,964,15841705.8,576.6,556.6,578.0,560.4,569.0,560.4,27842,569.0,569.0,560.4,15841705.8,15841705.8,15841705.8,
18,TQBR,2018-10-25,РуссНфт ао,RNFT,877,16433274.4,580.0,550.0,580.0,550.0,566.4,550.0,29012,566.4,566.4,550.0,16433274.4,16433274.4,16433274.4,
19,TQBR,2018-10-26,РуссНфт ао,RNFT,898,16091361.2,570.0,550.0,571.8,550.4,561.0,550.4,28691,560.8,560.8,550.4,16091361.2,16091361.2,16091361.2,
20,TQBR,2018-10-29,РуссНфт ао,RNFT,756,15444629.8,550.8,550.8,565.0,565.0,561.4,565.0,27515,561.4,561.4,565.0,15444629.8,15444629.8,15444629.8,
21,TQBR,2018-10-30,РуссНфт ао,RNFT,808,15371868.0,565.4,553.2,566.8,555.4,563.0,555.4,27303,563.0,563.0,555.4,15371868.0,15371868.0,15371868.0,
22,TQBR,2018-10-31,РуссНфт ао,RNFT,452,15282038.8,571.8,558.2,571.8,560.2,566.0,560.2,27006,565.8,565.8,560.2,15282038.8,15282038.8,15282038.8,
23,TQBR,2018-11-01,РуссНфт ао,RNFT,571,15191454.2,554.0,554.0,563.2,556.8,557.2,556.8,27271,557.0,557.0,556.8,15191454.2,15191454.2,15191454.2,
24,TQBR,2018-11-02,РуссНфт ао,RNFT,558,15272217.4,556.0,556.0,570.0,556.2,560.6,556.2,27241,560.6,560.6,556.2,15272217.4,15272217.4,15272217.4,
25,TQBR,2018-11-06,РуссНфт ао,RNFT,634,15349322.0,560.4,556.2,565.0,557.4,561.6,557.4,27332,561.6,561.6,557.4,15349322.0,15349322.0,15349322.0,
26,TQBR,2018-11-07,РуссНфт ао,RNFT,757,16433415.2,553.8,553.8,572.8,563.8,564.0,563.8,29136,564.0,564.0,563.8,16433415.2,16433415.2,16433415.2,
27,TQBR,2018-11-08,РуссНфт ао,RNFT,672,15945647.4,572.8,566.0,578.0,570.2,576.0,570.2,27687,576.0,576.0,570.2,15945647.4,15945647.4,15945647.4,
28,TQBR,2018-11-09,РуссНфт ао,RNFT,676,15441525.8,578.8,564.0,579.0,574.6,571.2,574.6,27033,571.2,571.2,574.6,15441525.8,15441525.8,15441525.8,
29,TQBR,2018-11-12,РуссНфт ао,RNFT,703,15419750.2,575.0,566.4,579.0,566.4,570.8,566.4,27019,570.8,570.8,566.4,15419750.2,15419750.2,15419750.2,
30,TQBR,2018-11-13,РуссНфт ао,RNFT,581,15392885.8,569.4,536.6,571.4,540.2,551.0,540.2,27936,551.0,551.0,540.2,15392885.8,15392885.8,15392885.8,
31,TQBR,2018-11-14,РуссНфт ао,RNFT,608,15573054.8,540.2,535.4,557.0,544.2,547.4,544.2,28451,547.4,547.4,544.2,15573054.8,15573054.8,15573054.8,
32,TQBR,2018-11-15,РуссНфт ао,RNFT,591,15330672.0,549.8,544.0,551.6,544.0,548.4,544.0,27959,548.4,548.4,544.0,15330672.0,15330672.0,15330672.0,
33,TQBR,2018-11-16,РуссНфт ао,RNFT,1190,19719244.0,549.8,534.0,551.8,534.0,540.0,534.0,36527,539.8,539.8,534.0,19719244.0,19719244.0,19719244.0,
34,TQBR,2018-11-19,РуссНфт ао,RNFT,481,15368538.8,540.6,534.0,541.8,535.2,538.0,535.2,28569,538.0,538.0,535.2,15368538.8,15368538.8,15368538.8,
35,TQBR,2018-11-20,РуссНфт ао,RNFT,838,15790371.2,539.0,512.4,539.6,524.0,522.8,524.0,30211,522.6,522.6,524.0,15790371.2,15790371.2,15790371.2,
36,TQBR,2018-11-21,РуссНфт ао,RNFT,501,16611070.6,539.8,523.0,540.2,523.6,526.8,523.6,31539,526.6,526.6,523.6,16611070.6,16611070.6,16611070.6,
37,TQBR,2018-11-22,РуссНфт ао,RNFT,553,16118092.0,529.2,522.6,530.2,522.6,525.6,522.6,30670,525.6,525.6,522.6,16118092.0,16118092.0,16118092.0,
38,TQBR,2018-11-23,РуссНфт ао,RNFT,1277,15335891.4,534.4,515.0,534.4,523.0,526.8,523.0,29118,526.6,526.6,523.0,15335891.4,15335891.4,15335891.4,
39,TQBR,2018-11-26,РуссНфт ао,RNFT,1524,17559122.6,519.4,515.0,534.4,534.4,525.8,534.4,33395,525.8,525.8,534.4,17559122.6,17559122.6,17559122.6,
40,TQBR,2018-11-27,РуссНфт ао,RNFT,864,15410688.8,536.4,531.2,545.2,531.4,533.8,531.4,28869,533.8,533.8,531.4,15410688.8,15410688.8,15410688.8,
41,TQBR,2018-11-28,РуссНфт ао,RNFT,694,15102159.4,533.8,529.6,537.0,530.2,533.8,530.2,28295,533.8,533.8,530.2,15102159.4,15102159.4,15102159.4,
42,TQBR,2018-11-29,РуссНфт ао,RNFT,1066,15272430.4,551.8,526.2,551.8,527.6,531.8,527.6,28721,531.8,531.8,527.6,15272430.4,15272430.4,15272430.4,
43,TQBR,2018-11-30,РуссНфт ао,RNFT,1515,19106087.6,538.0,528.2,559.8,552.2,546.6,552.2,34963,546.4,546.4,552.2,19106087.6,19106087.6,19106087.6,
44,TQBR,2018-12-03,РуссНфт ао,RNFT,1273,16610738.6,550.0,545.2,559.4,554.4,552.8,554.4,30046,552.8,552.8,554.4,16610738.6,16610738.6,16610738.6,
