,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Русолово,ROLO,84,567450,2.21,2.09,2.21,2.11,2.13,2.11,267000,2.13,2.13,2.11,567450,567450,567450,
1,TQBR,2018-10-02,Русолово,ROLO,2191,33007530,2.1,2.1,2.95,2.95,2.68,2.95,12298000,2.68,2.68,2.95,33007530,33007530,33007530,
2,TQBR,2018-10-03,Русолово,ROLO,3075,34001680,2.96,2.55,3.24,2.64,2.82,2.64,12078000,2.82,2.82,2.64,34001680,34001680,34001680,
3,TQBR,2018-10-04,Русолово,ROLO,956,10958030,2.69,2.24,2.69,2.34,2.41,2.34,4545000,2.41,2.41,2.34,10958030,10958030,10958030,
4,TQBR,2018-10-05,Русолово,ROLO,268,2667250,2.28,2.23,2.39,2.36,2.32,2.36,1149000,2.32,2.32,2.36,2667250,2667250,2667250,
5,TQBR,2018-10-08,Русолово,ROLO,199,1886740,2.31,2.3,2.4,2.39,2.34,2.37,805000,2.34,2.34,2.39,1886740,1886740,1886740,
6,TQBR,2018-10-09,Русолово,ROLO,237,1769850,2.37,2.36,2.46,2.41,2.42,2.41,732000,2.42,2.42,2.41,1769850,1769850,1769850,
7,TQBR,2018-10-10,Русолово,ROLO,174,1941800,2.41,2.3,2.43,2.31,2.33,2.31,834000,2.33,2.33,2.31,1941800,1941800,1941800,
8,TQBR,2018-10-11,Русолово,ROLO,238,2030270,2.3,2.2,2.34,2.25,2.26,2.25,898000,2.26,2.26,2.25,2030270,2030270,2030270,
9,TQBR,2018-10-12,Русолово,ROLO,43,346640,2.3,2.26,2.33,2.28,2.3,2.28,151000,,2.3,2.28,0,500690,0,
10,TQBR,2018-10-15,Русолово,ROLO,112,1147750,2.3,2.29,2.35,2.34,2.33,2.3,493000,2.33,2.33,2.34,1147750,1147750,1147750,
11,TQBR,2018-10-16,Русолово,ROLO,172,1505080,2.32,2.21,2.35,2.28,2.3,2.29,653000,2.3,2.3,2.28,1505080,1505080,1505080,
12,TQBR,2018-10-17,Русолово,ROLO,639,6941990,2.3,2.3,2.52,2.33,2.41,2.33,2881000,2.41,2.41,2.33,6941990,6941990,6941990,
13,TQBR,2018-10-18,Русолово,ROLO,115,801410,2.3,2.3,2.38,2.36,2.34,2.36,342000,2.34,2.34,2.36,801410,801410,801410,
14,TQBR,2018-10-19,Русолово,ROLO,123,1423070,2.32,2.25,2.37,2.26,2.28,2.26,624000,2.28,2.28,2.26,1423070,1423070,1423070,
15,TQBR,2018-10-22,Русолово,ROLO,159,2413550,2.32,2.22,2.33,2.29,2.28,2.29,1060000,2.28,2.28,2.29,2413550,2413550,2413550,
16,TQBR,2018-10-23,Русолово,ROLO,150,1226550,2.32,2.24,2.34,2.29,2.3,2.29,533000,2.3,2.3,2.29,1226550,1226550,1226550,
17,TQBR,2018-10-24,Русолово,ROLO,193,1577300,2.32,2.28,2.41,2.36,2.34,2.36,673000,2.34,2.34,2.36,1577300,1577300,1577300,
18,TQBR,2018-10-25,Русолово,ROLO,205,1636170,2.32,2.27,2.46,2.42,2.37,2.42,689000,2.37,2.37,2.42,1636170,1636170,1636170,
19,TQBR,2018-10-26,Русолово,ROLO,125,1331700,2.41,2.35,2.47,2.39,2.38,2.39,559000,2.38,2.38,2.39,1331700,1331700,1331700,
20,TQBR,2018-10-29,Русолово,ROLO,89,628430,2.38,2.31,2.39,2.35,2.34,2.35,269000,2.34,2.34,2.35,628430,628430,628430,
21,TQBR,2018-10-30,Русолово,ROLO,93,595630,2.31,2.31,2.38,2.35,2.35,2.35,254000,2.35,2.35,2.35,595630,595630,595630,
22,TQBR,2018-10-31,Русолово,ROLO,65,311610,2.36,2.34,2.4,2.36,2.36,2.36,132000,,2.35,2.36,0,503320,0,
23,TQBR,2018-11-01,Русолово,ROLO,41,462040,2.325,2.325,2.385,2.34,2.345,2.34,197000,,2.345,2.34,0,501990,0,
24,TQBR,2018-11-02,Русолово,ROLO,43,318245,2.34,2.32,2.365,2.325,2.34,2.325,136000,,2.335,2.325,0,504435,0,
25,TQBR,2018-11-06,Русолово,ROLO,53,299450,2.365,2.315,2.37,2.35,2.34,2.35,128000,,2.34,2.35,0,526240,0,
26,TQBR,2018-11-07,Русолово,ROLO,129,1547270,2.335,2.305,2.36,2.35,2.325,2.35,665000,2.325,2.325,2.35,1547270,1547270,1547270,
27,TQBR,2018-11-08,Русолово,ROLO,223,1355065,2.35,2.305,2.375,2.34,2.33,2.34,581000,2.33,2.33,2.34,1355065,1355065,1355065,
28,TQBR,2018-11-09,Русолово,ROLO,41,149490,2.31,2.31,2.355,2.33,2.335,2.33,64000,,2.335,2.33,0,504700,0,
29,TQBR,2018-11-12,Русолово,ROLO,38,308135,2.33,2.32,2.35,2.33,2.335,2.33,132000,,2.335,2.33,0,501965,0,
30,TQBR,2018-11-13,Русолово,ROLO,65,307100,2.325,2.325,2.36,2.34,2.345,2.34,131000,,2.34,2.34,0,500445,0,
31,TQBR,2018-11-14,Русолово,ROLO,147,1962755,2.33,2.27,2.33,2.3,2.295,2.3,856000,2.295,2.295,2.3,1962755,1962755,1962755,
32,TQBR,2018-11-15,Русолово,ROLO,21,160930,2.305,2.28,2.315,2.295,2.3,2.295,70000,,2.285,2.295,0,562115,0,
33,TQBR,2018-11-16,Русолово,ROLO,162,1704635,2.285,2.2,2.305,2.205,2.245,2.205,760000,2.245,2.245,2.205,1704635,1704635,1704635,
34,TQBR,2018-11-19,Русолово,ROLO,78,451840,2.225,2.19,2.235,2.205,2.215,2.205,204000,,2.215,2.205,0,504760,0,
35,TQBR,2018-11-20,Русолово,ROLO,66,572920,2.21,2.105,2.21,2.175,2.155,2.175,266000,2.155,2.155,2.175,572920,572920,572920,
36,TQBR,2018-11-21,Русолово,ROLO,65,509195,2.205,2.17,2.235,2.215,2.205,2.215,231000,2.205,2.205,2.215,509195,509195,509195,
37,TQBR,2018-11-22,Русолово,ROLO,88,578235,2.22,2.2,2.29,2.255,2.24,2.255,258000,2.24,2.24,2.255,578235,578235,578235,
38,TQBR,2018-11-23,Русолово,ROLO,27,163355,2.25,2.215,2.255,2.22,2.24,2.215,73000,,2.235,2.22,0,511315,0,
39,TQBR,2018-11-26,Русолово,ROLO,84,356970,2.21,2.1,2.31,2.21,2.205,2.21,162000,,2.215,2.21,0,506830,0,
40,TQBR,2018-11-27,Русолово,ROLO,39,277225,2.265,2.2,2.275,2.225,2.235,2.225,124000,,2.235,2.225,0,503410,0,
41,TQBR,2018-11-28,Русолово,ROLO,61,403945,2.22,2.185,2.24,2.225,2.205,2.23,183000,,2.21,2.225,0,501770,0,
42,TQBR,2018-11-29,Русолово,ROLO,54,402190,2.23,2.23,2.295,2.25,2.26,2.25,178000,,2.25,2.25,0,503945,0,
43,TQBR,2018-11-30,Русолово,ROLO,34,143660,2.255,2.255,2.3,2.26,2.28,2.26,63000,,2.265,2.26,0,523510,0,
44,TQBR,2018-12-03,Русолово,ROLO,39,270075,2.285,2.225,2.295,2.255,2.25,2.255,120000,,2.26,2.255,0,504155,0,
45,TQBR,2018-12-04,Русолово,ROLO,51,290250,2.275,2.2,2.29,2.23,2.25,2.23,129000,,2.245,2.23,0,505580,0,
46,TQBR,2018-12-05,Русолово,ROLO,458,4560780,2.255,2.23,2.5,2.385,2.365,2.385,1927000,2.365,2.365,2.385,4560780,4560780,4560780,
47,TQBR,2018-12-06,Русолово,ROLO,243,3932505,2.34,2.335,2.48,2.425,2.4,2.425,1638000,2.4,2.4,2.425,3932505,3932505,3932505,
48,TQBR,2018-12-07,Русолово,ROLO,202,1735755,2.43,2.4,2.65,2.455,2.505,2.455,693000,2.505,2.505,2.455,1735755,1735755,1735755,
49,TQBR,2018-12-10,Русолово,ROLO,56,487720,2.48,2.41,2.52,2.43,2.475,2.435,197000,,2.475,2.43,0,500015,0,
50,TQBR,2018-12-11,Русолово,ROLO,53,412310,2.415,2.3,2.425,2.355,2.355,2.355,175000,,2.37,2.355,0,511975,0,
51,TQBR,2018-12-12,Русолово,ROLO,37,269360,2.36,2.325,2.375,2.335,2.34,2.33,115000,,2.335,2.335,0,500120,0,
52,TQBR,2018-12-13,Русолово,ROLO,31,177325,2.33,2.28,2.345,2.32,2.305,2.325,77000,,2.33,2.32,0,507645,0,
