,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Роснефть,ROSN,14304,1852035634.0,496.0,487.8,499.0,494.05,493.15,494.05,3755170,493.2,493.2,494.05,1852035634.0,1852035634.0,1852035634.0,
1,TQBR,2018-10-02,Роснефть,ROSN,11100,1380910278.0,497.0,489.0,498.8,491.4,492.6,491.4,2803520,492.55,492.55,491.4,1380910278.0,1380910278.0,1380910278.0,
2,TQBR,2018-10-03,Роснефть,ROSN,21059,3093582134.5,492.1,491.5,512.25,512.0,504.35,512.0,6132650,504.45,504.45,512.0,3093582134.5,3093582134.5,3093582134.5,
3,TQBR,2018-10-04,Роснефть,ROSN,24507,3717544654.5,512.0,500.85,522.8,508.2,509.85,508.2,7284010,510.35,510.35,508.2,3717544654.5,3717544654.5,3717544654.5,
4,TQBR,2018-10-05,Роснефть,ROSN,15247,2424285762.0,506.0,498.35,516.0,503.0,502.25,503.0,4826790,502.25,502.25,503.0,2424285762.0,2424285762.0,2424285762.0,
5,TQBR,2018-10-08,Роснефть,ROSN,17389,2426103681.0,490.45,478.05,492.45,479.45,483.2,479.45,5023270,482.95,482.95,479.45,2426103681.0,2426103681.0,2426103681.0,
6,TQBR,2018-10-09,Роснефть,ROSN,12346,1990172001.5,481.75,473.1,483.7,473.1,479.3,473.1,4152170,479.3,479.3,473.1,1990172001.5,1990172001.5,1990172001.5,
7,TQBR,2018-10-10,Роснефть,ROSN,14264,2271200268.5,473.3,466.7,475.8,468.75,470.9,468.75,4822860,470.9,470.9,468.75,2271200268.5,2271200268.5,2271200268.5,
8,TQBR,2018-10-11,Роснефть,ROSN,16586,2051548675.0,462.0,458.15,467.05,462.55,461.8,462.55,4442520,461.8,461.8,462.55,2051548675.0,2051548675.0,2051548675.0,
9,TQBR,2018-10-12,Роснефть,ROSN,10974,1298341373.0,464.6,463.65,468.75,465.1,466.5,465.1,2783170,466.5,466.5,465.1,1298341373.0,1298341373.0,1298341373.0,
10,TQBR,2018-10-15,Роснефть,ROSN,7337,838004522.5,468.25,460.2,469.25,462.05,463.9,462.05,1806370,463.9,463.9,462.05,838004522.5,838004522.5,838004522.5,
11,TQBR,2018-10-16,Роснефть,ROSN,8398,1269371740.0,462.5,462.0,472.0,468.7,467.8,468.7,2713340,467.85,467.85,468.7,1269371740.0,1269371740.0,1269371740.0,
12,TQBR,2018-10-17,Роснефть,ROSN,10176,1837617338.5,470.15,466.0,472.9,467.85,468.6,467.85,3921870,468.55,468.55,467.85,1837617338.5,1837617338.5,1837617338.5,
13,TQBR,2018-10-18,Роснефть,ROSN,8162,943883456.0,467.3,462.65,469.5,466.6,465.2,466.6,2028930,465.2,465.2,466.6,943883456.0,943883456.0,943883456.0,
14,TQBR,2018-10-19,Роснефть,ROSN,11365,1291335673.0,465.1,464.6,474.3,467.0,469.45,467.0,2750830,469.45,469.45,467.0,1291335673.0,1291335673.0,1291335673.0,
15,TQBR,2018-10-22,Роснефть,ROSN,8135,1200836484.5,468.95,463.6,473.65,465.3,466.3,465.3,2575220,466.3,466.3,465.3,1200836484.5,1200836484.5,1200836484.5,
16,TQBR,2018-10-23,Роснефть,ROSN,14452,1988605182.0,464.0,450.3,464.9,455.0,455.7,455.0,4363010,455.8,455.8,455.0,1988605182.0,1988605182.0,1988605182.0,
17,TQBR,2018-10-24,Роснефть,ROSN,12830,1449063174.5,456.0,455.25,468.1,463.5,462.3,463.5,3134510,462.3,462.3,463.5,1449063174.5,1449063174.5,1449063174.5,
18,TQBR,2018-10-25,Роснефть,ROSN,14059,1419584760.0,461.95,453.5,463.0,458.4,458.7,458.4,3094960,458.7,458.7,458.4,1419584760.0,1419584760.0,1419584760.0,
19,TQBR,2018-10-26,Роснефть,ROSN,11322,1306051742.5,458.4,448.9,458.65,453.3,452.55,453.3,2886060,452.55,452.55,453.3,1306051742.5,1306051742.5,1306051742.5,
20,TQBR,2018-10-29,Роснефть,ROSN,7489,801098057.0,454.05,453.05,459.95,458.5,457.15,458.5,1752560,457.1,457.1,458.5,801098057.0,801098057.0,801098057.0,
21,TQBR,2018-10-30,Роснефть,ROSN,10682,1055634573.0,457.9,443.05,461.7,453.7,456.4,453.7,2312890,456.4,456.4,453.7,1055634573.0,1055634573.0,1055634573.0,
22,TQBR,2018-10-31,Роснефть,ROSN,12667,2010820665.0,457.0,456.2,467.0,460.45,462.45,460.45,4348090,462.45,462.45,460.45,2010820665.0,2010820665.0,2010820665.0,
23,TQBR,2018-11-01,Роснефть,ROSN,14710,1468223351.5,459.8,455.5,463.95,460.0,458.5,460.0,3202360,458.5,458.5,460.0,1468223351.5,1468223351.5,1468223351.5,
24,TQBR,2018-11-02,Роснефть,ROSN,10721,1481337169.0,460.55,456.75,462.25,459.6,459.7,459.6,3222640,459.65,459.65,459.6,1481337169.0,1481337169.0,1481337169.0,
25,TQBR,2018-11-06,Роснефть,ROSN,20120,3030126514.0,462.1,461.7,484.35,482.45,475.65,482.45,6370460,475.65,475.65,482.45,3030126514.0,3030126514.0,3030126514.0,
26,TQBR,2018-11-07,Роснефть,ROSN,12993,1503794864.0,482.75,478.7,487.85,484.1,483.25,484.1,3112250,483.2,483.2,484.1,1503794864.0,1503794864.0,1503794864.0,
27,TQBR,2018-11-08,Роснефть,ROSN,13396,1681084421.0,484.0,473.4,485.0,475.0,477.15,475.0,3523150,477.15,477.15,475.0,1681084421.0,1681084421.0,1681084421.0,
28,TQBR,2018-11-09,Роснефть,ROSN,21890,1993160721.5,471.05,465.0,474.25,468.6,468.65,468.6,4253200,468.65,468.65,468.6,1993160721.5,1993160721.5,1993160721.5,
29,TQBR,2018-11-12,Роснефть,ROSN,9573,1136715299.5,473.0,462.5,475.6,463.5,469.0,463.5,2423720,469.0,469.0,463.5,1136715299.5,1136715299.5,1136715299.5,
30,TQBR,2018-11-13,Роснефть,ROSN,25806,3602846308.0,461.7,443.6,462.7,443.6,450.75,443.6,7991810,450.8,450.8,443.6,3602846308.0,3602846308.0,3602846308.0,
31,TQBR,2018-11-14,Роснефть,ROSN,36759,4919867477.5,439.85,425.5,441.6,427.15,429.45,427.15,11455890,429.45,429.45,427.15,4919867477.5,4919867477.5,4919867477.5,
32,TQBR,2018-11-15,Роснефть,ROSN,18639,2326433594.5,429.05,421.85,430.7,424.25,427.1,424.25,5447170,427.1,427.1,424.25,2326433594.5,2326433594.5,2326433594.5,
33,TQBR,2018-11-16,Роснефть,ROSN,17947,2184509048.0,426.25,420.5,428.65,420.85,425.25,420.85,5137480,425.2,425.2,420.85,2184509048.0,2184509048.0,2184509048.0,
34,TQBR,2018-11-19,Роснефть,ROSN,14290,1939190971.0,422.15,421.2,425.85,424.1,423.7,424.1,4576970,423.7,423.7,424.1,1939190971.0,1939190971.0,1939190971.0,
35,TQBR,2018-11-20,Роснефть,ROSN,23967,3295916292.5,423.35,412.25,423.45,413.55,414.75,413.55,7946890,414.75,414.75,413.55,3295916292.5,3295916292.5,3295916292.5,
36,TQBR,2018-11-21,Роснефть,ROSN,14045,1860184327.5,410.65,409.0,416.0,411.85,412.95,411.85,4504550,412.95,412.95,411.85,1860184327.5,1860184327.5,1860184327.5,
37,TQBR,2018-11-22,Роснефть,ROSN,9047,1048366611.0,411.8,408.1,414.25,411.1,410.8,411.1,2552040,410.8,410.8,411.1,1048366611.0,1048366611.0,1048366611.0,
38,TQBR,2018-11-23,Роснефть,ROSN,19966,3049211659.5,408.95,401.25,410.75,405.2,405.8,405.2,7514900,405.75,405.75,405.2,3049211659.5,3049211659.5,3049211659.5,
39,TQBR,2018-11-26,Роснефть,ROSN,25639,3008285046.0,405.8,397.25,415.15,407.0,405.45,407.0,7420020,405.45,405.45,407.0,3008285046.0,3008285046.0,3008285046.0,
40,TQBR,2018-11-27,Роснефть,ROSN,15846,1514362950.0,408.7,408.0,420.1,419.8,414.4,419.8,3654450,414.4,414.4,419.8,1514362950.0,1514362950.0,1514362950.0,
41,TQBR,2018-11-28,Роснефть,ROSN,14983,1752141065.0,418.8,418.7,425.85,421.45,422.6,421.45,4146310,422.6,422.6,421.45,1752141065.0,1752141065.0,1752141065.0,
42,TQBR,2018-11-29,Роснефть,ROSN,17922,2236467862.5,419.55,412.5,424.6,417.0,417.95,417.0,5351360,417.95,417.95,417.0,2236467862.5,2236467862.5,2236467862.5,
43,TQBR,2018-11-30,Роснефть,ROSN,12916,1423683238.0,416.95,414.4,424.4,423.1,420.35,423.1,3386930,420.35,420.35,423.1,1423683238.0,1423683238.0,1423683238.0,
44,TQBR,2018-12-03,Роснефть,ROSN,22231,2906997200.0,436.2,429.25,439.9,434.0,434.05,434.0,6694560,434.25,434.25,434.0,2906997200.0,2906997200.0,2906997200.0,
45,TQBR,2018-12-04,Роснефть,ROSN,11009,1347703047.5,434.0,433.25,440.55,439.0,437.1,439.0,3083270,437.1,437.1,439.0,1347703047.5,1347703047.5,1347703047.5,
46,TQBR,2018-12-05,Роснефть,ROSN,10363,1104328595.5,434.95,430.0,439.0,439.0,436.0,439.0,2532770,436.0,436.0,439.0,1104328595.5,1104328595.5,1104328595.5,
47,TQBR,2018-12-06,Роснефть,ROSN,17570,1866355521.0,436.0,422.55,438.4,430.0,429.05,430.0,4348890,429.15,429.15,430.0,1866355521.0,1866355521.0,1866355521.0,
48,TQBR,2018-12-07,Роснефть,ROSN,17436,2244118606.5,429.4,429.15,442.05,439.0,436.65,439.0,5140220,436.6,436.6,439.0,2244118606.5,2244118606.5,2244118606.5,
49,TQBR,2018-12-10,Роснефть,ROSN,15780,1732327348.5,437.0,424.3,441.0,428.5,431.05,428.5,4018620,431.1,431.1,428.5,1732327348.5,1732327348.5,1732327348.5,
50,TQBR,2018-12-11,Роснефть,ROSN,13378,1563420415.5,428.5,421.5,429.5,425.55,424.8,425.55,3679440,424.9,424.9,425.55,1563420415.5,1563420415.5,1563420415.5,
51,TQBR,2018-12-12,Роснефть,ROSN,13341,1921219251.5,426.05,419.15,428.05,422.0,422.15,422.0,4551590,422.1,422.1,422.0,1921219251.5,1921219251.5,1921219251.5,
