,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Россети ао,RSTI,1231,19694350.4,0.7204,0.7090000000000001,0.7215,0.7115,0.7136,0.7115,27598000,0.7136,0.7136,0.7115,19694350.4,19694350.4,19694350.4,
1,TQBR,2018-10-02,Россети ао,RSTI,38948,831809988.4,0.716,0.716,0.8145,0.7966,0.7859,0.7966,1057417000,0.7866,0.7866,0.7966,831809988.4,831809988.4,831809988.4,
2,TQBR,2018-10-03,Россети ао,RSTI,27299,812116496.5,0.8037,0.7911,0.84,0.8019,0.8149,0.8019,996459000,0.815,0.815,0.8019,812116496.5,812116496.5,812116496.5,
3,TQBR,2018-10-04,Россети ао,RSTI,42154,1370979777.6,0.8,0.768,0.848,0.777,0.8104,0.777,1691817000,0.8104,0.8104,0.777,1370979777.6,1370979777.6,1370979777.6,
4,TQBR,2018-10-05,Россети ао,RSTI,7074,187207309.0,0.7752,0.77,0.789,0.77,0.7768,0.77,240874000,0.7772,0.7772,0.77,187207309.0,187207309.0,187207309.0,
5,TQBR,2018-10-08,Россети ао,RSTI,6678,146517208.0,0.765,0.7463,0.7746,0.7549,0.7592,0.7549,192990000,0.7592,0.7592,0.7549,146517208.0,146517208.0,146517208.0,
6,TQBR,2018-10-09,Россети ао,RSTI,5072,139124041.0,0.7598,0.7341,0.7598,0.7390000000000001,0.7432,0.7390000000000001,187189000,0.7432,0.7432,0.7390000000000001,139124041.0,139124041.0,139124041.0,
7,TQBR,2018-10-10,Россети ао,RSTI,5243,137563399.6,0.7440000000000001,0.7188,0.746,0.7224,0.7289,0.7224,188722000,0.7289,0.7289,0.7224,137563399.6,137563399.6,137563399.6,
8,TQBR,2018-10-11,Россети ао,RSTI,6846,207375156.2,0.7054,0.685,0.7173,0.6961,0.6992,0.6961,296592000,0.6992,0.6992,0.6961,207375156.2,207375156.2,207375156.2,
9,TQBR,2018-10-12,Россети ао,RSTI,3621,86227034.4,0.7020000000000001,0.6959,0.7112,0.6985,0.7028,0.6985,122697000,0.7028,0.7028,0.6985,86227034.4,86227034.4,86227034.4,
