history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Россети ап;RSTIP;153;1425303;1.293;1.29;1.31;1.304;1.302;1.304;1095000;1.302;1.302;1.304;1425303;1425303;1425303;
TQBR;2018-10-02;Россети ап;RSTIP;1855;46751454;1.318;1.305;1.376;1.353;1.347;1.353;34723000;1.346;1.346;1.353;46751454;46751454;46751454;
TQBR;2018-10-03;Россети ап;RSTIP;545;16972505;1.358;1.338;1.376;1.35;1.369;1.35;12430000;1.365;1.365;1.35;16972505;16972505;16972505;
TQBR;2018-10-04;Россети ап;RSTIP;314;3382905;1.352;1.31;1.362;1.317;1.338;1.317;2529000;1.338;1.338;1.317;3382905;3382905;3382905;
TQBR;2018-10-05;Россети ап;RSTIP;109;1088854;1.318;1.306;1.318;1.311;1.31;1.311;831000;1.31;1.31;1.311;1088854;1088854;1088854;
TQBR;2018-10-08;Россети ап;RSTIP;306;11107375;1.306;1.306;1.345;1.341;1.321;1.341;8406000;1.321;1.321;1.341;11107375;11107375;11107375;
TQBR;2018-10-09;Россети ап;RSTIP;242;5049867;1.342;1.333;1.371;1.371;1.356;1.371;3723000;1.356;1.356;1.371;5049867;5049867;5049867;
TQBR;2018-10-10;Россети ап;RSTIP;211;5551347;1.368;1.351;1.381;1.371;1.374;1.371;4041000;1.374;1.374;1.371;5551347;5551347;5551347;
TQBR;2018-10-11;Россети ап;RSTIP;308;6745179;1.32;1.315;1.363;1.357;1.345;1.357;5015000;1.345;1.345;1.357;6745179;6745179;6745179;
TQBR;2018-10-12;Россети ап;RSTIP;72;1000070;1.35;1.348;1.37;1.348;1.355;1.348;738000;1.355;1.355;1.348;1000070;1000070;1000070;
TQBR;2018-10-15;Россети ап;RSTIP;51;276208;1.35;1.343;1.352;1.349;1.347;1.349;205000;;1.348;1.349;0;505506;0;
TQBR;2018-10-16;Россети ап;RSTIP;168;3643374;1.343;1.343;1.375;1.37;1.366;1.37;2668000;1.366;1.366;1.37;3643374;3643374;3643374;
