,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQIF,2018-10-01,ПИФБКСПерс,RU000A0HF0L2,1,50435.0,5043.5,5043.5,5043.5,5043.5,5043.5,5043.5,10,5137.5,5137.5,5043.5,637068.5,549692.5,637068.5,
1,TQIF,2018-10-02,ПИФБКСПерс,RU000A0HF0L2,15,895479.5,5188.5,5000.0,5188.5,5000.0,5088.0,5000.0,176,5088.0,5088.0,5000.0,895479.5,895479.5,895479.5,
2,TQIF,2018-10-03,ПИФБКСПерс,RU000A0HF0L2,8,618377.5,4966.0,4965.0,5110.0,5000.0,5027.5,5000.0,123,5063.0,5026.0,5000.0,1513857.0,653377.5,1513857.0,
3,TQIF,2018-10-04,ПИФБКСПерс,RU000A0HF0L2,7,231380.0,5000.0,5000.0,5089.5,5053.0,5030.0,5089.5,46,5028.0,5060.5,5053.0,849757.5,561732.5,849757.5,
4,TQIF,2018-10-05,ПИФБКСПерс,RU000A0HF0L2,6,576196.0,4955.5,4891.0,5090.0,5068.5,5054.5,4891.0,114,5047.5,5052.0,5068.5,807576.0,737571.0,807576.0,
5,TQIF,2018-10-08,ПИФБКСПерс,RU000A0HF0L2,9,450962.5,5099.5,5099.5,5300.0,5100.0,5124.5,5100.0,88,5085.0,5096.5,5100.0,1027158.5,891923.5,1027158.5,
6,TQIF,2018-10-09,ПИФБКСПерс,RU000A0HF0L2,15,1150412.5,4999.0,4900.0,5299.5,4919.0,4980.0,4900.0,231,4980.0,4980.0,4919.0,1150412.5,1150412.5,1150412.5,
7,TQIF,2018-10-10,ПИФБКСПерс,RU000A0HF0L2,11,564338.0,4750.0,4750.0,4930.0,4899.5,4782.5,4899.5,118,4782.5,4782.5,4899.5,564338.0,564338.0,564338.0,
8,TQIF,2018-10-11,ПИФБКСПерс,RU000A0HF0L2,6,134806.5,4760.0,4630.5,4760.0,4645.0,4648.5,4750.0,29,4756.0,4756.0,4645.0,699144.5,699144.5,699144.5,
9,TQIF,2018-10-12,ПИФБКСПерс,RU000A0HF0L2,12,597230.0,4865.0,4603.0,4865.0,4739.0,4778.0,4739.0,125,4778.0,4778.0,4739.0,597230.0,597230.0,597230.0,
10,TQIF,2018-10-15,ПИФБКСПерс,RU000A0HF0L2,6,280957.0,4900.0,4759.0,4900.0,4759.0,4762.0,4759.0,59,4773.0,4753.5,4759.0,878187.0,537122.0,878187.0,
11,TQIF,2018-10-16,ПИФБКСПерс,RU000A0HF0L2,10,177281.0,4788.0,4788.0,4825.0,4819.0,4791.5,4819.0,37,,4766.5,4819.0,0.0,524323.0,0.0,
12,TQIF,2018-10-17,ПИФБКСПерс,RU000A0HF0L2,8,235805.0,4900.0,4770.0,4900.0,4840.0,4812.5,4900.0,49,,4794.5,4840.0,0.0,517784.0,0.0,
13,TQIF,2018-10-18,ПИФБКСПерс,RU000A0HF0L2,8,183719.0,4761.0,4761.0,4898.0,4890.0,4834.5,4890.0,38,,4816.5,4890.0,0.0,520182.0,0.0,
14,TQIF,2018-10-19,ПИФБКСПерс,RU000A0HF0L2,7,298225.0,4755.0,4700.0,4755.0,4702.0,4733.5,4740.0,63,,4775.0,4702.0,0.0,501364.0,0.0,
