,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Мечел 14об,RU000A0JR0J0,18,146165.22,100.13,100.3,100.15,100.15,6.28,100.28,12.14,100.29,265,,100.27,100.15,0.0,613799.82,0.0,2020-02-25,148,11.79,,,,33.6,2019-02-26,2018-10-01,550,SUR,,,,,RUB
1,EQOB,2018-10-02,Мечел 14об,RU000A0JR0J0,15,261995.2,100.19,100.34,100.33,100.33,6.46,100.29,11.65,100.34,475,,100.29,100.33,0.0,545521.28,0.0,2020-02-25,147,11.75,,,,33.6,2019-02-26,2018-10-02,550,SUR,,,,,RUB
2,EQOB,2018-10-03,Мечел 14об,RU000A0JR0J0,20,3275220.33,100.29,100.39,100.35,100.35,6.65,100.32,11.58,100.29,5936,100.32,100.32,100.35,3275220.33,3275220.33,3275220.33,2020-02-25,146,11.66,,,,33.6,2019-02-26,2018-10-03,550,SUR,,,,,RUB
3,EQOB,2018-10-04,Мечел 14об,RU000A0JR0J0,39,3807734.57,100.0,100.33,100.1,100.1,6.83,100.07,12.27,100.3,6918,100.07,100.07,100.1,3807734.57,3807734.57,3807734.57,2020-02-25,145,12.35,,,,33.6,2019-02-26,2018-10-04,550,SUR,,,,,RUB
4,EQOB,2018-10-05,Мечел 14об,RU000A0JR0J0,26,4927587.19,100.0,100.3,100.1,100.1,7.01,100.19,12.27,100.15,8942,100.19,100.19,100.1,4927587.19,4927587.19,4927587.19,2020-02-25,144,12.01,,,,33.6,2019-02-26,2018-10-05,550,SUR,,,,,RUB
5,EQOB,2018-10-08,Мечел 14об,RU000A0JR0J0,19,2131666.87,100.1,100.29,100.18,100.19,7.57,100.23,12.02,100.1,3867,100.23,100.23,100.19,2131666.87,2131666.87,2131666.87,2020-02-25,141,11.88,,,,33.6,2019-02-26,2018-10-08,550,SUR,,,,,RUB
6,EQOB,2018-10-09,Мечел 14об,RU000A0JR0J0,17,325452.18,100.1,100.3,100.11,100.11,7.75,100.12,12.22,100.13,591,,100.17,100.11,0.0,1008255.84,0.0,2020-02-25,140,12.19,,,,33.6,2019-02-26,2018-10-09,550,SUR,,,,,RUB
7,EQOB,2018-10-10,Мечел 14об,RU000A0JR0J0,32,3306223.09,100.04,101.12,100.06,100.11,7.94,100.16,12.36,100.29,6002,100.16,100.16,100.11,3306223.09,3306223.09,3306223.09,2020-02-25,139,12.07,,,,33.6,2019-02-26,2018-10-10,550,SUR,,,,,RUB
8,EQOB,2018-10-11,Мечел 14об,RU000A0JR0J0,40,1082657.55,100.06,100.48,100.2,100.2,8.12,100.18,11.95,100.06,1965,100.18,100.18,100.2,1082657.55,1082657.55,1082657.55,2020-02-25,138,12.01,,,,33.6,2019-02-26,2018-10-11,550,SUR,,,,,RUB
9,EQOB,2018-10-12,Мечел 14об,RU000A0JR0J0,33,1448733.54,100.11,100.21,100.2,100.2,8.31,100.19,11.94,100.21,2629,100.19,100.19,100.2,1448733.54,1448733.54,1448733.54,2020-02-25,137,11.97,,,,33.6,2019-02-26,2018-10-12,550,SUR,,,,,RUB
10,EQOB,2018-10-15,Мечел 14об,RU000A0JR0J0,12,185673.36,100.1,100.2,100.15,100.16,8.86,100.17,12.07,100.1,337,,100.19,100.16,0.0,710870.51,0.0,2020-02-25,134,12.01,,,,33.6,2019-02-26,2018-10-15,550,SUR,,,,,RUB
11,EQOB,2018-10-16,Мечел 14об,RU000A0JR0J0,49,7281189.66,100.01,100.2,100.16,100.16,9.04,100.07,12.04,100.1,13229,100.07,100.07,100.16,7281189.66,7281189.66,7281189.66,2020-02-25,133,12.31,,,,33.6,2019-02-26,2018-10-16,550,SUR,,,,,RUB
12,EQOB,2018-10-17,Мечел 14об,RU000A0JR0J0,41,4721707.68,100.17,100.6,100.49,100.49,9.23,100.38,11.03,100.19,8552,100.38,100.38,100.49,4721707.68,4721707.68,4721707.68,2020-02-25,132,11.36,,,,33.6,2019-02-26,2018-10-17,550,SUR,,,,,RUB
13,EQOB,2018-10-18,Мечел 14об,RU000A0JR0J0,20,5764211.98,100.2,100.34,100.2,100.2,9.41,100.2,11.9,100.31,10459,100.2,100.2,100.2,5764211.98,5764211.98,5764211.98,2020-02-25,131,11.9,,,,33.6,2019-02-26,2018-10-18,550,SUR,,,,,RUB
14,EQOB,2018-10-19,Мечел 14об,RU000A0JR0J0,12,300443.45,100.17,100.3,100.3,100.29,9.6,100.23,11.59,100.2,545,,100.21,100.29,0.0,896182.55,0.0,2020-02-25,130,11.8,,,,33.6,2019-02-26,2018-10-19,550,SUR,,,,,RUB
15,EQOB,2018-10-22,Мечел 14об,RU000A0JR0J0,19,171454.32,100.16,100.4,100.4,100.4,10.15,100.24,11.25,100.17,311,,100.23,100.4,0.0,532518.77,0.0,2020-02-25,127,11.75,,,,33.6,2019-02-26,2018-10-22,550,SUR,,,,,RUB
16,EQOB,2018-10-23,Мечел 14об,RU000A0JR0J0,64,1957960.67,100.08,100.28,100.2,100.2,10.34,100.11,11.87,100.17,3556,100.11,100.11,100.2,1957960.67,1957960.67,1957960.67,2020-02-25,126,12.15,,,,33.6,2019-02-26,2018-10-23,550,SUR,,,,,RUB
17,EQOB,2018-10-24,Мечел 14об,RU000A0JR0J0,13,344149.54,100.24,100.35,100.26,100.26,10.52,100.28,11.67,100.34,624,,100.17,100.26,0.0,845108.46,0.0,2020-02-25,125,11.61,,,,33.6,2019-02-26,2018-10-24,550,SUR,,,,,RUB
18,EQOB,2018-10-25,Мечел 14об,RU000A0JR0J0,23,272622.55,100.2,100.39,100.2,100.2,10.71,100.34,11.85,100.3,494,,100.3,100.2,0.0,504183.56,0.0,2020-02-25,124,11.4,,,,33.6,2019-02-26,2018-10-25,550,SUR,,,,,RUB
19,EQOB,2018-10-26,Мечел 14об,RU000A0JR0J0,29,352143.48,100.11,100.4,100.35,100.35,10.89,100.35,11.36,100.39,638,,100.35,100.35,0.0,547522.86,0.0,2020-02-25,123,11.36,,,,33.6,2019-02-26,2018-10-26,550,SUR,,,,,RUB
20,EQOB,2018-10-29,Мечел 14об,RU000A0JR0J0,25,195958.39,100.23,100.39,100.33,100.33,11.44,100.36,11.4,100.39,355,,100.36,100.33,0.0,531535.92,0.0,2020-02-25,120,11.3,,,,33.6,2019-02-26,2018-10-29,550,SUR,,,,,RUB
21,EQOB,2018-10-30,Мечел 14об,RU000A0JR0J0,46,1229603.76,100.0,100.4,100.29,100.0,11.63,100.12,11.52,100.38,2233,100.12,100.12,100.0,1229603.76,1229603.76,1229603.76,2020-02-25,119,12.09,,,,33.6,2019-02-26,2018-10-30,550,SUR,,,,,RUB
22,EQOB,2018-10-31,Мечел 14об,RU000A0JR0J0,19,520084.6,100.05,100.2,100.2,100.2,11.81,100.06,11.81,100.2,945,100.06,100.06,100.2,520084.6,520084.6,520084.6,2020-02-25,118,12.29,,,,33.6,2019-02-26,2018-10-31,550,SUR,,,,,RUB
23,EQOB,2018-11-01,Мечел 14об,RU000A0JR0J0,9,83263.2,100.14,100.33,100.33,100.33,12.0,100.26,11.36,100.33,151,100.09,100.09,100.33,603347.8,517447.07,603347.8,2020-02-25,117,11.6,,,,33.6,2019-02-26,2018-11-01,550,SUR,,,,,RUB
24,EQOB,2018-11-02,Мечел 14об,RU000A0JR0J0,22,123535.04,100.12,100.34,100.33,100.26,12.18,100.27,11.35,100.34,224,,100.12,100.26,0.0,613462.86,0.0,2020-02-25,116,11.56,,,,33.6,2019-02-26,2018-11-02,550,SUR,,,,,RUB
25,EQOB,2018-11-06,Мечел 14об,RU000A0JR0J0,37,219800.51,100.11,100.3,100.24,100.24,12.92,100.16,11.62,100.25,399,,100.13,100.24,0.0,833263.37,0.0,2020-02-25,112,11.91,,,,33.6,2019-02-26,2018-11-06,550,SUR,,,,,RUB
26,EQOB,2018-11-07,Мечел 14об,RU000A0JR0J0,33,291737.0,100.02,100.11,100.1,100.07,13.11,100.08,12.11,100.11,530,,100.11,100.07,0.0,501064.33,0.0,2020-02-25,111,12.18,,,,33.6,2019-02-26,2018-11-07,550,SUR,,,,,RUB
