,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,СПбТел 04,RU000A0JS3M7,2,81432.0,101.4,101.8,101.8,101.8,16.42,101.79,9.82,101.4,80,101.71,101.72,101.8,4212992.2,4119535.5,4212992.2,2022-01-31,619,9.83,,,,53.35,2020-08-03,2018-10-01,1000,SUR,,9.7836,,2020-08-06,RUB
1,EQOB,2018-10-02,СПбТел 04,RU000A0JS3M7,6,4047568.0,101.8,101.8,101.8,101.8,16.71,101.8,9.82,101.8,3976,101.8,101.8,101.8,6362699.0,6170090.0,6362699.0,2022-01-31,618,9.82,,,,53.35,2020-08-03,2018-10-02,1000,SUR,,9.782,,2020-08-06,RUB
2,EQOB,2018-10-03,СПбТел 04,RU000A0JS3M7,4,6036740.0,101.8,101.8,101.8,101.8,17.0,101.8,9.82,101.8,5930,101.8,101.8,101.8,10084308.0,10084308.0,10084308.0,2022-01-31,617,9.82,,,,53.35,2020-08-03,2018-10-03,1000,SUR,,9.7805,,2020-08-06,RUB
3,EQOB,2018-10-04,СПбТел 04,RU000A0JS3M7,4,42800.0,101.8,102.0,101.8,101.8,17.3,101.9,9.82,102.0,42,101.8,101.8,101.8,10127108.0,8170512.0,10127108.0,2022-01-31,616,9.76,,,,53.35,2020-08-03,2018-10-04,1000,SUR,,9.7782,,2020-08-06,RUB
4,EQOB,2018-10-05,СПбТел 04,RU000A0JS3M7,2,84756.0,101.95,102.2,102.2,102.2,17.59,102.12,9.57,101.95,83,101.81,101.81,102.2,6164296.0,6164296.0,6164296.0,2022-01-31,615,9.62,,,,53.35,2020-08-03,2018-10-05,1000,SUR,,9.5268,,2020-08-06,RUB
5,EQOB,2018-10-08,СПбТел 04,RU000A0JS3M7,2,101178.0,102.2,102.2,102.2,102.2,18.47,102.2,9.56,102.2,99,101.81,101.82,102.2,10313042.0,3282734.0,10313042.0,2022-01-31,612,9.56,,,,53.35,2020-08-03,2018-10-08,1000,SUR,,9.5205,,2020-08-06,RUB
6,EQOB,2018-10-09,СПбТел 04,RU000A0JS3M7,0,0.0,,,,102.2,18.76,,9.56,,0,101.81,101.82,102.2,6265474.0,3282734.0,6265474.0,2022-01-31,611,,,,,53.35,2020-08-03,2018-10-08,1000,SUR,,9.5367,,2020-08-06,RUB
7,EQOB,2018-10-10,СПбТел 04,RU000A0JS3M7,0,0.0,,,,102.2,19.05,,9.56,,0,101.78,101.82,102.2,14526034.2,3282734.0,14526034.2,2022-01-31,610,,,,,53.35,2020-08-03,2018-10-08,1000,SUR,,9.552999999999999,,2020-08-06,RUB
8,EQOB,2018-10-11,СПбТел 04,RU000A0JS3M7,0,0.0,,,,102.2,19.35,,9.55,,0,101.81,101.82,102.2,12628173.0,3282734.0,12628173.0,2022-01-31,609,,,,,53.35,2020-08-03,2018-10-08,1000,SUR,,9.5693,,2020-08-06,RUB
9,EQOB,2018-10-12,СПбТел 04,RU000A0JS3M7,0,0.0,,,,102.2,19.64,,9.55,,0,101.81,101.82,102.2,10394474.0,3282734.0,10394474.0,2022-01-31,608,,,,,53.35,2020-08-03,2018-10-08,1000,SUR,,9.5857,,2020-08-06,RUB
