,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВЭБ.РФ 21,RU000A0JS4Z7,2,164324.0,100.8,100.85,100.8,100.8,7.4,100.81,8.18,100.85,163,,100.76,100.8,0.0,17679791.7,0.0,2032-02-17,155,8.15,,,,49.86,2019-03-05,2018-10-01,1000,SUR,,8.073,,2019-03-07,RUB
1,EQOB,2018-10-02,ВЭБ.РФ 21,RU000A0JS4Z7,1,25212.5,100.85,100.85,100.85,100.85,7.67,100.85,8.04,100.85,25,,100.76,100.85,0.0,17701977.5,0.0,2032-02-17,154,8.04,,,,49.86,2019-03-05,2018-10-02,1000,SUR,,7.9351,,2019-03-07,RUB
2,EQOB,2018-10-03,ВЭБ.РФ 21,RU000A0JS4Z7,8,26199978.7,100.55,100.8,100.8,100.8,7.95,100.77,8.15,100.56,26000,100.77,100.77,100.8,26389515.2,26349175.2,26389515.2,2032-02-17,153,8.22,,,,49.86,2019-03-05,2018-10-03,1000,SUR,,8.0434,,2019-03-07,RUB
3,EQOB,2018-10-04,ВЭБ.РФ 21,RU000A0JS4Z7,0,0.0,,,,100.8,8.22,,8.13,,0,100.78,100.77,100.8,28406515.2,26349175.2,28406515.2,2032-02-17,152,,,,,49.86,2019-03-05,2018-10-03,1000,SUR,,8.0978,,2019-03-07,RUB
4,EQOB,2018-10-05,ВЭБ.РФ 21,RU000A0JS4Z7,2,18122.4,100.56,100.8,100.56,100.56,8.49,100.68,8.74,100.8,18,100.77,100.77,100.56,26218101.1,26218101.1,26218101.1,2032-02-17,151,8.43,,,,49.86,2019-03-05,2018-10-05,1000,SUR,,8.6269,,2019-03-07,RUB
5,EQOB,2018-10-08,ВЭБ.РФ 21,RU000A0JS4Z7,2,50280.1,100.56,100.57,100.56,100.56,9.32,100.56,8.71,100.57,50,100.77,100.77,100.56,26293593.7,26243243.5,26293593.7,2032-02-17,148,8.71,,,,49.86,2019-03-05,2018-10-08,1000,SUR,,8.5905,,2019-03-07,RUB
6,EQOB,2018-10-09,ВЭБ.РФ 21,RU000A0JS4Z7,1,6046.2,100.77,100.77,100.77,100.77,9.59,100.77,8.14,100.77,6,100.77,100.77,100.77,26274427.4,26239224.7,26274427.4,2032-02-17,147,8.14,,,,49.86,2019-03-05,2018-10-09,1000,SUR,,8.0312,,2019-03-07,RUB
7,EQOB,2018-10-10,ВЭБ.РФ 21,RU000A0JS4Z7,2,10077.0,100.77,100.77,100.77,100.77,9.86,100.77,8.13,100.77,10,100.77,100.8,100.77,28491040.9,16247805.7,28491040.9,2032-02-17,146,8.13,,,,49.86,2019-03-05,2018-10-10,1000,SUR,,8.0168,,2019-03-07,RUB
8,EQOB,2018-10-11,ВЭБ.РФ 21,RU000A0JS4Z7,0,0.0,,,,100.77,10.14,,8.11,,0,100.77,100.8,100.77,28491040.9,16247805.7,28491040.9,2032-02-17,145,,,,,49.86,2019-03-05,2018-10-10,1000,SUR,,8.0735,,2019-03-07,RUB
9,EQOB,2018-10-12,ВЭБ.РФ 21,RU000A0JS4Z7,7,18872002.0,100.6,100.65,100.6,100.6,10.41,100.61,8.55,100.65,18757,100.61,100.61,100.6,18938405.3,18888125.2,18938405.3,2032-02-17,144,8.53,,,,49.86,2019-03-05,2018-10-12,1000,SUR,,8.4374,,2019-03-07,RUB
