history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;РСХБ 16;RU000A0JS6N8;1;8923.5;99.15;99.15;99.15;99.15;31.64;99.15;8.48;99.15;9;99.27;99.3;99.15;20420559.5;10495559.5;20420559.5;2022-04-04;183;8.48;;;;32.91;2019-04-08;2018-10-01;1000;SUR;;8.3904;;2019-04-10;RUB
EQOB;2018-10-02;РСХБ 16;RU000A0JS6N8;0;0;;;;99.15;31.82;;8.49;;0;99.27;99.3;99.15;23829797;10495559.5;23829797;2022-04-04;182;;;;;32.91;2019-04-08;2018-10-01;1000;SUR;;8.4378;;2019-04-10;RUB
EQOB;2018-10-03;РСХБ 16;RU000A0JS6N8;4;482130;99;99;99;99;32.01;99;8.82;99;487;99.27;99.29;99;20902689.5;10541399.5;20902689.5;2022-04-04;181;8.82;;;;32.91;2019-04-08;2018-10-03;1000;SUR;;8.7252;;2019-04-10;RUB
EQOB;2018-10-04;РСХБ 16;RU000A0JS6N8;0;0;;;;99;32.19;;8.83;;0;99.26;99.29;99;27884527;10541399.5;27884527;2022-04-04;180;;;;;32.91;2019-04-08;2018-10-03;1000;SUR;;8.7752;;2019-04-10;RUB
EQOB;2018-10-05;РСХБ 16;RU000A0JS6N8;1;3000;100;100;100;100;32.37;100;6.71;100;3;99.26;99.29;100;27788627;10539434.5;27788627;2022-04-04;179;6.71;;;;32.91;2019-04-08;2018-10-05;1000;SUR;;6.6353;;2019-04-10;RUB
EQOB;2018-10-08;РСХБ 16;RU000A0JS6N8;3;20439.6;97.02;99.3;99.3;99.3;0;97.33;8.22;99;21;99.26;99.11;99.3;24335366.6;847349.1;24335366.6;2022-04-04;182;12.66;;;;32.91;2019-04-08;2018-10-08;1000;SUR;;15.6126;;2019-04-10;RUB
EQOB;2018-10-09;РСХБ 16;RU000A0JS6N8;10;20398110.1;97.1;99.44;99.3;99.3;0.18;99.28;8.23;97.1;20547;99.28;99.28;99.3;20398110.1;20398110.1;20398110.1;2022-04-04;181;8.27;;;;32.91;2019-04-08;2018-10-09;1000;SUR;;8.1404;;2019-04-10;RUB
EQOB;2018-10-10;РСХБ 16;RU000A0JS6N8;10;29780576;97.1;99.3;99.15;99.15;0.36;99.15;8.57;97.11;30035;99.15;99.15;99.15;29780576;29780576;29780576;2022-04-04;180;8.57;;;;32.91;2019-04-08;2018-10-10;1000;SUR;;8.4759;;2019-04-10;RUB
EQOB;2018-10-11;РСХБ 16;RU000A0JS6N8;7;73412.4;99.16;99.44;99.17;99.17;0.54;99.21;8.54;99.16;74;99.15;99.15;99.17;29853988.4;9146628.9;29853988.4;2022-04-04;179;8.45;;;;32.91;2019-04-08;2018-10-11;1000;SUR;;8.4409;;2019-04-10;RUB
EQOB;2018-10-12;РСХБ 16;RU000A0JS6N8;5;15658465;99.15;99.3;99.3;99.3;0.72;99.29;8.25;99.3;15770;99.29;99.29;99.3;15731877.4;15727911;15731877.4;2022-04-04;178;8.28;;;;32.91;2019-04-08;2018-10-12;1000;SUR;;8.1622;;2019-04-10;RUB
EQOB;2018-10-15;РСХБ 16;RU000A0JS6N8;5;5155035.5;99.15;99.4;99.15;99.15;1.27;99.36;8.62;99.35;5188;99.31;99.31;99.15;20813500.5;20813500.5;20813500.5;2022-04-04;175;8.14;;;;32.91;2019-04-08;2018-10-15;1000;SUR;;8.5201;;2019-04-10;RUB
EQOB;2018-10-16;РСХБ 16;RU000A0JS6N8;4;6422113.5;99.2;99.35;99.2;99.34;1.45;99.34;8.51;99.35;6465;99.32;99.33;99.34;27235614;21507149;27235614;2022-04-04;174;8.19;;;;32.91;2019-04-08;2018-10-16;1000;SUR;;8.4164;;2019-04-10;RUB
