history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Роснефть04;RU000A0JT940;1;3015;100.5;100.5;100.5;100.5;34.85;100.5;7.9;100.5;3;100.31;100.29;100.5;735277;634827;735277;2022-10-17;1250;7.9;;;;39.39;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;Роснефть04;RU000A0JT940;5;5901.6;98.36;98.36;98.36;98.36;35.06;98.36;8.56;98.36;6;100.29;100.24;98.36;741178.6;540278.6;741178.6;2022-10-17;1246;8.56;;;;39.39;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;Роснефть04;RU000A0JT940;1;3952;98.8;98.8;98.8;98.8;35.28;98.8;8.42;98.8;4;100.29;100.23;98.8;745130.6;544230.6;745130.6;2022-10-17;1246;8.42;;;;39.39;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;Роснефть04;RU000A0JT940;1;99000;99;99;99;99;35.5;99;8.36;99;100;100.14;99.95;99;845141.6;512718.6;845141.6;2022-10-17;1245;8.36;;;;39.39;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;Роснефть04;RU000A0JT940;1;1004.9;100.49;100.49;100.49;100.49;35.71;100.49;7.9;100.49;1;100.14;99.95;100.49;846146.5;513723.5;846146.5;2022-10-17;1246;7.9;;;;39.39;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;Роснефть04;RU000A0JT940;3;60030;100;100.3;100;100;36.36;100.05;8.05;100.3;60;;99.92;100;0;523603.5;0;2022-10-17;1243;8.04;;;;39.39;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;Роснефть04;RU000A0JT940;1;3000;100;100;100;100;36.58;100;8.05;100;3;100.13;99.92;100;908165.5;526603.5;908165.5;2022-10-17;1241;8.05;;;;39.39;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;Роснефть04;RU000A0JT940;3;11032.7;100.29;100.3;100.3;100.3;36.79;100.3;7.96;100.3;11;100.13;99.93;100.3;919198.2;537636.2;919198.2;2022-10-17;1241;7.96;;;;39.39;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;Роснефть04;RU000A0JT940;4;34000;100;100;100;100;37.01;100;8.05;100;34;;99.94;100;0;571636.2;0;2022-10-17;1239;8.05;;;;39.39;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;Роснефть04;RU000A0JT940;1;13000;100;100;100;100;37.23;100;8.05;100;13;;99.94;100;0;584636.2;0;2022-10-17;1238;8.05;;;;39.39;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;Роснефть04;RU000A0JT940;2;19093.4;100.49;100.5;100.49;100.49;37.88;100.49;7.9;100.5;19;;99.96;100.49;0;603729.6;0;2022-10-17;1236;7.9;;;;39.39;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;Роснефть04;RU000A0JT940;13;63918.7;96.82;100.5;99.09;98.6;38.09;98.34;8.34;100.5;65;;99.8;98.6;0;667648.3;0;2022-10-17;1232;8.57;;;;39.39;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;Роснефть04;RU000A0JT940;5;52255.3;97.13;99.5;99.5;99.5;38.31;98.59;8.21;99.5;53;;99.5;99.5;0;519403.6;0;2022-10-17;1231;8.49;;;;39.39;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;Роснефть04;RU000A0JT940;0;0;;;;99.5;38.53;;8.21;;0;;99.5;99.5;0;519403.6;0;2022-10-17;1232;;;;;39.39;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-19;Роснефть04;RU000A0JT940;5;62289.6;99;100.5;100.5;100.45;38.74;100.47;7.9;100.49;62;;99.61;100.45;0;581693.2;0;2022-10-17;1232;7.91;;;;39.39;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;Роснефть04;RU000A0JT940;2;7865.7;98.01;100.5;100.5;98.32;0;98.32;7.9;98.01;8;;99.59;98.32;0;589558.9;0;2022-10-17;1275;8.58;;;;39.39;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;Роснефть04;RU000A0JT940;0;0;;;;98.32;0.22;;7.9;;0;;99.59;98.32;0;589558.9;0;2022-10-17;1275;;;;;39.39;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-24;Роснефть04;RU000A0JT940;5;4935.3;96.5;100.09;99.93;99.93;0.43;98.71;8.08;96.5;5;;99.58;99.93;0;594494.2;0;2022-10-17;1273;8.46;;;;39.39;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;Роснефть04;RU000A0JT940;1;20098;100.49;100.49;100.49;100.49;0.65;100.49;7.9;100.49;20;;99.5;100.49;0;514392.2;0;2022-10-17;1274;7.9;;;;39.39;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;Роснефть04;RU000A0JT940;3;18845.9;98.01;100.25;100.25;100.25;0.87;99.19;7.98;98.01;19;;99.48;100.25;0;533238.1;0;2022-10-17;1272;8.31;;;;39.39;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;Роснефть04;RU000A0JT940;2;51125;100;100.25;100;100;1.52;100.25;8.06;100.25;51;;99.52;100;0;521494.5;0;2022-10-17;1270;7.98;;;;39.39;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;Роснефть04;RU000A0JT940;0;0;;;;100;1.73;;8.06;;0;;99.52;100;0;521494.5;0;2022-10-17;1268;;;;;39.39;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-31;Роснефть04;RU000A0JT940;0;0;;;;100;1.95;;8.05;;0;;99.52;100;0;521494.5;0;2022-10-17;1267;;;;;39.39;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-11-01;Роснефть04;RU000A0JT940;1;10000;100;100;100;100;2.16;100;8.06;100;10;;99.53;100;0;531494.5;0;2022-10-17;1267;8.06;;;;39.39;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;Роснефть04;RU000A0JT940;2;498000;100;100;100;100;2.38;100;8.05;100;498;99.98;100.01;100;610869.9;599068.2;610869.9;2022-10-17;1266;8.05;;;;39.39;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;Роснефть04;RU000A0JT940;1;39996;99.99;99.99;99.99;99.99;3.25;99.99;8.06;99.99;40;100;100.01;99.99;643000.2;638064.9;643000.2;2022-10-17;1262;8.06;;;;39.39;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;Роснефть04;RU000A0JT940;0;0;;;;99.99;3.46;;8.06;;0;100;100.01;99.99;643000.2;638064.9;643000.2;2022-10-17;1261;;;;;39.39;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-08;Роснефть04;RU000A0JT940;2;1999.9;99.99;100;99.99;99.99;3.68;100;8.06;100;2;100.01;100.02;99.99;640064.8;611145.9;640064.8;2022-10-17;1260;8.05;;;;39.39;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;Роснефть04;RU000A0JT940;9;151348.1;96.5;99.99;96.5;96.55;3.9;97.02;9.17;99.99;156;;99.32;96.55;0;678344;0;2022-10-17;1256;9;;;;39.39;;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;Роснефть04;RU000A0JT940;5;104058.6;96.98;99;98.3;98.3;4.55;97.25;8.59;96.98;107;;99.04;98.3;0;782402.6;0;2022-10-17;1253;8.93;;;;39.39;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;Роснефть04;RU000A0JT940;3;12710;96;98;98;98;4.76;97.77;8.69;96;13;;99.02;98;0;795112.6;0;2022-10-17;1252;8.76;;;;39.39;;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;Роснефть04;RU000A0JT940;0;0;;;;98;4.98;;8.69;;0;;99.02;98;0;795112.6;0;2022-10-17;1253;;;;;39.39;;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-15;Роснефть04;RU000A0JT940;6;50970;98;98.1;98.09;98.09;5.19;98.02;8.66;98.1;52;;98.96;98.09;0;846082.6;0;2022-10-17;1251;8.68;;;;39.39;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;Роснефть04;RU000A0JT940;5;114800.4;99;99.95;99.83;99.83;5.41;99.83;8.11;99.95;115;;99.06;99.83;0;960883;0;2022-10-17;1252;8.11;;;;39.39;;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;Роснефть04;RU000A0JT940;9;28670.4;97.01;99.8;99;99;6.06;98.86;8.37;97.01;29;;98.16;99;0;504553.4;0;2022-10-17;1248;8.41;;;;39.39;;2018-11-19;1000;SUR;;;;;RUB
