history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Башнефть06;RU000A0JTM28;4;2027426;96.11;96.5;96.5;96.2;11.6;96.5;8.87;96.5;2101;96.49;96.5;96.2;2067885.8;2048676.4;2067885.8;2023-01-31;1356;8.87;;;;38.39;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;Башнефть06;RU000A0JTM28;9;1921605.4;96.89;97.49;96.9;96.9;11.81;96.9;8.75;96.99;1983;96.7;96.9;96.9;3949031.4;1924500.4;3949031.4;2023-01-31;1355;8.75;;;;38.39;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;Башнефть06;RU000A0JTM28;9;68670.1;96.1;97;96.9;96.9;12.02;96.72;8.75;97;71;96.9;96.87;96.9;1990275.5;549279.5;1990275.5;2023-01-31;1354;8.8;;;;38.39;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;Башнефть06;RU000A0JTM28;6;318301;96.4;96.8;96.45;96.45;12.24;96.45;8.89;96.8;330;;96.69;96.45;0;726121.1;0;2023-01-31;1353;8.89;;;;38.39;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;Башнефть06;RU000A0JTM28;5;32861;96.65;96.65;96.65;96.65;12.45;96.65;8.83;96.65;34;;96.69;96.65;0;758982.1;0;2023-01-31;1352;8.83;;;;38.39;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;Башнефть06;RU000A0JTM28;5;78466.6;96.06;96.9;96.85;96.85;13.08;96.87;8.77;96.06;81;;96.7;96.85;0;837448.7;0;2023-01-31;1349;8.76;;;;38.39;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;Башнефть06;RU000A0JTM28;2;77280.5;96.6;96.61;96.6;96.6;13.29;96.6;8.84;96.61;80;;96.55;96.6;0;506909.1;0;2023-01-31;1348;8.84;;;;38.39;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;Башнефть06;RU000A0JTM28;5;442592.5;96.03;96.85;96.84;96.84;13.5;96.85;8.77;96.85;457;96.82;96.81;96.84;598339.6;546991;598339.6;2023-01-31;1347;8.77;;;;38.39;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;Башнефть06;RU000A0JTM28;3;25116;96.6;96.6;96.6;96.6;13.71;96.6;8.84;96.6;26;96.8;96.8;96.6;544989;544989;544989;2023-01-31;1346;8.84;;;;38.39;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;Башнефть06;RU000A0JTM28;2;3873.2;96.83;96.83;96.83;96.83;13.92;96.83;8.77;96.83;4;;96.8;96.83;0;544031.7;0;2023-01-31;1345;8.77;;;;38.39;;2018-10-12;1000;SUR;;;;;RUB
