,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Роснефть08,RU000A0JTS22,6,1030638.0,94.89,95.0,94.89,94.89,3.4,94.9,8.9,94.89,1086,94.88,94.88,94.89,1229608.1,1229608.1,1229608.1,2023-03-10,1402,8.9,,,,36.4,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Роснефть08,RU000A0JTS22,1,5693.4,94.89,94.89,94.89,94.89,3.6,94.89,8.9,94.89,6,94.88,94.87,94.89,1235301.5,1154551.5,1235301.5,2023-03-10,1401,8.9,,,,36.4,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Роснефть08,RU000A0JTS22,7,82633.4,94.98,94.99,94.98,94.98,3.8,94.98,8.87,94.98,87,94.91,94.91,94.98,1118964.8,1089521.3,1118964.8,2023-03-10,1400,8.87,,,,36.4,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Роснефть08,RU000A0JTS22,5,8469.0,93.0,94.98,94.98,94.97,4.0,94.1,8.88,94.03,9,,94.9,94.97,0.0,1097990.3,0.0,2023-03-10,1398,9.14,,,,36.4,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Роснефть08,RU000A0JTS22,0,0.0,,,,94.97,4.2,,8.88,,0,,94.9,94.97,0.0,1097990.3,0.0,2023-03-10,1398,,,,,36.4,,2018-10-04,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Роснефть08,RU000A0JTS22,2,14235.0,94.9,94.9,94.9,94.9,4.8,94.9,8.9,94.9,15,,94.9,94.9,0.0,1112225.3,0.0,2023-03-10,1395,8.9,,,,36.4,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Роснефть08,RU000A0JTS22,1,2845.5,94.85,94.85,94.85,94.85,5.0,94.85,8.92,94.85,3,,94.9,94.85,0.0,1115070.8,0.0,2023-03-10,1394,8.92,,,,36.4,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Роснефть08,RU000A0JTS22,2,158549.8,94.94,94.94,94.94,94.94,5.2,94.94,8.89,94.94,167,,94.9,94.94,0.0,1273620.6,0.0,2023-03-10,1393,8.89,,,,36.4,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Роснефть08,RU000A0JTS22,3,47330.0,94.5,94.7,94.7,94.7,5.4,94.66,8.96,94.5,50,94.88,94.9,94.7,1549364.2,1320950.6,1549364.2,2023-03-10,1392,8.98,,,,36.4,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Роснефть08,RU000A0JTS22,5,14190.9,94.5,94.95,94.95,94.82,5.6,94.61,8.89,94.5,15,,94.89,94.82,0.0,1335141.5,0.0,2023-03-10,1391,8.99,,,,36.4,,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,Роснефть08,RU000A0JTS22,1,4725.0,94.5,94.5,94.5,94.5,6.2,94.5,9.03,94.5,5,,94.89,94.5,0.0,1339866.5,0.0,2023-03-10,1387,9.03,,,,36.4,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,Роснефть08,RU000A0JTS22,12,131021.6,94.8,94.95,94.95,94.94,6.4,94.94,8.89,94.95,138,,94.89,94.94,0.0,521888.1,0.0,2023-03-10,1387,8.9,,,,36.4,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,Роснефть08,RU000A0JTS22,5,4743.0,94.8,94.9,94.9,94.88,6.6,94.86,8.91,94.8,5,,94.89,94.88,0.0,526631.1,0.0,2023-03-10,1386,8.92,,,,36.4,,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,Роснефть08,RU000A0JTS22,0,0.0,,,,94.88,6.8,,8.91,,0,,94.89,94.88,0.0,526631.1,0.0,2023-03-10,1385,,,,,36.4,,2018-10-17,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,Роснефть08,RU000A0JTS22,7,9487.1,94.79,94.9,94.9,94.87,7.0,94.87,8.91,94.84,10,,94.89,94.87,0.0,536118.2,0.0,2023-03-10,1384,8.92,,,,36.4,,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,Роснефть08,RU000A0JTS22,12,49360.6,94.01,94.97,94.97,94.97,7.6,94.92,8.89,94.01,52,,94.89,94.97,0.0,507644.3,0.0,2023-03-10,1381,8.91,,,,36.4,,2018-10-22,1000,SUR,,,,,RUB
