history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ТГК-2 БО-2;RU000A0JU7L6;16;1594260.56;100.2;100.43;100.3;100.3;12.9;100.32;11.25;100.43;6357;100.32;100.32;100.3;1594260.56;1594260.56;1594260.56;2019-04-26;111;11.18;;;;14.96;;2018-10-01;250;SUR;;;;;RUB
EQOB;2018-10-02;ТГК-2 БО-2;RU000A0JU7L6;23;151545.66;100.27;100.49;100.27;100.3;12.99;100.36;11.34;100.43;604;;100.31;100.3;0;1255848.14;0;2019-04-26;110;11.02;;;;14.96;;2018-10-02;250;SUR;;;;;RUB
EQOB;2018-10-03;ТГК-2 БО-2;RU000A0JU7L6;40;241216.03;100.29;100.45;100.35;100.36;13.07;100.4;11.05;100.43;961;;100.32;100.36;0;1497064.17;0;2019-04-26;109;10.87;;;;14.96;;2018-10-03;250;SUR;;;;;RUB
EQOB;2018-10-04;ТГК-2 БО-2;RU000A0JU7L6;58;538653.44;100.35;100.55;100.35;100.36;13.15;100.5;11.04;100.43;2144;100.5;100.5;100.36;538653.44;538653.44;538653.44;2019-04-26;108;10.51;;;;14.96;;2018-10-04;250;SUR;;;;;RUB
EQOB;2018-10-05;ТГК-2 БО-2;RU000A0JU7L6;29;426204.02;100.34;100.69;100.34;100.34;13.23;100.52;11.07;100.69;1696;;100.51;100.34;0;540466.66;0;2019-04-26;107;10.43;;;;14.96;;2018-10-05;250;SUR;;;;;RUB
EQOB;2018-10-08;ТГК-2 БО-2;RU000A0JU7L6;29;646886.87;100.2;100.48;100.27;100.27;13.48;100.37;11.3;100.48;2578;100.37;100.37;100.27;646886.87;646886.87;646886.87;2019-04-26;104;10.93;;;;14.96;;2018-10-08;250;SUR;;;;;RUB
EQOB;2018-10-09;ТГК-2 БО-2;RU000A0JU7L6;16;949028.07;100.32;100.67;100.64;100.64;13.56;100.59;9.93;100.51;3774;100.59;100.59;100.64;949028.07;949028.07;949028.07;2019-04-26;103;10.11;;;;14.96;;2018-10-09;250;SUR;;;;;RUB
EQOB;2018-10-10;ТГК-2 БО-2;RU000A0JU7L6;18;140190.76;100.4;100.5;100.5;100.5;13.64;100.5;10.43;100.5;558;;100.6;100.5;0;531691.11;0;2019-04-26;102;10.43;;;;14.96;;2018-10-10;250;SUR;;;;;RUB
EQOB;2018-10-11;ТГК-2 БО-2;RU000A0JU7L6;10;196365.76;100.34;100.5;100.46;100.46;13.73;100.44;10.56;100.5;782;;100.55;100.46;0;577156.87;0;2019-04-26;101;10.63;;;;14.96;;2018-10-11;250;SUR;;;;;RUB
EQOB;2018-10-12;ТГК-2 БО-2;RU000A0JU7L6;14;327593.67;100.3;100.49;100.4;100.4;13.81;100.33;10.77;100.49;1306;;100.37;100.4;0;512150.68;0;2019-04-26;100;11.04;;;;14.96;;2018-10-12;250;SUR;;;;;RUB
EQOB;2018-10-15;ТГК-2 БО-2;RU000A0JU7L6;65;2195614.05;100.2;100.48;100.26;100.26;14.05;100.31;11.3;100.29;8755;100.31;100.31;100.26;2195614.05;2195614.05;2195614.05;2019-04-26;97;11.1;;;;14.96;;2018-10-15;250;SUR;;;;;RUB
EQOB;2018-10-16;ТГК-2 БО-2;RU000A0JU7L6;30;772636.51;100.3;100.47;100.44;100.43;14.14;100.34;10.56;100.46;3080;100.34;100.34;100.43;772636.51;772636.51;772636.51;2019-04-26;96;10.96;;;;14.96;;2018-10-16;250;SUR;;;;;RUB
