history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Мордовия01;RU000A0JU8Q3;25;1941487.65;100.05;100.15;100.14;100.14;5.32;100.15;6.92;100.1;6462;100.15;100.15;100.14;1941487.65;1941487.65;1941487.65;2018-10-22;21;6.74;;;;6.92;;2018-10-01;300;SUR;;;6.7082;;RUB
EQOB;2018-10-02;Мордовия01;RU000A0JU8Q3;3;394451.64;100.14;100.15;100.15;100.15;5.4;100.14;6.58;100.14;1313;100.15;100.14;100.15;2335939.29;501100.74;2335939.29;2018-10-22;20;6.77;;;;6.92;;2018-10-02;300;SUR;;;6.3847;;RUB
EQOB;2018-10-03;Мордовия01;RU000A0JU8Q3;15;5186470.38;100.06;100.12;100.11;100.11;5.47;100.11;7.28;100.06;17269;100.11;100.11;100.11;5186470.38;5186470.38;5186470.38;2018-10-22;19;7.28;;;;6.92;;2018-10-03;300;SUR;;;7.0359;;RUB
EQOB;2018-10-04;Мордовия01;RU000A0JU8Q3;10;2720928.36;100.01;100.28;100.14;100.14;5.55;100.14;6.49;100.28;9057;100.12;100.14;100.14;7889348.34;2801395.98;7889348.34;2018-10-22;18;6.49;;;;6.92;;2018-10-04;300;SUR;;;6.296;;RUB
EQOB;2018-10-05;Мордовия01;RU000A0JU8Q3;1;300.42;100.14;100.14;100.14;100.14;5.63;100.14;6.28;100.14;1;100.12;100.14;100.14;7889648.76;2801396.07;7889648.76;2018-10-22;17;6.28;;;;6.92;;2018-10-05;300;SUR;;;6.1034;;RUB
EQOB;2018-10-08;Мордовия01;RU000A0JU8Q3;10;866367.39;100;100.12;100;100.06;5.85;100.1;9.53;100.1;2885;100.1;100.1;100.06;866367.39;866367.39;866367.39;2018-10-22;14;6.77;;;;6.92;;2018-10-08;300;SUR;;;9.121;;RUB
EQOB;2018-10-09;Мордовия01;RU000A0JU8Q3;10;735362.01;100.08;100.12;100.09;100.09;5.93;100.09;6.82;100.11;2449;100.09;100.09;100.09;735362.01;735362.01;735362.01;2018-10-22;13;6.82;;;;6.92;;2018-10-09;300;SUR;;;6.602;;RUB
EQOB;2018-10-10;Мордовия01;RU000A0JU8Q3;15;638608.95;100.01;100.07;100.01;100.01;6.01;100.03;9.13;100.06;2128;100.03;100.03;100.01;638608.95;638608.95;638608.95;2018-10-22;12;8.48;;;;6.92;;2018-10-10;300;SUR;;;8.7461;;RUB
EQOB;2018-10-11;Мордовия01;RU000A0JU8Q3;16;1207293.66;99.9;100.07;100;100;6.08;99.96;9.52;100;4026;99.96;99.96;100;1207293.66;1207293.66;1207293.66;2018-10-22;11;10.95;;;;6.92;;2018-10-11;300;SUR;;;9.1064;;RUB
EQOB;2018-10-12;Мордовия01;RU000A0JU8Q3;8;123634.2;100;100.06;100.06;100.06;6.16;100.03;7.15;100.06;412;99.96;99.93;100.06;1330927.86;642160.38;1330927.86;2018-10-22;10;8.3;;;;6.92;;2018-10-12;300;SUR;;;6.9106;;RUB
EQOB;2018-10-15;Мордовия01;RU000A0JU8Q3;12;80097.51;99.9;100.04;100.04;100.04;6.39;100;7.22;99.9;267;;99.94;100.04;0;722257.89;0;2018-10-22;7;9.43;;;;6.92;;2018-10-15;300;SUR;;;6.9748;;RUB
EQOB;2018-10-16;Мордовия01;RU000A0JU8Q3;10;125732.04;100;100.03;100.03;100.03;6.46;100.03;7.61;100.03;419;;99.95;100.03;0;847989.93;0;2018-10-22;6;7.61;;;;6.92;;2018-10-16;300;SUR;;;7.3425;;RUB
EQOB;2018-10-17;Мордовия01;RU000A0JU8Q3;16;4407230.16;100;100.03;100;100;6.54;100.01;9.47;100.02;14689;100.01;100.01;100;4407230.16;4407230.16;4407230.16;2018-10-22;5;8.69;;;;6.92;;2018-10-17;300;SUR;;;9.0494;;RUB
EQOB;2018-10-18;Мордовия01;RU000A0JU8Q3;8;259515.84;100;100.02;100.01;100.01;6.61;100.01;8.69;100;865;100.01;100;100.01;4666746;633015.84;4666746;2018-10-22;4;8.69;;;;6.92;;2018-10-18;300;SUR;;;8.3322;;RUB
EQOB;2018-10-19;Мордовия01;RU000A0JU8Q3;14;1219742.85;100.01;100.02;100.02;100.02;6.69;100.02;6.97;100.01;4065;100.02;100.02;100.02;1219742.85;1219742.85;1219742.85;2018-10-22;3;6.97;;;;6.92;;2018-10-19;300;SUR;;;6.7427;;RUB
EQOB;2018-10-22;Мордовия01;RU000A0JU8Q3;0;0;;;;100.02;0;;;;0;100.02;100.02;100.02;1219742.85;1129724.88;1219742.85;2018-10-22;;;;;;;;2018-10-19;300;SUR;;;0;;RUB


