,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.42,2.53,,6.6,,0,100.11,100.25,100.42,5582408.7,505258.2,5582408.7,2018-12-20,80.0,,,,,20.94,,2018-09-28,1000,SUR,,,6.7573,,RUB
1,EQOB,2018-10-02,ВЭБ.РФ Б04,RU000A0JUD83,1,699788.0,100.4,100.4,100.4,100.4,2.76,100.4,6.68,100.4,697,100.34,100.36,100.4,1246165.7,1057816.8,1246165.7,2018-12-20,79.0,6.68,,,,20.94,,2018-10-02,1000,SUR,,,6.5075,,RUB
2,EQOB,2018-10-03,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.4,2.99,,6.65,,0,100.34,100.36,100.4,1220113.7,1057816.8,1220113.7,2018-12-20,78.0,,,,,20.94,,2018-10-02,1000,SUR,,,6.591,,RUB
3,EQOB,2018-10-04,ВЭБ.РФ Б04,RU000A0JUD83,3,106424.0,100.4,100.4,100.4,100.4,3.22,100.4,6.62,100.4,106,100.34,100.37,100.4,1311470.2,998669.2,1311470.2,2018-12-20,77.0,6.62,,,,20.94,,2018-10-04,1000,SUR,,,6.457000000000001,,RUB
4,EQOB,2018-10-05,ВЭБ.РФ Б04,RU000A0JUD83,3,10037027.3,100.3,100.39,100.39,100.39,3.45,100.3,6.65,100.3,10007,100.3,100.31,100.39,11324391.9,11004695.5,11324391.9,2018-12-20,76.0,7.11,,,,20.94,,2018-10-05,1000,SUR,,,6.4792,,RUB
5,EQOB,2018-10-08,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.39,4.14,,6.56,,0,100.31,100.31,100.39,11201268.1,11004695.5,11201268.1,2018-12-20,73.0,,,,,20.94,,2018-10-05,1000,SUR,,,6.7454,,RUB
6,EQOB,2018-10-09,ВЭБ.РФ Б04,RU000A0JUD83,1,3000.0,100.0,100.0,100.0,100.0,4.37,100.0,8.65,100.0,3,100.31,100.31,100.0,11138986.5,10907495.5,11138986.5,2018-12-20,72.0,8.65,,,,20.94,,2018-10-09,1000,SUR,,,8.3635,,RUB
7,EQOB,2018-10-10,ВЭБ.РФ Б04,RU000A0JUD83,1,126126.0,100.1,100.1,100.1,100.1,4.6,100.1,8.09,100.1,126,100.3,100.31,100.1,11265112.5,10974373.7,11265112.5,2018-12-20,71.0,8.09,,,,20.94,,2018-10-10,1000,SUR,,,7.8421,,RUB
8,EQOB,2018-10-11,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.1,4.83,,8.09,,0,100.3,100.31,100.1,11134822.5,10974373.7,11134822.5,2018-12-20,70.0,,,,,20.94,,2018-10-10,1000,SUR,,,7.9542,,RUB
9,EQOB,2018-10-12,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.1,5.06,,8.08,,0,,100.31,100.1,0.0,10974373.7,0.0,2018-12-20,69.0,,,,,20.94,,2018-10-10,1000,SUR,,,8.0694,,RUB
10,EQOB,2018-10-15,ВЭБ.РФ Б04,RU000A0JUD83,4,91300.3,100.33,100.33,100.33,100.33,5.75,100.33,6.69,100.33,91,100.31,100.3,100.33,11063665.6,10258457.6,11063665.6,2018-12-20,66.0,6.69,,,,20.94,,2018-10-15,1000,SUR,,,6.5166,,RUB
11,EQOB,2018-10-16,ВЭБ.РФ Б04,RU000A0JUD83,2,158505.6,100.32,100.32,100.32,100.32,5.98,100.32,6.72,100.32,158,100.3,100.3,100.32,10522383.2,5400959.2,10522383.2,2018-12-20,65.0,6.72,,,,20.94,,2018-10-16,1000,SUR,,,6.5436,,RUB
12,EQOB,2018-10-17,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.32,6.21,,6.69,,0,100.3,100.3,100.32,10522383.2,5400959.2,10522383.2,2018-12-20,64.0,,,,,20.94,,2018-10-16,1000,SUR,,,6.6459,,RUB
13,EQOB,2018-10-18,ВЭБ.РФ Б04,RU000A0JUD83,1,2006.2,100.31,100.31,100.31,100.31,6.44,100.31,6.72,100.31,2,100.3,100.3,100.31,10417965.4,5402965.4,10417965.4,2018-12-20,63.0,6.72,,,,20.94,,2018-10-18,1000,SUR,,,6.5423,,RUB
14,EQOB,2018-10-19,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.31,6.67,,6.69,,0,,100.3,100.31,0.0,5402965.4,0.0,2018-12-20,62.0,,,,,20.94,,2018-10-18,1000,SUR,,,6.6479,,RUB
15,EQOB,2018-10-22,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.31,7.36,,6.59,,0,,100.3,100.31,0.0,5402965.4,0.0,2018-12-20,59.0,,,,,20.94,,2018-10-18,1000,SUR,,,6.9859,,RUB
16,EQOB,2018-10-23,ВЭБ.РФ Б04,RU000A0JUD83,2,2005.8,100.29,100.29,100.29,100.29,7.59,100.29,6.69,100.29,2,,100.3,100.29,0.0,5404971.2,0.0,2018-12-20,58.0,6.69,,,,20.94,,2018-10-23,1000,SUR,,,6.507999999999999,,RUB
17,EQOB,2018-10-24,ВЭБ.РФ Б04,RU000A0JUD83,4,94263.0,100.25,100.29,100.28,100.28,7.82,100.28,6.72,100.29,94,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,57.0,6.72,,,,20.94,,2018-10-24,1000,SUR,,,6.539,,RUB
18,EQOB,2018-10-25,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,8.05,,6.69,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,56.0,,,,,20.94,,2018-10-24,1000,SUR,,,6.6557,,RUB
19,EQOB,2018-10-26,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,8.28,,6.65,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,55.0,,,,,20.94,,2018-10-24,1000,SUR,,,6.7768,,RUB
20,EQOB,2018-10-29,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,8.98,,6.53,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,52.0,,,,,20.94,,2018-10-24,1000,SUR,,,7.1677,,RUB
21,EQOB,2018-10-30,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,9.21,,6.49,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,51.0,,,,,20.94,,2018-10-24,1000,SUR,,,7.3083,,RUB
22,EQOB,2018-10-31,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,9.44,,6.45,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,50.0,,,,,20.94,,2018-10-24,1000,SUR,,,7.4544,,RUB
23,EQOB,2018-11-01,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,9.67,,6.4,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,49.0,,,,,20.94,,2018-10-24,1000,SUR,,,7.6066,,RUB
24,EQOB,2018-11-02,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,9.9,,6.36,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,48.0,,,,,20.94,,2018-10-24,1000,SUR,,,7.765,,RUB
25,EQOB,2018-11-06,ВЭБ.РФ Б04,RU000A0JUD83,0,0.0,,,,100.28,10.82,,6.15,,0,,100.3,100.28,0.0,5498231.3,0.0,2018-12-20,44.0,,,,,20.94,,2018-10-24,1000,SUR,,,8.4709,,RUB
