,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,БинбанкБ04,RU000A0JUFP0,5,4446.7,87.62,89.35,87.62,88.77,0.01,88.93,10.27,89.35,5,,87.47,88.77,0.0,504722.9,0.0,2020-02-07,494,9.07,,,,0.05,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,БинбанкБ04,RU000A0JUFP0,1,876.1,87.61,87.61,87.61,87.61,0.01,87.61,10.3,87.61,1,,87.47,87.61,0.0,505599.0,0.0,2020-02-07,493,10.3,,,,0.05,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,БинбанкБ04,RU000A0JUFP0,0,0.0,,,,87.61,0.01,,10.32,,0,,87.47,87.61,0.0,505599.0,0.0,2020-02-07,492,,,,,0.05,,2018-10-02,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,БинбанкБ04,RU000A0JUFP0,0,0.0,,,,87.61,0.02,,10.34,,0,,87.47,87.61,0.0,505599.0,0.0,2020-02-07,491,,,,,0.05,,2018-10-02,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,БинбанкБ04,RU000A0JUFP0,4,8928.7,88.98,89.36,89.36,89.36,0.02,89.29,8.75,88.98,10,,87.6,89.36,0.0,504562.9,0.0,2020-02-07,490,8.82,,,,0.05,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,БинбанкБ04,RU000A0JUFP0,0,0.0,,,,89.36,0.02,,8.81,,0,,87.6,89.36,0.0,504562.9,0.0,2020-02-07,487,,,,,0.05,,2018-10-05,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,БинбанкБ04,RU000A0JUFP0,8,61237.1,87.0,88.55,88.55,88.55,0.02,87.48,9.57,87.61,70,,87.71,88.55,0.0,514878.8,0.0,2020-02-07,486,10.58,,,,0.05,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,БинбанкБ04,RU000A0JUFP0,4,30107.3,88.5,88.79,88.5,88.5,0.02,88.55,9.64,88.55,34,,87.77,88.5,0.0,515225.7,0.0,2020-02-07,485,9.59,,,,0.05,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,БинбанкБ04,RU000A0JUFP0,1,885.4,88.54,88.54,88.54,88.54,0.02,88.54,9.62,88.54,1,,87.77,88.54,0.0,516111.1,0.0,2020-02-07,484,9.62,,,,0.05,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,БинбанкБ04,RU000A0JUFP0,1,72898.0,88.9,88.9,88.9,88.9,0.02,88.9,9.31,88.9,82,,87.93,88.9,0.0,557457.6,0.0,2020-02-07,483,9.31,,,,0.05,,2018-10-12,1000,SUR,,,,,RUB
