,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,БинбанкБ08,RU000A0JUFQ8,26,2060694.8,95.26,95.99,95.45,95.45,0.01,95.49,10.07,95.28,2158,95.49,95.49,95.45,2060694.8,2060694.8,2060694.8,2021-03-26,179,9.98,,,,0.5,2019-03-29,2018-10-01,1000,SUR,,9.7844,,2019-04-03,RUB
1,EQOB,2018-10-02,БинбанкБ08,RU000A0JUFQ8,15,833795.9,95.46,95.8,95.8,95.8,0.01,95.72,9.31,95.52,871,95.73,95.73,95.8,833795.9,833795.9,833795.9,2021-03-26,178,9.49,,,,0.5,2019-03-29,2018-10-02,1000,SUR,,9.0415,,2019-04-03,RUB
2,EQOB,2018-10-03,БинбанкБ08,RU000A0JUFQ8,4,66930.0,95.57,95.7,95.66,95.67,0.01,95.61,9.69,95.57,70,95.72,95.73,95.67,900725.9,736130.8,900725.9,2021-03-26,177,9.81,,,,0.5,2019-03-29,2018-10-03,1000,SUR,,9.4138,,2019-04-03,RUB
3,EQOB,2018-10-04,БинбанкБ08,RU000A0JUFQ8,3,102441.7,95.68,95.91,95.8,95.8,0.02,95.73,9.41,95.68,107,95.72,95.73,95.8,1003167.6,551382.5,1003167.6,2021-03-26,176,9.58,,,,0.5,2019-03-29,2018-10-04,1000,SUR,,9.1435,,2019-04-03,RUB
4,EQOB,2018-10-05,БинбанкБ08,RU000A0JUFQ8,11,312947.3,95.55,95.82,95.8,95.8,0.02,95.72,9.47,95.56,327,,95.71,95.8,0.0,539799.0,0.0,2021-03-26,175,9.66,,,,0.5,2019-03-29,2018-10-05,1000,SUR,,9.1966,,2019-04-03,RUB
5,EQOB,2018-10-08,БинбанкБ08,RU000A0JUFQ8,12,543422.1,95.7,96.1,96.1,96.1,0.03,95.84,8.92,95.91,567,95.84,95.84,96.1,543422.1,543422.1,543422.1,2021-03-26,172,9.54,,,,0.5,2019-03-29,2018-10-08,1000,SUR,,8.6544,,2019-04-03,RUB
6,EQOB,2018-10-09,БинбанкБ08,RU000A0JUFQ8,4,266896.1,95.87,96.25,96.24,96.24,0.03,96.01,8.63,96.25,278,95.9,95.91,96.24,810318.2,536150.0,810318.2,2021-03-26,171,9.19,,,,0.5,2019-03-29,2018-10-09,1000,SUR,,8.3779,,2019-04-03,RUB
7,EQOB,2018-10-10,БинбанкБ08,RU000A0JUFQ8,4,24003.3,95.86,96.05,95.86,96.01,0.03,96.01,9.61,96.05,25,95.9,95.92,96.01,834321.5,560153.3,834321.5,2021-03-26,170,9.25,,,,0.5,2019-03-29,2018-10-10,1000,SUR,,9.3262,,2019-04-03,RUB
8,EQOB,2018-10-11,БинбанкБ08,RU000A0JUFQ8,14,76641.0,95.67,96.09,96.09,96.08,0.04,95.76,9.1,95.87,80,,95.9,96.08,0.0,636794.3,0.0,2021-03-26,169,9.92,,,,0.5,2019-03-29,2018-10-11,1000,SUR,,8.8313,,2019-04-03,RUB
9,EQOB,2018-10-12,БинбанкБ08,RU000A0JUFQ8,5,43249.0,96.1,96.18,96.1,96.1,0.04,96.11,9.14,96.14,45,,95.95,96.1,0.0,536343.3,0.0,2021-03-26,168,9.11,,,,0.5,2019-03-29,2018-10-12,1000,SUR,,8.8607,,2019-04-03,RUB
10,EQOB,2018-10-15,БинбанкБ08,RU000A0JUFQ8,17,291462.4,95.7,96.2,96.11,96.18,0.05,95.81,9.28,95.75,304,,95.93,96.18,0.0,696476.8,0.0,2021-03-26,165,10.04,,,,0.5,2019-03-29,2018-10-15,1000,SUR,,8.9971,,2019-04-03,RUB
11,EQOB,2018-10-16,БинбанкБ08,RU000A0JUFQ8,27,622907.8,95.66,96.3,96.3,96.29,0.05,96.03,8.86,95.85,648,96.13,96.13,96.29,622907.8,622907.8,622907.8,2021-03-26,164,9.54,,,,0.5,2019-03-29,2018-10-16,1000,SUR,,8.5886,,2019-04-03,RUB
12,EQOB,2018-10-17,БинбанкБ08,RU000A0JUFQ8,17,472350.9,95.65,96.45,95.86,95.86,0.05,96.11,10.04,95.87,491,,96.24,95.86,0.0,809400.9,0.0,2021-03-26,163,9.4,,,,0.5,2019-03-29,2018-10-17,1000,SUR,,9.7281,,2019-04-03,RUB
13,EQOB,2018-10-18,БинбанкБ08,RU000A0JUFQ8,36,895237.3,95.76,96.2,96.2,96.2,0.05,95.85,9.23,95.96,934,95.85,95.85,96.2,895237.3,895237.3,895237.3,2021-03-26,162,10.13,,,,0.5,2019-03-29,2018-10-18,1000,SUR,,8.9429,,2019-04-03,RUB
