,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,АшинМЗ БО1,RU000A0JUQC5,4,56923.4,82.46,82.5,82.46,82.46,23.49,82.5,146.33,82.5,69,,81.61,82.46,0.0,519829.2,0.0,2024-06-17,84,145.83,,,,43.63,2018-12-24,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,АшинМЗ БО1,RU000A0JUQC5,1,825.0,82.5,82.5,82.5,82.5,23.73,82.5,148.2,82.5,1,,81.61,82.5,0.0,520654.2,0.0,2024-06-17,83,148.2,,,,43.63,2018-12-24,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,АшинМЗ БО1,RU000A0JUQC5,24,620005.1,80.5,82.5,82.5,82.5,23.97,81.58,150.65,80.7,760,81.58,81.58,82.5,620005.1,620005.1,620005.1,2024-06-17,82,163.11,,,,43.63,2018-12-24,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,АшинМЗ БО1,RU000A0JUQC5,2,1646.9,82.19,82.5,82.5,82.5,24.21,82.35,153.19,82.19,2,81.58,81.6,82.5,621652.0,511633.9,621652.0,2024-06-17,81,155.21,,,,43.63,2018-12-24,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,АшинМЗ БО1,RU000A0JUQC5,4,44512.6,81.26,82.5,82.49,82.49,24.45,82.43,155.95,82.5,54,81.64,81.6,82.49,666164.6,514896.5,666164.6,2024-06-17,80,156.78,,,,43.63,2018-12-24,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,АшинМЗ БО1,RU000A0JUQC5,27,838537.8,80.5,83.99,82.48,82.48,25.17,80.71,164.58,83.99,1039,80.71,80.71,82.48,838537.8,838537.8,838537.8,2024-06-17,77,192.34,,,,43.63,2018-12-24,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,АшинМЗ БО1,RU000A0JUQC5,52,1149952.6,80.1,81.0,80.5,80.5,25.41,80.47,199.7,80.85,1429,80.47,80.47,80.5,1149952.6,1149952.6,1149952.6,2024-06-17,76,200.22,,,,43.63,2018-12-24,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,АшинМЗ БО1,RU000A0JUQC5,12,57300.5,80.0,82.0,81.5,81.5,25.65,81.86,186.51,80.5,70,,80.51,81.5,0.0,522499.8,0.0,2024-06-17,75,180.61,,,,43.63,2018-12-24,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,АшинМЗ БО1,RU000A0JUQC5,4,4861.0,80.05,81.5,81.5,81.5,25.89,81.02,190.2,81.5,6,,80.51,81.5,0.0,527360.8,0.0,2024-06-17,74,198.51,,,,43.63,2018-12-24,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,АшинМЗ БО1,RU000A0JUQC5,18,464974.1,81.0,81.89,81.0,81.07,26.13,81.57,202.94,81.65,570,,81.6,81.07,0.0,514105.1,0.0,2024-06-17,73,192.83,,,,43.63,2018-12-24,2018-10-12,1000,SUR,,,,,RUB
