,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РСХБ БО14,RU000A0JUW72,0,0.0,,,,103.05,25.55,,8.18,,0,103.05,103.05,103.05,110829010.9,110798226.9,110829010.9,2024-09-30,348,,,,,27.67,2019-10-07,2018-09-28,1000,SUR,,8.2384,,2019-10-09,RUB
1,EQOB,2018-10-02,РСХБ БО14,RU000A0JUW72,0,0.0,,,,103.05,25.85,,8.17,,0,103.05,103.05,103.05,110805419.4,110798226.9,110805419.4,2024-09-30,347,,,,,27.67,2019-10-07,2018-09-28,1000,SUR,,8.263,,2019-10-09,RUB
2,EQOB,2018-10-03,РСХБ БО14,RU000A0JUW72,4,6604124.5,102.9,102.95,102.95,102.95,26.15,102.9,8.28,102.9,6418,103.04,103.03,102.95,117402351.4,65877453.8,117402351.4,2024-09-30,346,8.33,,,,27.67,2019-10-07,2018-10-03,1000,SUR,,8.2317,,2019-10-09,RUB
3,EQOB,2018-10-04,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.95,26.46,,8.27,,0,103.04,103.03,102.95,117402351.4,65877453.8,117402351.4,2024-09-30,345,,,,,27.67,2019-10-07,2018-10-03,1000,SUR,,8.2564,,2019-10-09,RUB
4,EQOB,2018-10-05,РСХБ БО14,RU000A0JUW72,1,102900.0,102.9,102.9,102.9,102.9,26.76,102.9,8.31,102.9,100,103.03,103.03,102.9,65980353.8,65979323.4,65980353.8,2024-09-30,344,8.31,,,,27.67,2019-10-07,2018-10-05,1000,SUR,,8.2694,,2019-10-09,RUB
5,EQOB,2018-10-08,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.9,0.0,,8.29,,0,,103.03,102.9,0.0,65979323.4,0.0,2024-09-30,350,,,,,27.67,2019-10-07,2018-10-05,1000,SUR,,8.3448,,2019-10-09,RUB
6,EQOB,2018-10-09,РСХБ БО14,RU000A0JUW72,1,45276.0,102.9,102.9,102.9,102.9,0.3,102.9,8.28,102.9,44,,103.03,102.9,0.0,66023569.0,0.0,2024-09-30,349,8.28,,,,27.67,2019-10-07,2018-10-09,1000,SUR,,8.2369,,2019-10-09,RUB
7,EQOB,2018-10-10,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.9,0.61,,8.27,,0,,103.03,102.9,0.0,66023569.0,0.0,2024-09-30,348,,,,,27.67,2019-10-07,2018-10-09,1000,SUR,,8.2614,,2019-10-09,RUB
8,EQOB,2018-10-11,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.9,0.91,,8.26,,0,,103.03,102.9,0.0,66023569.0,0.0,2024-09-30,347,,,,,27.67,2019-10-07,2018-10-09,1000,SUR,,8.2861,,2019-10-09,RUB
9,EQOB,2018-10-12,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.9,1.22,,8.25,,0,,103.03,102.9,0.0,66023569.0,0.0,2024-09-30,346,,,,,27.67,2019-10-07,2018-10-09,1000,SUR,,8.3109,,2019-10-09,RUB
10,EQOB,2018-10-15,РСХБ БО14,RU000A0JUW72,3,1069524.0,102.8,102.9,102.9,102.87,2.13,102.84,8.23,102.8,1040,,102.89,102.87,0.0,7841404.0,0.0,2024-09-30,343,8.29,,,,27.67,2019-10-07,2018-10-15,1000,SUR,,8.1824,,2019-10-09,RUB
11,EQOB,2018-10-16,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.87,2.43,,8.22,,0,,102.89,102.87,0.0,7841404.0,0.0,2024-09-30,342,,,,,27.67,2019-10-07,2018-10-15,1000,SUR,,8.2072,,2019-10-09,RUB
12,EQOB,2018-10-17,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.87,2.74,,8.21,,0,,102.89,102.87,0.0,7841404.0,0.0,2024-09-30,341,,,,,27.67,2019-10-07,2018-10-15,1000,SUR,,8.2321,,2019-10-09,RUB
13,EQOB,2018-10-18,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.87,3.04,,8.2,,0,,102.89,102.87,0.0,7841404.0,0.0,2024-09-30,340,,,,,27.67,2019-10-07,2018-10-15,1000,SUR,,8.2572,,2019-10-09,RUB
14,EQOB,2018-10-19,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.87,3.35,,8.19,,0,,102.89,102.87,0.0,7841404.0,0.0,2024-09-30,339,,,,,27.67,2019-10-07,2018-10-15,1000,SUR,,8.2824,,2019-10-09,RUB
15,EQOB,2018-10-22,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.87,4.26,,8.16,,0,,102.89,102.87,0.0,7841404.0,0.0,2024-09-30,336,,,,,27.67,2019-10-07,2018-10-15,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,РСХБ БО14,RU000A0JUW72,1,20580.0,102.9,102.9,102.9,102.9,4.56,102.9,8.15,102.9,20,,102.89,102.9,0.0,7842404.5,0.0,2024-09-30,335,8.15,,,,27.67,2019-10-07,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,РСХБ БО14,RU000A0JUW72,2,16464.0,102.9,102.9,102.9,102.9,4.87,102.9,8.14,102.9,16,,102.85,102.9,0.0,1387487.5,0.0,2024-09-30,334,8.14,,,,27.67,2019-10-07,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.9,5.17,,8.13,,0,,102.85,102.9,0.0,1387487.5,0.0,2024-09-30,333,,,,,27.67,2019-10-07,2018-10-24,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.9,5.47,,8.13,,0,,102.85,102.9,0.0,1387487.5,0.0,2024-09-30,332,,,,,27.67,2019-10-07,2018-10-24,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,РСХБ БО14,RU000A0JUW72,4,114265.6,101.75,103.1,103.1,103.06,6.39,102.94,7.86,101.76,111,,102.85,103.06,0.0,1220833.6,0.0,2024-09-30,329,8.05,,,,27.67,2019-10-07,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,РСХБ БО14,RU000A0JUW72,1,20660.0,103.3,103.3,103.3,103.3,6.69,103.3,7.62,103.3,20,,102.89,103.3,0.0,789173.6,0.0,2024-09-30,328,7.62,,,,27.67,2019-10-07,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,РСХБ БО14,RU000A0JUW72,0,0.0,,,,103.3,6.99,,7.61,,0,,102.89,103.3,0.0,789173.6,0.0,2024-09-30,327,,,,,27.67,2019-10-07,2018-10-30,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,РСХБ БО14,RU000A0JUW72,2,28784.0,102.8,102.8,102.8,102.8,7.3,102.8,8.18,102.8,28,,102.92,102.8,0.0,616469.6,0.0,2024-09-30,326,8.18,,,,27.67,2019-10-07,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,РСХБ БО14,RU000A0JUW72,3,8635200.0,102.8,102.8,102.8,102.8,7.6,102.8,8.18,102.8,8400,102.8,102.8,102.8,8798909.6,8798909.6,8798909.6,2024-09-30,325,8.18,,,,27.67,2019-10-07,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.8,8.82,,8.14,,0,102.8,102.8,102.8,8835953.6,8798909.6,8835953.6,2024-09-30,321,,,,,27.67,2019-10-07,2018-11-02,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,РСХБ БО14,RU000A0JUW72,4,73456.0,102.0,102.8,102.8,102.03,9.12,102.02,8.13,102.0,72,102.8,102.79,102.03,8888829.6,8758100.0,8888829.6,2024-09-30,320,9.06,,,,27.67,2019-10-07,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.03,9.43,,8.12,,0,102.8,102.79,102.03,8872365.6,8758100.0,8872365.6,2024-09-30,319,,,,,27.67,2019-10-07,2018-11-07,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,РСХБ БО14,RU000A0JUW72,2,2056.0,102.8,102.8,102.8,102.8,9.73,102.8,8.11,102.8,2,102.8,102.79,102.8,8874421.6,8711740.0,8874421.6,2024-09-30,318,8.11,,,,27.67,2019-10-07,2018-11-09,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.8,10.64,,8.08,,0,102.8,102.79,102.8,8874421.6,8711740.0,8874421.6,2024-09-30,315,,,,,27.67,2019-10-07,2018-11-09,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.8,10.95,,8.07,,0,102.79,102.79,102.8,8760156.0,8711740.0,8760156.0,2024-09-30,314,,,,,27.67,2019-10-07,2018-11-09,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,РСХБ БО14,RU000A0JUW72,0,0.0,,,,102.8,11.25,,8.06,,0,102.79,102.79,102.8,8739496.0,8711740.0,8739496.0,2024-09-30,313,,,,,27.67,2019-10-07,2018-11-09,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,РСХБ БО14,RU000A0JUW72,2,6066.4,100.75,102.89,102.89,101.11,11.56,101.11,7.94,100.75,6,102.79,102.79,101.11,8745562.4,8716778.4,8745562.4,2024-09-30,312,10.14,,,,27.67,2019-10-07,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,РСХБ БО14,RU000A0JUW72,0,0.0,,,,101.11,11.86,,7.93,,0,102.79,102.79,101.11,8716778.4,8716778.4,8716778.4,2024-09-30,311,,,,,27.67,2019-10-07,2018-11-15,1000,SUR,,,,,RUB
