history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Хакас2014;RU000A0JUXW9;2;10394.4;104.9;105;105;105;7.17;104.99;7.97;104.9;33;105.07;105.07;105;666361.2;666361.2;666361.2;2019-10-27;364;7.98;;;;9.57;;2018-10-01;300;SUR;;;;;RUB
EQOB;2018-10-02;Хакас2014;RU000A0JUXW9;0;0;;;;105;7.28;;7.96;;0;105.11;105.07;105;1590569.73;666361.2;1590569.73;2019-10-27;363;;;;;9.57;;2018-10-01;300;SUR;;;;;RUB
EQOB;2018-10-03;Хакас2014;RU000A0JUXW9;1;315.45;105.15;105.15;105.15;105.15;7.38;105.15;7.79;105.15;1;105.11;105.07;105.15;1566942.51;666676.65;1566942.51;2019-10-27;362;7.79;;;;9.57;;2018-10-03;300;SUR;;;;;RUB
EQOB;2018-10-04;Хакас2014;RU000A0JUXW9;1;316.5;105.5;105.5;105.5;105.5;7.49;105.5;7.43;105.5;1;105.12;105.07;105.5;1547734.59;666993.15;1547734.59;2019-10-27;361;7.43;;;;9.57;;2018-10-04;300;SUR;;;;;RUB
EQOB;2018-10-05;Хакас2014;RU000A0JUXW9;1;949.5;105.5;105.5;105.5;105.5;7.59;105.5;7.41;105.5;3;105.07;105.07;105.5;746700.15;667942.65;746700.15;2019-10-27;360;7.41;;;;9.57;;2018-10-05;300;SUR;;;;;RUB
EQOB;2018-10-08;Хакас2014;RU000A0JUXW9;1;1263.84;105.32;105.32;105.32;105.32;7.9;105.32;7.56;105.32;4;105.07;105.07;105.32;669206.49;669206.49;669206.49;2019-10-27;357;7.56;;;;9.57;;2018-10-08;300;SUR;;;;;RUB
EQOB;2018-10-09;Хакас2014;RU000A0JUXW9;1;315.96;105.32;105.32;105.32;105.32;8.01;105.32;7.54;105.32;1;;105.07;105.32;0;669522.45;0;2019-10-27;356;7.54;;;;9.57;;2018-10-09;300;SUR;;;;;RUB
EQOB;2018-10-10;Хакас2014;RU000A0JUXW9;3;16380;105;105;105;105;8.11;105;7.86;105;52;;105.07;105;0;685902.45;0;2019-10-27;355;7.86;;;;9.57;;2018-10-10;300;SUR;;;;;RUB
EQOB;2018-10-11;Хакас2014;RU000A0JUXW9;12;1489182.42;104.49;104.51;104.51;104.51;8.21;104.5;8.35;104.51;4750;104.5;104.5;104.51;1489182.42;1489182.42;1489182.42;2019-10-27;354;8.36;;;;9.57;;2018-10-11;300;SUR;;;;;RUB
EQOB;2018-10-12;Хакас2014;RU000A0JUXW9;1;5073.6;105.7;105.7;105.7;105.7;8.32;105.7;7.11;105.7;16;104.51;104.51;105.7;1494256.02;1440018.48;1494256.02;2019-10-27;353;7.11;;;;9.57;;2018-10-12;300;SUR;;;;;RUB
EQOB;2018-10-15;Хакас2014;RU000A0JUXW9;5;43324.68;104.2;104.9;104.51;104.65;8.63;104.65;8.31;104.2;138;104.51;104.52;104.65;1537580.7;799913.46;1537580.7;2019-10-27;350;8.16;;;;9.57;;2018-10-15;300;SUR;;;;;RUB
EQOB;2018-10-16;Хакас2014;RU000A0JUXW9;19;411618.24;104.33;105.8;104.9;104.9;8.73;104.34;7.89;105.8;1315;;104.4;104.9;0;538399.02;0;2019-10-27;349;8.47;;;;9.57;;2018-10-16;300;SUR;;;;;RUB
EQOB;2018-10-17;Хакас2014;RU000A0JUXW9;13;267177;104.5;105.2;104.5;104.5;8.84;104.65;8.29;104.8;851;;104.46;104.5;0;655616.34;0;2019-10-27;348;8.13;;;;9.57;;2018-10-17;300;SUR;;;;;RUB
EQOB;2018-10-18;Хакас2014;RU000A0JUXW9;0;0;;;;104.5;8.94;;8.28;;0;;104.46;104.5;0;655616.34;0;2019-10-27;347;;;;;9.57;;2018-10-17;300;SUR;;;;;RUB
EQOB;2018-10-19;Хакас2014;RU000A0JUXW9;3;11735.07;104.5;105.8;105.8;105.79;9.05;105.72;6.9;104.5;37;;104.49;105.79;0;667351.41;0;2019-10-27;346;6.99;;;;9.57;;2018-10-19;300;SUR;;;;;RUB
EQOB;2018-10-22;Хакас2014;RU000A0JUXW9;0;0;;;;105.79;9.36;;6.86;;0;104.48;104.49;105.79;690530.31;667351.41;690530.31;2019-10-27;343;;;;;9.57;;2018-10-19;300;SUR;;;;;RUB
EQOB;2018-10-23;Хакас2014;RU000A0JUXW9;0;0;;;;105.79;9.46;;6.85;;0;;104.49;105.79;0;667351.41;0;2019-10-27;342;;;;;9.57;;2018-10-19;300;SUR;;;;;RUB
EQOB;2018-10-24;Хакас2014;RU000A0JUXW9;4;16144.62;104.2;105.7;105.7;105.7;0;105.52;6.93;104.2;51;104.51;104.51;105.7;2244255.63;683496.03;2244255.63;2019-10-27;352;7.12;;;;9.57;;2018-10-24;300;SUR;;;;;RUB
EQOB;2018-10-25;Хакас2014;RU000A0JUXW9;5;11098.35;105.69;105.7;105.69;105.69;0.1;105.7;6.93;105.69;35;;104.53;105.69;0;694594.38;0;2019-10-27;351;6.92;;;;9.57;;2018-10-25;300;SUR;;;;;RUB
EQOB;2018-10-26;Хакас2014;RU000A0JUXW9;0;0;;;;105.69;0.21;;6.91;;0;104.53;104.53;105.69;761097.96;694594.38;761097.96;2019-10-27;350;;;;;9.57;;2018-10-25;300;SUR;;;;;RUB
EQOB;2018-10-29;Хакас2014;RU000A0JUXW9;3;1887.6;104.21;105.39;104.21;104.61;0.52;104.87;8.46;105.39;6;;104.53;104.61;0;696481.98;0;2019-10-27;347;7.74;;;;9.57;;2018-10-29;300;SUR;;;;;RUB
EQOB;2018-10-30;Хакас2014;RU000A0JUXW9;1;632.88;105.48;105.48;105.48;105.48;0.62;105.48;7.07;105.48;2;;104.53;105.48;0;697114.86;0;2019-10-27;346;7.07;;;;9.57;;2018-10-30;300;SUR;;;;;RUB
EQOB;2018-10-31;Хакас2014;RU000A0JUXW9;7;19609.98;104.37;105.58;105.51;105.51;0.73;105.43;7.02;105.49;62;;104.56;105.51;0;716724.84;0;2019-10-27;345;7.11;;;;9.57;;2018-10-31;300;SUR;;;;;RUB
EQOB;2018-11-01;Хакас2014;RU000A0JUXW9;0;0;;;;105.51;0.83;;7.01;;0;;104.56;105.51;0;716724.84;0;2019-10-27;344;;;;;9.57;;2018-10-31;300;SUR;;;;;RUB
EQOB;2018-11-02;Хакас2014;RU000A0JUXW9;3;1265.28;105.05;105.57;105.05;105.05;0.94;105.44;7.49;105.57;4;;104.56;105.05;0;717990.12;0;2019-10-27;343;7.06;;;;9.57;;2018-11-02;300;SUR;;;;;RUB
EQOB;2018-11-06;Хакас2014;RU000A0JUXW9;0;0;;;;105.05;1.35;;7.43;;0;;104.56;105.05;0;717990.12;0;2019-10-27;339;;;;;9.57;;2018-11-02;300;SUR;;;;;RUB
EQOB;2018-11-07;Хакас2014;RU000A0JUXW9;31;472181.46;102.35;105.05;104.98;104.96;1.46;103.89;7.49;105.05;1515;;103.98;104.96;0;501601.98;0;2019-10-27;338;8.7;;;;9.57;;2018-11-07;300;SUR;;;;;RUB
EQOB;2018-11-08;Хакас2014;RU000A0JUXW9;48;1824116.25;103;104.47;104.36;104.36;1.56;103.5;8.16;104.23;5875;103.5;103.5;104.36;1824116.25;1824116.25;1824116.25;2019-10-27;337;9.13;;;;9.57;;2018-11-08;300;SUR;;;;;RUB
EQOB;2018-11-09;Хакас2014;RU000A0JUXW9;11;325585.5;104.27;104.5;104.27;104.3;1.66;104.45;8.25;104.49;1039;;104.4;104.3;0;510818.37;0;2019-10-27;336;8.05;;;;9.57;;2018-11-09;300;SUR;;;;;RUB
EQOB;2018-11-12;Хакас2014;RU000A0JUXW9;3;30693.69;104.4;104.41;104.4;104.4;1.98;104.4;8.06;104.41;98;;104.41;104.4;0;509920.71;0;2019-10-27;333;8.06;;;;9.57;;2018-11-12;300;SUR;;;;;RUB
EQOB;2018-11-13;Хакас2014;RU000A0JUXW9;5;8150.43;104.49;104.5;104.49;104.49;2.08;104.49;7.95;104.49;26;;104.41;104.49;0;518071.14;0;2019-10-27;332;7.95;;;;9.57;;2018-11-13;300;SUR;;;;;RUB
EQOB;2018-11-14;Хакас2014;RU000A0JUXW9;12;275848.2;104.05;104.45;104.45;104.45;2.18;104.25;7.98;104.31;882;;104.34;104.45;0;545296.41;0;2019-10-27;331;8.21;;;;9.57;;2018-11-14;300;SUR;;;;;RUB
EQOB;2018-11-15;Хакас2014;RU000A0JUXW9;27;463249.95;104.19;104.5;104.21;104.21;2.29;104.34;8.23;104.21;1480;;104.34;104.21;0;504298.8;0;2019-10-27;330;8.09;;;;9.57;;2018-11-15;300;SUR;;;;;RUB
EQOB;2018-11-16;Хакас2014;RU000A0JUXW9;15;532605.66;104.02;104.21;104.21;104.21;2.39;104.19;8.22;104.21;1704;104.19;104.19;104.21;532605.66;532605.66;532605.66;2019-10-27;329;8.25;;;;9.57;;2018-11-16;300;SUR;;;;;RUB
EQOB;2018-11-19;Хакас2014;RU000A0JUXW9;10;79407.84;104.2;104.21;104.21;104.21;2.7;104.21;8.18;104.21;254;;104.19;104.21;0;580437.87;0;2019-10-27;326;8.18;;;;9.57;;2018-11-19;300;SUR;;;;;RUB
EQOB;2018-11-20;Хакас2014;RU000A0JUXW9;0;0;;;;104.21;2.81;;8.17;;0;;104.19;104.21;0;580437.87;0;2019-10-27;325;;;;;9.57;;2018-11-19;300;SUR;;;;;RUB
EQOB;2018-11-21;Хакас2014;RU000A0JUXW9;52;48434.22;104.1;104.18;104.1;104.1;2.91;104.16;8.28;104.18;155;;104.18;104.1;0;500693.79;0;2019-10-27;324;8.21;;;;9.57;;2018-11-21;300;SUR;;;;;RUB
EQOB;2018-11-22;Хакас2014;RU000A0JUXW9;14;358527.72;103.51;104.43;104;104;3.02;103.56;8.38;103.51;1154;;103.74;104;0;503251.8;0;2019-10-27;323;8.9;;;;9.57;;2018-11-22;300;SUR;;;;;RUB
EQOB;2018-11-23;Хакас2014;RU000A0JUXW9;1;78624;104;104;104;104;3.12;104;8.37;104;252;;103.74;104;0;534668.85;0;2019-10-27;322;8.37;;;;9.57;;2018-11-23;300;SUR;;;;;RUB
EQOB;2018-11-26;Хакас2014;RU000A0JUXW9;2;79875.96;104;104.44;104.44;104.44;3.43;104.01;7.81;104;256;103.7;103.7;104.44;517027.68;514543.44;517027.68;2019-10-27;319;8.32;;;;9.57;;2018-11-26;300;SUR;;;;;RUB
EQOB;2018-11-27;Хакас2014;RU000A0JUXW9;0;0;;;;104.44;3.54;;7.8;;0;103.74;103.7;104.44;565461.9;514543.44;565461.9;2019-10-27;318;;;;;9.57;;2018-11-26;300;SUR;;;;;RUB
