,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВТБ БО-30,RU000A0JV3Q3,4,3019979.0,99.9,99.91,99.9,99.9,2.12,99.9,8.09,99.9,3023,99.69,99.9,99.9,8541563.1,4512518.0,8541563.1,2024-12-13,344,8.09,,,,19.32,2019-09-20,2018-10-01,1000,SUR,,8.0007,,2019-09-24,RUB
1,EQOB,2018-10-02,ВТБ БО-30,RU000A0JV3Q3,3,64938.5,99.9,99.95,99.95,99.95,2.34,99.91,8.03,99.9,65,99.9,99.9,99.95,4577456.5,4487521.5,4577456.5,2024-12-13,343,8.08,,,,19.32,2019-09-20,2018-10-02,1000,SUR,,7.9429,,2019-09-24,RUB
2,EQOB,2018-10-03,ВТБ БО-30,RU000A0JV3Q3,2,15015999.1,99.91,100.1,100.1,100.1,2.55,100.1,7.86,99.91,15001,100.05,100.05,100.1,19549565.6,19499516.6,19549565.6,2024-12-13,342,7.86,,,,19.32,2019-09-20,2018-10-03,1000,SUR,,7.7725,,2019-09-24,RUB
3,EQOB,2018-10-04,ВТБ БО-30,RU000A0JV3Q3,1,2002.0,100.1,100.1,100.1,100.1,2.76,100.1,7.86,100.1,2,100.07,100.07,100.1,18102918.6,18102918.6,18102918.6,2024-12-13,341,7.86,,,,19.32,2019-09-20,2018-10-04,1000,SUR,,7.772,,2019-09-24,RUB
4,EQOB,2018-10-05,ВТБ БО-30,RU000A0JV3Q3,1,5000.0,100.0,100.0,100.0,100.0,2.97,100.0,7.98,100.0,5,100.07,100.09,100.0,18107918.6,15610418.6,18107918.6,2024-12-13,340,7.98,,,,19.32,2019-09-20,2018-10-05,1000,SUR,,7.8857,,2019-09-24,RUB
5,EQOB,2018-10-08,ВТБ БО-30,RU000A0JV3Q3,3,251202.9,100.0,100.1,100.1,100.1,3.61,100.08,7.86,100.01,251,100.1,100.1,100.1,15339142.5,15339142.5,15339142.5,2024-12-13,337,7.88,,,,19.32,2019-09-20,2018-10-08,1000,SUR,,7.769,,2019-09-24,RUB
6,EQOB,2018-10-09,ВТБ БО-30,RU000A0JV3Q3,0,0.0,,,,100.1,3.82,,7.86,,0,100.05,100.1,100.1,19851660.5,15339142.5,19851660.5,2024-12-13,336,,,,,19.32,2019-09-20,2018-10-08,1000,SUR,,7.7927,,2019-09-24,RUB
7,EQOB,2018-10-10,ВТБ БО-30,RU000A0JV3Q3,4,18028010.5,100.06,100.15,100.06,100.06,4.03,100.1,7.9,100.1,18010,100.08,100.1,100.06,37835781.0,33301215.4,37835781.0,2024-12-13,335,7.86,,,,19.32,2019-09-20,2018-10-10,1000,SUR,,7.8143,,2019-09-24,RUB
8,EQOB,2018-10-11,ВТБ БО-30,RU000A0JV3Q3,1,5002.5,100.05,100.05,100.05,100.05,4.25,100.05,7.91,100.05,5,100.08,100.1,100.05,36392134.5,18291217.9,36392134.5,2024-12-13,334,7.91,,,,19.32,2019-09-20,2018-10-11,1000,SUR,,7.8244,,2019-09-24,RUB
9,EQOB,2018-10-12,ВТБ БО-30,RU000A0JV3Q3,1,1000.5,100.05,100.05,100.05,100.05,4.46,100.05,7.91,100.05,1,100.08,100.1,100.05,36393135.0,18290216.4,36393135.0,2024-12-13,333,7.91,,,,19.32,2019-09-20,2018-10-12,1000,SUR,,7.8241,,2019-09-24,RUB
10,EQOB,2018-10-15,ВТБ БО-30,RU000A0JV3Q3,0,0.0,,,,100.05,5.1,,7.91,,0,100.1,100.1,100.05,33373156.0,18290216.4,33373156.0,2024-12-13,330,,,,,19.32,2019-09-20,2018-10-12,1000,SUR,,7.8972,,2019-09-24,RUB
