history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;БинбанкБ14;RU000A0JVBS1;3;2949.6;98.16;98.4;98.4;98.4;0.03;98.32;10.7;98.16;3;;98.37;98.4;0;557752.5;0;2021-05-26;58;11.27;;;;0.05;2018-11-28;2018-10-01;1000;SUR;;9.8078;;2018-12-03;RUB
EQOB;2018-10-02;БинбанкБ14;RU000A0JVBS1;2;69761.9;98.17;98.35;98.35;98.35;0.03;98.29;11.26;98.17;71;;98.42;98.35;0;535380.7;0;2021-05-26;57;11.69;;;;0.05;2018-11-28;2018-10-02;1000;SUR;;10.3032;;2018-12-03;RUB
EQOB;2018-10-03;БинбанкБ14;RU000A0JVBS1;6;452158.4;98.5;98.51;98.51;98.51;0.03;98.51;10.29;98.5;459;98.47;98.48;98.51;524869.9;523888.3;524869.9;2021-05-26;56;10.29;;;;0.05;2018-11-28;2018-10-03;1000;SUR;;9.4113;;2018-12-03;RUB
EQOB;2018-10-04;БинбанкБ14;RU000A0JVBS1;3;28600.8;98.6;98.69;98.69;98.69;0.03;98.62;9.16;98.6;29;98.48;98.51;98.69;550521.1;514198.2;550521.1;2021-05-26;55;9.67;;;;0.05;2018-11-28;2018-10-04;1000;SUR;;8.3653;;2018-12-03;RUB
EQOB;2018-10-05;БинбанкБ14;RU000A0JVBS1;1;1974.8;98.74;98.74;98.74;98.74;0.04;98.74;8.96;98.74;2;;98.51;98.74;0;516173;0;2021-05-26;54;8.96;;;;0.05;2018-11-28;2018-10-05;1000;SUR;;8.1667;;2018-12-03;RUB
EQOB;2018-10-08;БинбанкБ14;RU000A0JVBS1;15;375392.1;98.64;99.2;98.64;98.64;0.04;98.78;10.3;98.76;380;;98.71;98.64;0;544866.8;0;2021-05-26;51;9.19;;;;0.05;2018-11-28;2018-10-08;1000;SUR;;9.3423;;2018-12-03;RUB
EQOB;2018-10-09;БинбанкБ14;RU000A0JVBS1;0;0;;;;98.64;0.04;;10.52;;0;;98.71;98.64;0;544866.8;0;2021-05-26;50;;;;;0.05;2018-11-28;2018-10-08;1000;SUR;;9.52;;2018-12-03;RUB
EQOB;2018-10-10;БинбанкБ14;RU000A0JVBS1;7;125441.4;98.67;98.85;98.85;98.85;0.04;98.77;9.01;98.68;127;98.78;98.78;98.85;500833.5;500833.5;500833.5;2021-05-26;49;9.67;;;;0.05;2018-11-28;2018-10-10;1000;SUR;;8.1389;;2018-12-03;RUB
EQOB;2018-10-11;БинбанкБ14;RU000A0JVBS1;4;24663;98.65;98.66;98.65;98.65;0.04;98.65;10.9;98.66;25;;98.78;98.65;0;524508.9;0;2021-05-26;48;10.9;;;;0.05;2018-11-28;2018-10-11;1000;SUR;;9.8198;;2018-12-03;RUB
EQOB;2018-10-12;БинбанкБ14;RU000A0JVBS1;1;73837.5;98.45;98.45;98.45;98.45;0.04;98.45;12.91;98.45;75;;98.73;98.45;0;500564;0;2021-05-26;47;12.91;;;;0.05;2018-11-28;2018-10-12;1000;SUR;;11.5962;;2018-12-03;RUB
EQOB;2018-10-15;БинбанкБ14;RU000A0JVBS1;0;0;;;;98.45;0.04;;13.84;;0;;98.73;98.45;0;500564;0;2021-05-26;44;;;;;0.05;2018-11-28;2018-10-12;1000;SUR;;12.3483;;2018-12-03;RUB
EQOB;2018-10-16;БинбанкБ14;RU000A0JVBS1;11;59265;96.51;98.98;98.98;98.98;0.04;96.86;9.1;98.47;61;;98.52;98.98;0;517256.2;0;2021-05-26;43;31.11;;;;0.05;2018-11-28;2018-10-16;1000;SUR;;8.116;;2018-12-03;RUB
EQOB;2018-10-17;БинбанкБ14;RU000A0JVBS1;9;66194.3;98.56;98.99;98.99;98.99;0.04;98.8;9.23;98.99;67;;98.56;98.99;0;583450.5;0;2021-05-26;42;11.07;;;;0.05;2018-11-28;2018-10-17;1000;SUR;;8.2107;;2018-12-03;RUB
EQOB;2018-10-18;БинбанкБ14;RU000A0JVBS1;11;94639.1;98.5;99;99;99;0.04;98.56;9.37;98.51;96;;98.56;99;0;678089.6;0;2021-05-26;41;13.79;;;;0.05;2018-11-28;2018-10-18;1000;SUR;;8.3096;;2018-12-03;RUB
EQOB;2018-10-19;БинбанкБ14;RU000A0JVBS1;3;3961.8;99.04;99.05;99.05;99.05;0.04;99.05;9.11;99.04;4;;98.56;99.05;0;682051.4;0;2021-05-26;40;9.11;;;;0.05;2018-11-28;2018-10-19;1000;SUR;;8.0585;;2018-12-03;RUB
