history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;КОМИ 12 об;RU000A0JVKF9;0;0;;;;105.4;12.57;;8.45;;0;105.02;105.02;105.4;20723035.2;20428475.2;20723035.2;2021-06-23;599;;;;;40.84;;2018-09-28;700;SUR;;;;;RUB
EQOB;2018-10-02;КОМИ 12 об;RU000A0JVKF9;4;246961.75;105.94;105.99;105.94;105.94;12.79;105.95;8.11;105.98;333;105.02;105.54;105.94;20495934.55;948609.55;20495934.55;2021-06-23;600;8.11;;;;40.84;;2018-10-02;700;SUR;;;;;RUB
EQOB;2018-10-03;КОМИ 12 об;RU000A0JVKF9;4;105325.36;105.96;105.97;105.97;105.97;13.01;105.96;8.09;105.96;142;105.69;105.7;105.97;660687.51;639291.31;660687.51;2021-06-23;599;8.1;;;;40.84;;2018-10-03;700;SUR;;;;;RUB
EQOB;2018-10-04;КОМИ 12 об;RU000A0JVKF9;1;7417158.21;105.97;105.97;105.97;105.97;13.24;105.97;8.09;105.97;9999;105.95;105.96;105.97;8077845.72;7908889.52;8077845.72;2021-06-23;598;8.09;;;;40.84;;2018-10-04;700;SUR;;;;;RUB
EQOB;2018-10-05;КОМИ 12 об;RU000A0JVKF9;1;2967.16;105.97;105.97;105.97;105.97;13.46;105.97;8.08;105.97;4;105.97;105.97;105.97;7772412.48;7772412.48;7772412.48;2021-06-23;597;8.08;;;;40.84;;2018-10-05;700;SUR;;;;;RUB
EQOB;2018-10-08;КОМИ 12 об;RU000A0JVKF9;1;741.79;105.97;105.97;105.97;105.97;14.14;105.97;8.06;105.97;1;105.97;105.97;105.97;7773154.27;7767961.25;7773154.27;2021-06-23;594;8.06;;;;40.84;;2018-10-08;700;SUR;;;;;RUB
EQOB;2018-10-09;КОМИ 12 об;RU000A0JVKF9;0;0;;;;105.97;14.36;;8.06;;0;105.28;105.97;105.97;28022127.07;7767961.25;28022127.07;2021-06-23;593;;;;;40.84;;2018-10-08;700;SUR;;;;;RUB
EQOB;2018-10-10;КОМИ 12 об;RU000A0JVKF9;1;2215500;105.5;105.5;105.5;105.5;14.58;105.5;8.34;105.5;3000;105.85;105.86;105.5;10297054.67;9981235.46;10297054.67;2021-06-23;591;8.34;;;;40.84;;2018-10-10;700;SUR;;;;;RUB
EQOB;2018-10-11;КОМИ 12 об;RU000A0JVKF9;0;0;;;;105.5;14.81;;8.34;;0;105.85;105.86;105.5;10297054.67;9981235.46;10297054.67;2021-06-23;591;;;;;40.84;;2018-10-10;700;SUR;;;;;RUB
EQOB;2018-10-12;КОМИ 12 об;RU000A0JVKF9;1;56280.28;105.79;105.79;105.79;105.79;15.03;105.79;8.15;105.79;76;105.86;105.86;105.79;10044934.55;9993008.34;10044934.55;2021-06-23;590;8.15;;;;40.84;;2018-10-12;700;SUR;;;;;RUB
