,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Оренб35003,RU000A0JVM81,1,8749.3,124.99,124.99,124.99,124.99,31.07,124.99,7.83,124.99,7,124.63,124.1,124.99,1883126.2,507581.6,1883126.2,2025-07-03,1315,7.83,,,,34.9,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Оренб35003,RU000A0JVM81,0,0.0,,,,124.99,31.45,,7.83,,0,124.63,124.1,124.99,1881896.2,507581.6,1881896.2,2025-07-03,1311,,,,,34.9,,2018-10-01,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Оренб35003,RU000A0JVM81,0,0.0,,,,124.99,31.84,,7.83,,0,124.1,124.1,124.99,507581.6,507581.6,507581.6,2025-07-03,1310,,,,,34.9,,2018-10-01,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Оренб35003,RU000A0JVM81,4,350920.0,124.0,124.0,124.0,124.0,32.22,124.0,8.06,124.0,283,,124.06,124.0,0.0,858501.6,0.0,2025-07-03,1309,8.06,,,,34.9,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Оренб35003,RU000A0JVM81,2,59220.0,126.0,126.0,126.0,126.0,32.6,126.0,7.59,126.0,47,,124.18,126.0,0.0,917721.6,0.0,2025-07-03,1314,7.59,,,,34.9,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Оренб35003,RU000A0JVM81,0,0.0,,,,126.0,33.75,,7.58,,0,,124.18,126.0,0.0,917721.6,0.0,2025-07-03,1306,,,,,34.9,,2018-10-05,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Оренб35003,RU000A0JVM81,5,32998.6,121.7,124.0,124.0,124.0,34.14,122.22,8.04,121.7,27,,124.22,124.0,0.0,501842.2,0.0,2025-07-03,1299,8.47,,,,34.9,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Оренб35003,RU000A0JVM81,11,495439.5,119.05,124.0,124.0,124.0,34.52,122.03,8.04,124.0,406,,122.06,124.0,0.0,502879.1,0.0,2025-07-03,1298,8.51,,,,34.9,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Оренб35003,RU000A0JVM81,13,596440.0,124.0,124.0,124.0,124.0,0.0,124.0,8.04,124.0,481,124.0,124.0,124.0,596440.0,596440.0,596440.0,2025-07-03,1339,8.04,,,,34.9,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Оренб35003,RU000A0JVM81,3,254200.0,124.0,124.0,124.0,124.0,0.38,124.0,8.03,124.0,205,124.0,124.0,124.0,850640.0,534440.0,850640.0,2025-07-03,1338,8.03,,,,34.9,,2018-10-12,1000,SUR,,,,,RUB
