history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Хакас2015;RU000A0JVUH4;1;1658.72;103.67;103.67;103.67;103.67;22.28;103.67;8.11;103.67;2;;103.77;103.67;0;502225.44;0;2020-10-11;304;8.11;;;;24.43;;2018-10-01;800;SUR;;;;;RUB
EQOB;2018-10-02;Хакас2015;RU000A0JVUH4;3;61296.32;103.5;103.66;103.66;103.66;22.55;103.54;8.11;103.5;74;;103.74;103.66;0;532799.92;0;2020-10-11;303;8.26;;;;24.43;;2018-10-02;800;SUR;;;;;RUB
EQOB;2018-10-03;Хакас2015;RU000A0JVUH4;6;118254.72;103.55;104.28;103.55;103.55;22.82;104.1;8.23;104.28;142;;103.83;103.55;0;519152.56;0;2020-10-11;303;7.56;;;;24.43;;2018-10-03;800;SUR;;;;;RUB
EQOB;2018-10-04;Хакас2015;RU000A0JVUH4;1;24878.4;103.66;103.66;103.66;103.66;23.09;103.66;8.09;103.66;30;;103.8;103.66;0;512359.44;0;2020-10-11;302;8.09;;;;24.43;;2018-10-04;800;SUR;;;;;RUB
EQOB;2018-10-05;Хакас2015;RU000A0JVUH4;4;11605.92;103.42;103.64;103.64;103.64;23.36;103.62;8.1;103.42;14;;103.8;103.64;0;523965.36;0;2020-10-11;300;8.12;;;;24.43;;2018-10-05;800;SUR;;;;;RUB
EQOB;2018-10-08;Хакас2015;RU000A0JVUH4;11;211390.24;103.02;103.63;103.02;103.11;24.16;103.22;8.83;103.13;256;;103.58;103.11;0;512076.32;0;2020-10-11;297;8.58;;;;24.43;;2018-10-08;800;SUR;;;;;RUB
EQOB;2018-10-09;Хакас2015;RU000A0JVUH4;15;240273.72;103.62;104.5;104.47;104.47;0;104.08;8.4;103.62;385;;103.77;104.47;0;571586.68;0;2020-10-11;401;8.77;;;;18.32;;2018-10-09;600;SUR;;;;;RUB
EQOB;2018-10-10;Хакас2015;RU000A0JVUH4;22;292997.52;103.81;104.74;104.73;104.73;0.2;104.57;8.15;104.5;467;;104.28;104.73;0;545432.04;0;2020-10-11;401;8.3;;;;18.32;;2018-10-10;600;SUR;;;;;RUB
EQOB;2018-10-11;Хакас2015;RU000A0JVUH4;15;652192.14;103.81;104.71;104;104;0.4;104.02;8.83;103.81;1045;104.02;104.02;104;652192.14;652192.14;652192.14;2020-10-11;399;8.81;;;;18.32;;2018-10-11;600;SUR;;;;;RUB
EQOB;2018-10-12;Хакас2015;RU000A0JVUH4;14;365464.44;104.01;104.69;104.6;104.6;0.6;104.12;8.25;104.69;585;;104.05;104.6;0;953896.44;0;2020-10-11;399;8.71;;;;18.32;;2018-10-12;600;SUR;;;;;RUB
EQOB;2018-10-15;Хакас2015;RU000A0JVUH4;9;618986.58;104.02;105;104.45;104.45;1.21;104.74;8.36;104.62;985;104.51;104.74;104.45;984451.02;620241.78;984451.02;2020-10-11;396;8.09;;;;18.32;;2018-10-15;600;SUR;;;;;RUB
EQOB;2018-10-16;Хакас2015;RU000A0JVUH4;11;374608.98;104.02;104.96;104.62;104.62;1.41;104.58;8.19;104.03;597;;104.54;104.62;0;563245.68;0;2020-10-11;395;8.23;;;;18.32;;2018-10-16;600;SUR;;;;;RUB
EQOB;2018-10-17;Хакас2015;RU000A0JVUH4;7;94866.9;104.65;104.78;104.75;104.75;1.61;104.71;8.06;104.78;151;;104.56;104.75;0;658112.58;0;2020-10-11;394;8.09;;;;18.32;;2018-10-17;600;SUR;;;;;RUB
